alias_id,crossfeed_key,source_record_a,source_record_b,native_id_a,native_id_b,name_a,name_b,municipality_a,municipality_b,distance_m,name_similarity,alias_candidate_status,boarding_point_identity_decision
FALIAS001,00063,FROZEN_GTFS::300063,FROZEN_GTFS::L00063,300063,L00063,Brivio - capolinea,Brivio - capolinea,Brivio,Brivio,124.75,1.0,CROSS_FEED_ID_KEY_REVIEW_REQUIRED,NOT_FINALIZED
FALIAS002,00086,FROZEN_GTFS::300086,FROZEN_GTFS::L00086,300086,L00086,Brivio - beverate (cariplo),Brivio - beverate (cariplo),Brivio,Brivio,13.01,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS003,00087,FROZEN_GTFS::300087,FROZEN_GTFS::L00087,300087,L00087,Brivio - vaccarezza,Brivio - vaccarezza,Brivio,Brivio,20.67,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS004,00089,FROZEN_GTFS::300089,FROZEN_GTFS::L00089,300089,L00089,Calco - via statale (edicola),Calco - via statale (edicola),Calco,Calco,13.15,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS005,00207,FROZEN_GTFS::300207,FROZEN_GTFS::L00207,300207,L00207,S.Maria Hoe' - paese,S.Maria Hoe' - paese,Santa Maria Hoè,Santa Maria Hoè,59.47,1.0,CROSS_FEED_ID_KEY_REVIEW_REQUIRED,NOT_FINALIZED
FALIAS006,00397,FROZEN_GTFS::300397,FROZEN_GTFS::L00397,300397,L00397,Calco - via virgilio,Calco - via virgilio,Calco,Calco,45.26,1.0,CROSS_FEED_ID_KEY_REVIEW_REQUIRED,NOT_FINALIZED
FALIAS007,00398,FROZEN_GTFS::300398,FROZEN_GTFS::L00398,300398,L00398,Brivio - beverate (paese),Brivio - beverate (paese),Brivio,Brivio,14.67,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS008,00406,FROZEN_GTFS::300406,FROZEN_GTFS::L00406,300406,L00406,Brivio - via como (pizzeria),Brivio - via como (pizzeria),Brivio,Brivio,24.66,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS009,00407,FROZEN_GTFS::300407,FROZEN_GTFS::L00407,300407,L00407,Olgiate Molgora - stazione f.s.,Olgiate Molgora (stazione f.s.),Olgiate Molgora,Olgiate Molgora,515.58,1.0,CROSS_FEED_ID_KEY_REVIEW_REQUIRED,NOT_FINALIZED
FALIAS010,00487,FROZEN_GTFS::300487,FROZEN_GTFS::L00487,300487,L00487,Brivio - beverate (tre strade),Brivio - beverate (quattro strade),Brivio,Brivio,14.52,0.8929,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS011,00527,FROZEN_GTFS::300527,FROZEN_GTFS::L00527,300527,L00527,Airuno - elettroadda,Airuno - elettroadda,Brivio,Brivio,20.18,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS012,00528,FROZEN_GTFS::300528,FROZEN_GTFS::L00528,300528,L00528,Calco - arlate - (provinciale),Calco- arlate - (provinciale),Calco,Calco,8.59,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS013,00728,FROZEN_GTFS::300728,FROZEN_GTFS::L00728,300728,L00728,Olgiate Molgora - via statale,Olgiate Molgora - via statale,Olgiate Molgora,Olgiate Molgora,5.12,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS014,00729,FROZEN_GTFS::300729,FROZEN_GTFS::L00729,300729,L00729,Calco - via virgilio (pensilina asf),Calco - via virgilio (pensilina asf),Calco,Calco,19.56,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS015,00782,FROZEN_GTFS::300782,FROZEN_GTFS::L00782,300782,L00782,S.Maria Hoe',S.Maria Hoe',Santa Maria Hoè,Santa Maria Hoè,18.99,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS016,00803,FROZEN_GTFS::300803,FROZEN_GTFS::L00803,300803,L00803,Olgiate Molgora - monticello scarpone,Olgiate Molgora - monticello scarpone,Olgiate Molgora,Olgiate Molgora,9.89,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS017,00804,FROZEN_GTFS::300804,FROZEN_GTFS::L00804,300804,L00804,Rovagnate - la pesa,Rovagnate - la pesa,La Valletta Brianza,La Valletta Brianza,27.41,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS018,00871,FROZEN_GTFS::300871,FROZEN_GTFS::L00871,300871,L00871,S.Maria Hoe' - alduno,S.Maria Hoe' - alduno,Santa Maria Hoè,Santa Maria Hoè,41.45,1.0,CROSS_FEED_ID_KEY_REVIEW_REQUIRED,NOT_FINALIZED
FALIAS019,00872,FROZEN_GTFS::300872,FROZEN_GTFS::L00872,300872,L00872,Perego - s.s. 342/via s.caterina,Perego - s.s. 342/via s.caterina,La Valletta Brianza,La Valletta Brianza,10.65,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS020,00873,FROZEN_GTFS::300873,FROZEN_GTFS::L00873,300873,L00873,Hoe',Hoe',Santa Maria Hoè,Santa Maria Hoè,24.44,1.0,STRONG_CROSS_FEED_SOURCE_ALIAS_CANDIDATE,NOT_FINALIZED
FALIAS021,00878,FROZEN_GTFS::300878,FROZEN_GTFS::L00878,300878,L00878,Rovagnate - semaforo,Rovagnate - semaforo,La Valletta Brianza,La Valletta Brianza,84.21,1.0,CROSS_FEED_ID_KEY_REVIEW_REQUIRED,NOT_FINALIZED
