master_source_record_id,source_family,source_record_native_id,operator,route_id,source_stop_name,lat,lon,municipality_reported,physical_municipality_exact,analysis_context_role,source_temporal_status,service_class,legacy_physical_cluster_id,legacy_pro_com_t,source_provenance_status,boarding_point_id_candidate,boarding_point_assignment_status,stop_place_id_candidate,stop_place_assignment_status,routing_terminal_eligibility_status,notes,municipality_comparison_status,municipality_assignment_method
FROZEN_GTFS::300405,FROZEN_GTFS_REFERENCE,300405,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D185,Cisano - sosta,45.739883,9.451267,Brivio,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_009,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300405,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
FROZEN_GTFS::300501,FROZEN_GTFS_REFERENCE,300501,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D140,Monte Marenzo - levata (smalti riva),45.77215,9.44324,Brivio,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_013,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300501,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
FROZEN_GTFS::300638,FROZEN_GTFS_REFERENCE,300638,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D150,Olginate - fornasette,45.7686,9.424767,Brivio,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_017,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300638,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
FROZEN_GTFS::300746,FROZEN_GTFS_REFERENCE,300746,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D170,Merate - sartirana (cimitero),45.71986,9.42384,Calco,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_021,097012,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300746,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
FROZEN_GTFS::300863,FROZEN_GTFS_REFERENCE,300863,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,VCB,Monte Marenzo - smalti riva,45.77215,9.443183,Brivio,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_013,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300863,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
FROZEN_GTFS::300908,FROZEN_GTFS_REFERENCE,300908,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,VCB,Calolziocorte - gerola capolinea arrivo,45.77278,9.44363,Brivio,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_034,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300908,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
FROZEN_GTFS::L00405,FROZEN_GTFS_REFERENCE,L00405,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D185,Cisano - sosta,45.739967,9.451383,Brivio,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_009,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_L00405,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
FROZEN_GTFS::L00504,FROZEN_GTFS_REFERENCE,L00504,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D140|VCB,Monte Marenzo - bisone via industriale,45.766183,9.445683,Brivio,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_040,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_L00504,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
FROZEN_GTFS::L00638,FROZEN_GTFS_REFERENCE,L00638,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D150,Olginate - fornasette,45.768533,9.424833,Brivio,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_017,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_L00638,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
FROZEN_GTFS::L00746,FROZEN_GTFS_REFERENCE,L00746,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D170,Merate - sartirana (cimitero),45.71986,9.4239,Calco,OUTSIDE_CORE,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_021,097012,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_L00746,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.,REPORTED_CONTEXT_BUT_PHYSICALLY_OUTSIDE_CORE,ISTAT_2026_EXACT_POINT_IN_POLYGON
