master_source_record_id,source_family,source_record_native_id,operator,route_id,source_stop_name,lat,lon,municipality_reported,physical_municipality_exact,analysis_context_role,source_temporal_status,service_class,legacy_physical_cluster_id,legacy_pro_com_t,source_provenance_status,boarding_point_id_candidate,boarding_point_assignment_status,stop_place_id_candidate,stop_place_assignment_status,routing_terminal_eligibility_status,notes
FROZEN_GTFS::100005,FROZEN_GTFS_REFERENCE,100005,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D148,Brivio - s.s. briantea,45.73464,9.42271,Brivio,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_001,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_100005,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
FROZEN_GTFS::300063,FROZEN_GTFS_REFERENCE,300063,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D150|D185,Brivio - capolinea,45.741333,9.4457,Brivio,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_002,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300063,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
FROZEN_GTFS::300086,FROZEN_GTFS_REFERENCE,300086,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D150|D185,Brivio - beverate (cariplo),45.7404,9.423083,Brivio,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_003,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300086,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
FROZEN_GTFS::300087,FROZEN_GTFS_REFERENCE,300087,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D148|D150|D185,Brivio - vaccarezza,45.73685,9.436083,Brivio,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_004,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300087,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
FROZEN_GTFS::300089,FROZEN_GTFS_REFERENCE,300089,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D148|D150,Calco - via statale (edicola),45.723933,9.4151,Calco,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_005,097012,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300089,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
FROZEN_GTFS::300207,FROZEN_GTFS_REFERENCE,300207,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D148,S.Maria Hoe' - paese,45.73847,9.38723,Santa Maria Hoè,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_006,097074,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300207,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
FROZEN_GTFS::300397,FROZEN_GTFS_REFERENCE,300397,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D185,Calco - via virgilio,45.72495,9.41495,Calco,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_007,097012,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300397,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
FROZEN_GTFS::300398,FROZEN_GTFS_REFERENCE,300398,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D150|D185,Brivio - beverate (paese),45.73735,9.427967,Brivio,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_008,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300398,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
FROZEN_GTFS::300405,FROZEN_GTFS_REFERENCE,300405,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D185,Cisano - sosta,45.739883,9.451267,Brivio,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_009,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300405,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
FROZEN_GTFS::300406,FROZEN_GTFS_REFERENCE,300406,ARRIVA_LINEELECCO_REFERENCE_UNIVERSE,D148|D150|D185,Brivio - via como (pizzeria),45.742417,9.439367,Brivio,,FROZEN_ROUTING_CONTEXT_UNIVERSE,REFERENCE_PERIOD_2025_26_NOT_CURRENT_SERVICE,CONVENTIONAL_TPL_REFERENCE,EX_010,097010,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,BP_SRC_FROZEN_300406,SOURCE_PRESERVED_IDENTITY_NOT_CONFLATED,,NOT_ASSIGNED_FROM_LEGACY_40M_CLUSTER,NOT_EVALUATED,Legacy physical_cluster_id retained only as provenance/candidate-neighbourhood information. PRO_COM_T is not strict municipality truth.
