procom_res,origin_name,procom_lav,destination_name,workers,rank,category,share_of_origin_pct,cumulative_share_pct
097010,Brivio,097010,Brivio,323,1,SELF,19.434416,19.434416
097010,Brivio,097042,Lecco,113,2,S8_DIRECT,6.799037,26.233454
097010,Brivio,097048,Merate,105,3,OTHER_EXTERNAL,6.317690,32.551143
097010,Brivio,015146,Milano,80,4,S8_DIRECT,4.813478,37.364621
097010,Brivio,016074,Cisano Bergamasco,71,5,OTHER_EXTERNAL,4.271961,41.636582
097010,Brivio,097059,Olginate,67,6,OTHER_EXTERNAL,4.031288,45.667870
097010,Brivio,097058,Olgiate Molgora,64,7,OTHER_CORE,3.850782,49.518652
097010,Brivio,097013,Calolziocorte,45,8,S8_DIRECT,2.707581,52.226233
097010,Brivio,097012,Calco,41,9,OTHER_CORE,2.466907,54.693141
097010,Brivio,097020,Cernusco Lombardone,38,10,S8_DIRECT,2.286402,56.979543
097010,Brivio,097061,Osnago,29,11,S8_DIRECT,1.744886,58.724428
097010,Brivio,097002,Airuno,27,12,S8_DIRECT,1.624549,60.348977
097010,Brivio,097091,Verderio,26,13,OTHER_EXTERNAL,1.564380,61.913357
097010,Brivio,016024,Bergamo,22,14,OTHER_EXTERNAL,1.323706,63.237064
097010,Brivio,108033,Monza,21,15,S8_DIRECT,1.263538,64.500602
097010,Brivio,097057,Oggiono,19,16,OTHER_EXTERNAL,1.143201,65.643803
097010,Brivio,097044,Lomagna,18,17,OTHER_EXTERNAL,1.083032,66.726835
097010,Brivio,097049,Missaglia,18,18,OTHER_EXTERNAL,1.083032,67.809868
097010,Brivio,016046,Calusco d'Adda,17,19,OTHER_EXTERNAL,1.022864,68.832732
097010,Brivio,016238,Villa d'Adda,17,20,OTHER_EXTERNAL,1.022864,69.855596
097010,Brivio,016034,Bottanuco,14,21,OTHER_EXTERNAL,0.842359,70.697954
097010,Brivio,097071,Robbiate,14,22,OTHER_EXTERNAL,0.842359,71.540313
097010,Brivio,016057,Carvico,12,23,OTHER_EXTERNAL,0.722022,72.262335
097010,Brivio,097092,La Valletta Brianza,12,24,OTHER_CORE,0.722022,72.984356
097010,Brivio,108050,Vimercate,12,25,OTHER_EXTERNAL,0.722022,73.706378
097010,Brivio,108001,Agrate Brianza,11,26,OTHER_EXTERNAL,0.661853,74.368231
097010,Brivio,016171,Pontida,10,27,OTHER_EXTERNAL,0.601685,74.969916
097010,Brivio,108038,Ronco Briantino,10,28,OTHER_EXTERNAL,0.601685,75.571600
097010,Brivio,097083,Valmadrera,10,29,OTHER_EXTERNAL,0.601685,76.173285
097010,Brivio,097005,Barzago,9,30,OTHER_EXTERNAL,0.541516,76.714801
097010,Brivio,097051,Molteno,9,31,OTHER_EXTERNAL,0.541516,77.256318
097010,Brivio,097074,Santa Maria Hoè,9,32,OTHER_CORE,0.541516,77.797834
097010,Brivio,108044,Usmate Velate,9,33,OTHER_EXTERNAL,0.541516,78.339350
097010,Brivio,097006,BarzanÃ²,8,34,OTHER_EXTERNAL,0.481348,78.820698
097010,Brivio,097053,Montevecchia,8,35,OTHER_EXTERNAL,0.481348,79.302046
097010,Brivio,108036,Ornago,8,36,OTHER_EXTERNAL,0.481348,79.783394
097010,Brivio,108012,Brugherio,7,37,OTHER_EXTERNAL,0.421179,80.204573
097010,Brivio,097016,Casatenovo,7,38,OTHER_EXTERNAL,0.421179,80.625752
