procom_lav,destination_name,workers,n_core_origins,rank,category,share_of_core_resident_workers_pct,cumulative_share_pct
097048,Merate,680,5,1,OTHER_EXTERNAL,7.767878,7.767878
097058,Olgiate Molgora,618,5,2,CORE_LOCAL,7.059630,14.827507
015146,Milano,571,5,3,S8_DIRECT,6.522732,21.350240
097010,Brivio,519,5,4,CORE_LOCAL,5.928718,27.278958
097042,Lecco,511,5,5,S8_DIRECT,5.837332,33.116290
097012,Calco,498,5,6,CORE_LOCAL,5.688828,38.805118
097092,La Valletta Brianza,481,5,7,CORE_LOCAL,5.494631,44.299749
097074,Santa Maria Hoè,254,5,8,CORE_LOCAL,2.901531,47.201279
097020,Cernusco Lombardone,202,5,9,S8_DIRECT,2.307517,49.508796
097061,Osnago,184,5,10,S8_DIRECT,2.101896,51.610692
016074,Cisano Bergamasco,141,5,11,OTHER_EXTERNAL,1.610692,53.221385
097059,Olginate,138,5,12,OTHER_EXTERNAL,1.576422,54.797807
108033,Monza,132,5,13,S8_DIRECT,1.507882,56.305689
097049,Missaglia,127,5,14,OTHER_EXTERNAL,1.450765,57.756454
097044,Lomagna,126,5,15,OTHER_EXTERNAL,1.439342,59.195796
097013,Calolziocorte,124,5,16,S8_DIRECT,1.416495,60.612292
108050,Vimercate,116,5,17,OTHER_EXTERNAL,1.325109,61.937400
097071,Robbiate,106,5,18,OTHER_EXTERNAL,1.210875,63.148275
097057,Oggiono,104,5,19,OTHER_EXTERNAL,1.188028,64.336303
097005,Barzago,100,5,20,OTHER_EXTERNAL,1.142335,65.478638
097091,Verderio,97,5,21,OTHER_EXTERNAL,1.108065,66.586703
097006,BarzanÃ²,83,5,22,OTHER_EXTERNAL,0.948138,67.534841
097076,Sirtori,81,5,23,OTHER_EXTERNAL,0.925291,68.460133
097031,Dolzago,63,5,24,OTHER_EXTERNAL,0.719671,69.179804
097002,Airuno,62,5,25,S8_DIRECT,0.708248,69.888051
108001,Agrate Brianza,61,4,26,OTHER_EXTERNAL,0.696824,70.584875
097016,Casatenovo,56,5,27,OTHER_EXTERNAL,0.639708,71.224583
097019,Castello di Brianza,56,5,28,OTHER_EXTERNAL,0.639708,71.864291
108044,Usmate Velate,54,5,29,OTHER_EXTERNAL,0.616861,72.481151
097083,Valmadrera,54,5,30,OTHER_EXTERNAL,0.616861,73.098012
016024,Bergamo,53,5,31,OTHER_EXTERNAL,0.605438,73.703450
108053,Cornate d'Adda,53,5,32,OTHER_EXTERNAL,0.605438,74.308887
108012,Brugherio,46,5,33,OTHER_EXTERNAL,0.525474,74.834361
097011,Bulciago,46,5,34,OTHER_EXTERNAL,0.525474,75.359836
097026,Costa Masnaga,46,5,35,OTHER_EXTERNAL,0.525474,75.885310
016046,Calusco d'Adda,45,5,36,OTHER_EXTERNAL,0.514051,76.399360
097075,Sirone,44,5,37,OTHER_EXTERNAL,0.502627,76.901988
108038,Ronco Briantino,43,5,38,OTHER_EXTERNAL,0.491204,77.393192
097009,Bosisio Parini,42,4,39,OTHER_EXTERNAL,0.479781,77.872972
097037,Garbagnate Monastero,41,4,40,OTHER_EXTERNAL,0.468357,78.341330
108004,Arcore,40,5,41,S8_DIRECT,0.456934,78.798264
097051,Molteno,39,5,42,OTHER_EXTERNAL,0.445511,79.243774
097054,Monticello Brianza,39,5,43,OTHER_EXTERNAL,0.445511,79.689285
097053,Montevecchia,37,5,44,OTHER_EXTERNAL,0.422664,80.111949
108008,Besana in Brianza,35,5,45,OTHER_EXTERNAL,0.399817,80.511766
097036,Galbiate,35,5,46,OTHER_EXTERNAL,0.399817,80.911583
097038,Garlate,35,5,47,OTHER_EXTERNAL,0.399817,81.311401
