origin,origin_name,destination,destination_name,workers_2011,workers_2021,change_abs,change_pct,category
097010,Brivio,015146,Milano,90,80,-10,-11.111111,S8
097010,Brivio,015209,015209,3,5,2,66.666667,S8
097010,Brivio,097002,097002,39,27,-12,-30.769231,S8
097010,Brivio,097010,Brivio,467,323,-144,-30.835118,CORE
097010,Brivio,097012,Calco,65,41,-24,-36.923077,CORE
097010,Brivio,097013,097013,30,45,15,50.000000,S8
097010,Brivio,097020,097020,30,38,8,26.666667,S8
097010,Brivio,097042,Lecco,83,113,30,36.144578,S8
097010,Brivio,097048,Merate,157,105,-52,-33.121019,KEY_EXTERNAL
097010,Brivio,097058,Olgiate Molgora,53,64,11,20.754717,CORE
097010,Brivio,097061,097061,42,29,-13,-30.952381,S8
097010,Brivio,097074,Santa Maria Hoè,16,9,-7,-43.750000,CORE
097010,Brivio,097092,La Valletta Brianza,21,12,-9,-42.857143,CORE
097010,Brivio,108004,108004,6,4,-2,-33.333333,S8
097010,Brivio,108016,108016,6,6,0,0.000000,S8
097010,Brivio,108033,108033,22,21,-1,-4.545455,S8
097012,Calco,015146,Milano,179,170,-9,-5.027933,S8
097012,Calco,015209,015209,12,7,-5,-41.666667,S8
097012,Calco,097002,097002,16,12,-4,-25.000000,S8
097012,Calco,097010,Brivio,100,89,-11,-11.000000,CORE
097012,Calco,097012,Calco,321,279,-42,-13.084112,CORE
097012,Calco,097013,097013,19,31,12,63.157895,S8
097012,Calco,097020,097020,54,53,-1,-1.851852,S8
097012,Calco,097042,Lecco,74,124,50,67.567568,S8
097012,Calco,097048,Merate,268,205,-63,-23.507463,KEY_EXTERNAL
097012,Calco,097058,Olgiate Molgora,94,120,26,27.659574,CORE
097012,Calco,097061,097061,58,60,2,3.448276,S8
097012,Calco,097074,Santa Maria Hoè,34,24,-10,-29.411765,CORE
097012,Calco,097092,La Valletta Brianza,39,36,-3,-7.692308,CORE
097012,Calco,108004,108004,15,8,-7,-46.666667,S8
097012,Calco,108016,108016,7,5,-2,-28.571429,S8
097012,Calco,108033,108033,32,48,16,50.000000,S8
097058,Olgiate Molgora,015146,Milano,204,185,-19,-9.313725,S8
097058,Olgiate Molgora,015209,015209,12,12,0,0.000000,S8
097058,Olgiate Molgora,097002,097002,18,12,-6,-33.333333,S8
097058,Olgiate Molgora,097010,Brivio,86,75,-11,-12.790698,CORE
097058,Olgiate Molgora,097012,Calco,136,101,-35,-25.735294,CORE
097058,Olgiate Molgora,097013,097013,22,27,5,22.727273,S8
097058,Olgiate Molgora,097020,097020,60,59,-1,-1.666667,S8
097058,Olgiate Molgora,097042,Lecco,100,138,38,38.000000,S8
097058,Olgiate Molgora,097048,Merate,211,217,6,2.843602,KEY_EXTERNAL
097058,Olgiate Molgora,097058,Olgiate Molgora,382,326,-56,-14.659686,CORE
097058,Olgiate Molgora,097061,097061,37,62,25,67.567568,S8
097058,Olgiate Molgora,097074,Santa Maria Hoè,80,41,-39,-48.750000,CORE
097058,Olgiate Molgora,097092,La Valletta Brianza,76,75,-1,-1.315789,CORE
097058,Olgiate Molgora,108004,108004,18,17,-1,-5.555556,S8
097058,Olgiate Molgora,108016,108016,8,7,-1,-12.500000,S8
097058,Olgiate Molgora,108033,108033,43,35,-8,-18.604651,S8
097074,Santa Maria Hoè,015146,Milano,41,28,-13,-31.707317,S8
097074,Santa Maria Hoè,015209,015209,3,2,-1,-33.333333,S8
097074,Santa Maria Hoè,097002,097002,3,6,3,100.000000,S8
097074,Santa Maria Hoè,097010,Brivio,14,7,-7,-50.000000,CORE
097074,Santa Maria Hoè,097012,Calco,33,21,-12,-36.363636,CORE
097074,Santa Maria Hoè,097013,097013,4,4,0,0.000000,S8
097074,Santa Maria Hoè,097020,097020,16,17,1,6.250000,S8
097074,Santa Maria Hoè,097042,Lecco,31,50,19,61.290323,S8
097074,Santa Maria Hoè,097048,Merate,58,66,8,13.793103,KEY_EXTERNAL
097074,Santa Maria Hoè,097058,Olgiate Molgora,64,49,-15,-23.437500,CORE
097074,Santa Maria Hoè,097061,097061,9,7,-2,-22.222222,S8
097074,Santa Maria Hoè,097074,Santa Maria Hoè,169,112,-57,-33.727811,CORE
097074,Santa Maria Hoè,097092,La Valletta Brianza,87,83,-4,-4.597701,CORE
097074,Santa Maria Hoè,108004,108004,2,4,2,100.000000,S8
097074,Santa Maria Hoè,108016,108016,7,4,-3,-42.857143,S8
097074,Santa Maria Hoè,108033,108033,9,6,-3,-33.333333,S8
097092,La Valletta Brianza,015146,Milano,104,108,4,3.846154,S8
097092,La Valletta Brianza,015209,015209,4,6,2,50.000000,S8
097092,La Valletta Brianza,097002,097002,9,5,-4,-44.444444,S8
097092,La Valletta Brianza,097010,Brivio,36,25,-11,-30.555556,CORE
097092,La Valletta Brianza,097012,Calco,53,56,3,5.660377,CORE
097092,La Valletta Brianza,097013,097013,9,17,8,88.888889,S8
097092,La Valletta Brianza,097020,097020,37,35,-2,-5.405405,S8
097092,La Valletta Brianza,097042,Lecco,64,86,22,34.375000,S8
097092,La Valletta Brianza,097048,Merate,107,87,-20,-18.691589,KEY_EXTERNAL
097092,La Valletta Brianza,097058,Olgiate Molgora,82,59,-23,-28.048780,CORE
097092,La Valletta Brianza,097061,097061,32,26,-6,-18.750000,S8
097092,La Valletta Brianza,097074,Santa Maria Hoè,90,68,-22,-24.444444,CORE
097092,La Valletta Brianza,097092,La Valletta Brianza,377,275,-102,-27.055703,CORE
097092,La Valletta Brianza,108004,108004,9,7,-2,-22.222222,S8
097092,La Valletta Brianza,108016,108016,7,2,-5,-71.428571,S8
097092,La Valletta Brianza,108033,108033,20,22,2,10.000000,S8
