sensitivity_id,bus_ivt_weight,walk_weight,wait_weight,transfer_penalty_min,missed_connection_cost_multiplier
GJT2_000,1.0,1.5,1.5,2.0,1.0
GJT2_001,1.0,1.5,1.5,6.0,1.0
GJT2_002,1.0,1.5,1.5,10.0,1.0
GJT2_003,1.0,1.5,2.0,2.0,1.0
GJT2_004,1.0,1.5,2.0,6.0,1.0
GJT2_005,1.0,1.5,2.0,10.0,1.0
GJT2_006,1.0,1.5,2.5,2.0,1.0
GJT2_007,1.0,1.5,2.5,6.0,1.0
GJT2_008,1.0,1.5,2.5,10.0,1.0
GJT2_009,1.0,1.75,1.5,2.0,1.0
GJT2_010,1.0,1.75,1.5,6.0,1.0
GJT2_011,1.0,1.75,1.5,10.0,1.0
GJT2_012,1.0,1.75,2.0,2.0,1.0
GJT2_013,1.0,1.75,2.0,6.0,1.0
GJT2_014,1.0,1.75,2.0,10.0,1.0
GJT2_015,1.0,1.75,2.5,2.0,1.0
GJT2_016,1.0,1.75,2.5,6.0,1.0
GJT2_017,1.0,1.75,2.5,10.0,1.0
GJT2_018,1.0,2.0,1.5,2.0,1.0
GJT2_019,1.0,2.0,1.5,6.0,1.0
GJT2_020,1.0,2.0,1.5,10.0,1.0
GJT2_021,1.0,2.0,2.0,2.0,1.0
GJT2_022,1.0,2.0,2.0,6.0,1.0
GJT2_023,1.0,2.0,2.0,10.0,1.0
GJT2_024,1.0,2.0,2.5,2.0,1.0
GJT2_025,1.0,2.0,2.5,6.0,1.0
GJT2_026,1.0,2.0,2.5,10.0,1.0
GJT2_027,1.2,1.5,1.5,2.0,1.0
GJT2_028,1.2,1.5,1.5,6.0,1.0
GJT2_029,1.2,1.5,1.5,10.0,1.0
GJT2_030,1.2,1.5,2.0,2.0,1.0
GJT2_031,1.2,1.5,2.0,6.0,1.0
GJT2_032,1.2,1.5,2.0,10.0,1.0
GJT2_033,1.2,1.5,2.5,2.0,1.0
GJT2_034,1.2,1.5,2.5,6.0,1.0
GJT2_035,1.2,1.5,2.5,10.0,1.0
GJT2_036,1.2,1.75,1.5,2.0,1.0
GJT2_037,1.2,1.75,1.5,6.0,1.0
GJT2_038,1.2,1.75,1.5,10.0,1.0
GJT2_039,1.2,1.75,2.0,2.0,1.0
GJT2_040,1.2,1.75,2.0,6.0,1.0
GJT2_041,1.2,1.75,2.0,10.0,1.0
GJT2_042,1.2,1.75,2.5,2.0,1.0
GJT2_043,1.2,1.75,2.5,6.0,1.0
GJT2_044,1.2,1.75,2.5,10.0,1.0
GJT2_045,1.2,2.0,1.5,2.0,1.0
GJT2_046,1.2,2.0,1.5,6.0,1.0
GJT2_047,1.2,2.0,1.5,10.0,1.0
GJT2_048,1.2,2.0,2.0,2.0,1.0
GJT2_049,1.2,2.0,2.0,6.0,1.0
GJT2_050,1.2,2.0,2.0,10.0,1.0
GJT2_051,1.2,2.0,2.5,2.0,1.0
GJT2_052,1.2,2.0,2.5,6.0,1.0
GJT2_053,1.2,2.0,2.5,10.0,1.0
GJT2_054,1.4,1.5,1.5,2.0,1.0
GJT2_055,1.4,1.5,1.5,6.0,1.0
GJT2_056,1.4,1.5,1.5,10.0,1.0
GJT2_057,1.4,1.5,2.0,2.0,1.0
GJT2_058,1.4,1.5,2.0,6.0,1.0
GJT2_059,1.4,1.5,2.0,10.0,1.0
GJT2_060,1.4,1.5,2.5,2.0,1.0
GJT2_061,1.4,1.5,2.5,6.0,1.0
GJT2_062,1.4,1.5,2.5,10.0,1.0
GJT2_063,1.4,1.75,1.5,2.0,1.0
GJT2_064,1.4,1.75,1.5,6.0,1.0
GJT2_065,1.4,1.75,1.5,10.0,1.0
GJT2_066,1.4,1.75,2.0,2.0,1.0
GJT2_067,1.4,1.75,2.0,6.0,1.0
GJT2_068,1.4,1.75,2.0,10.0,1.0
GJT2_069,1.4,1.75,2.5,2.0,1.0
GJT2_070,1.4,1.75,2.5,6.0,1.0
GJT2_071,1.4,1.75,2.5,10.0,1.0
GJT2_072,1.4,2.0,1.5,2.0,1.0
GJT2_073,1.4,2.0,1.5,6.0,1.0
GJT2_074,1.4,2.0,1.5,10.0,1.0
GJT2_075,1.4,2.0,2.0,2.0,1.0
GJT2_076,1.4,2.0,2.0,6.0,1.0
GJT2_077,1.4,2.0,2.0,10.0,1.0
GJT2_078,1.4,2.0,2.5,2.0,1.0
GJT2_079,1.4,2.0,2.5,6.0,1.0
GJT2_080,1.4,2.0,2.5,10.0,1.0
