journey_key,origin_code,origin_municipality,destination_code,destination_municipality,demand_weight,layer,source_resolution,category,rail_addressability,rail_semantics,spatial_allocation_status,full_gjt_ready,evidence_status
097010>015146,097010,Brivio,015146,Milano,80.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097010>015209,097010,Brivio,015209,Sesto San Giovanni,5.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097010>097002,097010,Brivio,097002,Airuno,27.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097010>097013,097010,Brivio,097013,Calolziocorte,45.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097010>097020,097010,Brivio,097020,Cernusco Lombardone,38.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097010>097042,097010,Brivio,097042,Lecco,113.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097010>097061,097010,Brivio,097061,Osnago,29.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097010>108004,097010,Brivio,108004,Arcore,4.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097010>108016,097010,Brivio,108016,Carnate,6.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097010>108033,097010,Brivio,108033,Monza,21.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097012>015146,097012,Calco,015146,Milano,170.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097012>015209,097012,Calco,015209,Sesto San Giovanni,7.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097012>097002,097012,Calco,097002,Airuno,12.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097012>097013,097012,Calco,097013,Calolziocorte,31.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097012>097020,097012,Calco,097020,Cernusco Lombardone,53.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
097012>097042,097012,Calco,097042,Lecco,124.000000000,ISTAT_2021_WORK_S8_DIRECT,MUNICIPAL_OD,S8_DIRECT,DIRECT_S8_GTFS_VERIFIED,INFRASTRUCTURE_ADDRESSABILITY_NOT_MODAL_SHARE,MUNICIPAL_OD_ONLY_NO_SPATIAL_ALLOCATION,false,DERIVED_FROM_ISTAT_2021_WORK_OD_AND_VERIFIED_S8_MUNICIPAL_ADDRESSABILITY
