route_id,runtime_archetype_id,roles,public_runtime_min,cycle_runtime_min,rail_to_bus_passenger_supported,bus_to_rail_passenger_supported,roundtrip_passenger_supported,passenger_support_class,support_evidence_status,passenger_demand_assigned_to_route,passenger_utility_calculated
R2_00007599c8bbc7a4feef,RT2_2d327598dd49a5cfc3fa,PUBLIC,42.313725198,42.313725198,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_0001c4ef12e6deb20828,RT2_dcafe13bb888d59b8a59,EXTENSION,46.107687934,46.107687934,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_00020aee739564e8cafd,RT2_3a973df2828e196f9435,EXTENSION,44.843928552,44.843928552,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_00022aa0de2278b54916,RT2_cfd4c5f853cca446ebe8,EXTENSION,33.078608779,33.078608779,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_0003e3dbcdb664d94401,RT2_0dca10b2438c348f7249,PUBLIC,39.055993183,39.055993183,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_00053f0fda08324ae8ec,RT2_3802f404db79583048e1,PUBLIC,20.024975849,27.040040990,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_00054be6e905fda52cf6,RT2_ac2f0b86623ae0745d3b,PUBLIC,31.527017901,48.843225439,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_000894c3d25516d665ed,RT2_547bb007b6cd7b02f450,EXTENSION,36.968690521,36.968690521,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_0008a2ba5e3a6f66d4e0,RT2_0a8b50edf78cff942928,PUBLIC,12.239716541,14.561626952,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_000d07206c30485bb27b,RT2_317cae5f30b931161cfa,EXTENSION,27.097184405,27.097184405,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
