budget_suffix,uniform_headway_min,span_id,calendar_id,annual_service_days,input_plan_count,passenger_context_frontier_plan_count
m20pct,15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,618,22
m20pct,15,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,586,18
m20pct,15,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,515,175
m20pct,15,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,578,16
m20pct,15,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,501,171
m20pct,15,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,497,177
m20pct,20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,805,94
m20pct,20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,656,48
m20pct,20,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,610,20
m20pct,20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,620,48
m20pct,20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,586,20
m20pct,20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,564,14
m20pct,30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,1117,243
m20pct,30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,928,173
m20pct,30,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,833,110
m20pct,30,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,855,164
m20pct,30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,759,106
m20pct,30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,695,64
m20pct,60,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,2024,744
m20pct,60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,1723,625
m20pct,60,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,1555,503
m20pct,60,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,1793,663
m20pct,60,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,1563,511
m20pct,60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,1374,416
m10pct,15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,658,50
m10pct,15,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,610,20
m10pct,15,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,580,65
m10pct,15,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,588,22
m10pct,15,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,562,65
m10pct,15,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,499,169
m10pct,20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,858,127
m10pct,20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,757,74
m10pct,20,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,642,34
m10pct,20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,725,88
m10pct,20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,612,40
m10pct,20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,586,20
m10pct,30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,1266,352
m10pct,30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,1041,221
m10pct,30,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,904,153
m10pct,30,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,953,240
m10pct,30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,811,140
m10pct,30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,749,100
m10pct,60,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,2201,744
m10pct,60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,1924,716
m10pct,60,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,1676,588
m10pct,60,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,1982,754
m10pct,60,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,1685,591
m10pct,60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,1509,479
reference,15,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,757,74
reference,15,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,630,26
reference,15,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,602,20
reference,15,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,612,40
reference,15,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,578,16
reference,15,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,507,10
reference,20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,928,175
reference,20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,312,825,108
reference,20,CORE_0600_2200,IDEALISED_DAILY_YEAR,365,678,62
reference,20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,260,759,108
reference,20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,312,691,60
reference,20,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,365,596,28
reference,30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,260,1404,428
