plan_id,scenario_id,topology_family,frontier_basis,uniform_headway_min,span_id,span_start_min,span_end_min,span_minutes,calendar_id,annual_service_days,extension_share,public_population_covered_10min,public_population_coverage_share_10min,public_worst_municipality_10min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_od_relation_count,public_structurally_addressable_worker_od_mass_upper_bound,public_plus_extensions_population_covered_10min,public_plus_extensions_population_coverage_share_10min,public_plus_extensions_worst_municipality_10min,public_plus_extensions_worst_municipality_coverage_share_10min,public_plus_extensions_structurally_addressable_od_relation_count,public_plus_extensions_structurally_addressable_worker_od_mass_upper_bound,expected_pattern_set_cycle_distance_km,expected_pattern_set_cycle_runtime_min,annual_bus_km,fleet_lower_bound_recovery5,fleet_lower_bound_recovery10,fleet_lower_bound_recovery15,public_explicit_proposed_stop_count,public_explicit_existing_stop_count,public_explicit_field_check_pending_count,s8_public_route_count,s8_public_complete_match_route_count,s8_public_complete_match_route_share,s8_public_all_routes_have_some_complete_match_phase,s8_public_any_route_has_some_complete_match_phase,s8_public_roundtrip_route_count,s8_public_roundtrip_complete_match_route_share,s8_public_roundtrip_best_complete_gap_min_min,s8_public_roundtrip_best_complete_gap_min_max,s8_public_roundtrip_worst_complete_gap_min_min,s8_public_roundtrip_worst_complete_gap_min_max,s8_public_rail_to_bus_only_route_count,s8_public_rail_to_bus_only_complete_match_route_share,s8_extension_route_count,s8_extension_complete_match_route_share,s8_extension_all_routes_have_some_complete_match_phase,s8_extension_any_route_has_some_complete_match_phase,reference_budget_robust_all_recoveries,structural_shortlist,frequent_service_30min_or_better,extension_access_realised,weighted_composite_score_used,worker_reference_assigned_to_routes,s8_phase_selected,joint_vehicle_block_timetable_feasibility_evaluated,exact_timetable_constructed,topology_ranked,service_policy_selected,primary_selected,runner_up_selected,plan_level_frontier_classes,base_access_realised,extension_upper_bound_only,plan_level_ranked,exact_timetable_required_next
P2PLAN_0185db16aba79177,P2_bab8ad99e3603982,hybrid_interlined,PUBLIC,30,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_6_DAY_52_WEEK,312,0.00,4177.066916878051,0.183037387245,Brivio,0.010743097632,6,356.000000000,4177.066916878051,0.183037387245,Brivio,0.010743097632,6,356.000000000,8.948550217,15.298828660,103302.063705,1,2,2,1,1,1,2,0,0.000000000,false,false,2,0.000000000,,,,,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
P2PLAN_018660a2843fb980,P2_ff73cfc74b098c91,scheduled_extensions,EXTENSION_UPPER_BOUND+PUBLIC,60,CORE_0600_2200,360,1320,960,IDEALISED_5_DAY_52_WEEK,260,0.25,4625.719282834228,0.202697152932,La Valletta Brianza,0.000000000000,2,139.000000000,6294.444992549373,0.275820040358,La Valletta Brianza,0.000000000000,6,490.000000000,12.395246681,23.746216566,51564.226194,1,1,1,0,1,0,1,1,1.000000000,true,true,1,1.000000000,21.544172027,21.544172027,21.544172027,21.544172027,0,,1,1.000000000,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,EXTENSION_UPPER_BOUND_UNRESTRICTED,false,true,false,true
P2PLAN_01c502ca6fbfb614,P2_9a68d80d3deb6755,scheduled_extensions,PUBLIC,20,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_6_DAY_52_WEEK,312,0.25,4328.243442782601,0.189661881624,Brivio,0.000000000000,2,221.000000000,5782.991207416099,0.253408341817,La Valletta Brianza,0.000000000000,2,221.000000000,3.630643269,6.349685639,62868.218850,1,1,2,0,1,0,1,0,0.000000000,false,false,1,0.000000000,,,,,0,,1,0.000000000,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,EXTENSION_UPPER_BOUND_FREQUENT_30;EXTENSION_UPPER_BOUND_UNRESTRICTED,false,true,false,true
P2PLAN_02391cf50d2c96df,P2_3952117a13ec7506,two_independent_loops,PUBLIC,60,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,0.00,8376.450829737198,0.367052696251,Calco,0.171996948300,12,567.000000000,8376.450829737198,0.367052696251,Calco,0.171996948300,12,567.000000000,19.348490861,36.400255707,96587.666378,1,1,2,1,4,1,2,2,1.000000000,true,true,2,1.000000000,20.336570784,24.537690310,20.336570784,24.537690310,0,,0,,,,true,true,false,false,false,false,false,false,false,false,false,false,false,BASE_UNRESTRICTED,true,false,false,true
P2PLAN_02d05e32f74774dd,P2_bc1e37be7e7a349b,single_compact_loop,PUBLIC,30,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,0.00,5543.867920188278,0.242930055834,Santa Maria Hoè,0.063137253657,12,641.000000000,5543.867920188278,0.242930055834,Santa Maria Hoè,0.063137253657,12,641.000000000,10.991932586,17.855835190,109743.454939,1,1,2,1,2,1,1,1,1.000000000,true,true,1,1.000000000,15.109276879,15.109276879,15.109276879,15.109276879,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
P2PLAN_032c48c14dd9c979,P2_3d61cecc053c5af4,scheduled_extensions,EXTENSION_UPPER_BOUND+PUBLIC,30,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_6_DAY_52_WEEK,312,0.25,4328.243442782601,0.189661881624,Brivio,0.000000000000,2,221.000000000,6401.095395636682,0.280493417998,Brivio,0.000000000000,6,447.000000000,4.767196820,7.912382723,55032.520090,1,1,1,0,1,0,1,0,0.000000000,false,false,1,0.000000000,,,,,0,,1,0.000000000,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,EXTENSION_UPPER_BOUND_FREQUENT_30;EXTENSION_UPPER_BOUND_UNRESTRICTED,false,true,false,true
P2PLAN_037859dd5565cd6a,P2_83df62ba410ac17c,two_radial_out_and_back_feeders,PUBLIC,20,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_5_DAY_52_WEEK,260,0.00,4756.236167303790,0.208416350158,Brivio,0.000465712767,0,0.000000000,4756.236167303790,0.208416350158,Brivio,0.000465712767,0,0.000000000,5.697547748,12.969824297,82215.614004,2,2,3,1,1,1,2,0,0.000000000,false,false,2,0.000000000,,,,,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
P2PLAN_04bcb725b60c8f67,P2_cdd20a132d6e273d,blank_slate,PUBLIC,30,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,0.00,6862.934486120582,0.300731020634,Brivio,0.000465712767,6,375.000000000,6862.934486120582,0.300731020634,Brivio,0.000465712767,6,375.000000000,9.418848321,19.611421438,94037.781637,1,1,2,1,2,1,1,1,1.000000000,true,true,1,1.000000000,14.231483755,14.231483755,14.231483755,14.231483755,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
P2PLAN_06277a2ac991ba53,P2_630176384d80fc43,blank_slate,PUBLIC,60,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,0.00,8527.965081130689,0.373691989625,Santa Maria Hoè,0.000000000000,12,753.000000000,8527.965081130689,0.373691989625,Santa Maria Hoè,0.000000000000,12,753.000000000,18.917785893,34.560905428,94437.587178,1,1,1,1,3,1,1,1,1.000000000,true,true,1,1.000000000,23.701481399,23.701481399,29.256741760,29.256741760,0,,0,,,,true,true,false,false,false,false,false,false,false,false,false,false,false,BASE_UNRESTRICTED,true,false,false,true
P2PLAN_062fe44f9b7973e5,P2_d8dce4f9ed44fba4,blank_slate,PUBLIC,30,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_DAILY_YEAR,365,0.00,6246.295216999681,0.273710136617,Brivio,0.000000000000,6,375.000000000,6246.295216999681,0.273710136617,Brivio,0.000000000000,6,375.000000000,8.058230847,13.661199753,108826.407589,1,1,1,0,2,0,1,0,0.000000000,false,false,1,0.000000000,,,,,0,,0,,,,true,true,true,false,false,false,false,false,false,false,false,false,false,BASE_FREQUENT_30;BASE_UNRESTRICTED,true,false,false,true
