scenario_id,topology_family,reference_budget_screening_feasible,feasible_policy_count_reference,min_feasible_headway_min_reference,max_feasible_span_min_reference,max_feasible_annual_service_days_reference,min_aggregate_interlinable_fleet_lower_bound_reference,max_annual_bus_km_within_envelope_reference,public_population_covered_10min,public_population_coverage_share_10min,public_worst_municipality_10min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_od_relation_count,public_structurally_addressable_worker_od_mass_upper_bound,public_other_core_worker_od_mass_upper_bound,public_s8_direct_worker_od_mass_upper_bound,public_other_external_worker_od_mass_upper_bound,public_plus_extensions_population_covered_10min,public_plus_extensions_population_coverage_share_10min,public_plus_extensions_worst_municipality_10min,public_plus_extensions_worst_municipality_coverage_share_10min,public_plus_extensions_structurally_addressable_od_relation_count,public_plus_extensions_structurally_addressable_worker_od_mass_upper_bound,public_plus_extensions_other_core_worker_od_mass_upper_bound,public_plus_extensions_s8_direct_worker_od_mass_upper_bound,public_plus_extensions_other_external_worker_od_mass_upper_bound,public_structural_pareto_frontier,public_plus_extensions_upper_bound_pareto_frontier,structural_frontier_union,topology_ranked,service_policy_selected,full_passenger_gjt_calculated,s8_phase_selected,nonfrontier_pruning_authorized
P2_068cf386067d7572,two_independent_loops,true,6,60,1110,260,1,109171.904604,2387.975252328618,0.104640112234,La Valletta Brianza,0.047087312348,16,1367.000000000,753.000000000,0.000000000,614.000000000,2387.975252328618,0.104640112234,La Valletta Brianza,0.047087312348,16,1367.000000000,753.000000000,0.000000000,614.000000000,true,true,true,false,false,false,false,false
P2_2ce4f2671496dafa,two_independent_loops,true,6,60,1110,260,1,109506.659507,2654.908368955681,0.116337013722,La Valletta Brianza,0.022518683609,16,1367.000000000,753.000000000,0.000000000,614.000000000,2654.908368955681,0.116337013722,La Valletta Brianza,0.022518683609,16,1367.000000000,753.000000000,0.000000000,614.000000000,true,true,true,false,false,false,false,false
P2_318ce70a26ea3c1d,interlined_figure8,true,3,60,960,260,1,101675.923498,6283.657346077740,0.275347330042,Santa Maria Hoè,0.000000000000,16,1367.000000000,753.000000000,0.000000000,614.000000000,6283.657346077740,0.275347330042,Santa Maria Hoè,0.000000000000,16,1367.000000000,753.000000000,0.000000000,614.000000000,true,true,true,false,false,false,false,false
P2_362883829605b013,two_independent_loops,true,3,60,960,260,1,101488.358496,8653.046412617972,0.379173003112,La Valletta Brianza,0.203333660728,20,1055.000000000,1055.000000000,0.000000000,0.000000000,8653.046412617972,0.379173003112,La Valletta Brianza,0.203333660728,20,1055.000000000,1055.000000000,0.000000000,0.000000000,true,true,true,false,false,false,false,false
P2_62d3dc4513744f30,two_independent_loops,true,3,60,960,260,1,97838.845283,5779.835525093444,0.253270061091,Santa Maria Hoè,0.063137253657,16,1234.000000000,641.000000000,0.000000000,593.000000000,5779.835525093444,0.253270061091,Santa Maria Hoè,0.063137253657,16,1234.000000000,641.000000000,0.000000000,593.000000000,true,true,true,false,false,false,false,false
P2_63021da0e543c07d,interlined_figure8,true,3,60,960,260,2,107338.141710,4295.738369097058,0.188237522408,Olgiate Molgora,0.000000000000,25,1735.000000000,1055.000000000,0.000000000,680.000000000,4295.738369097058,0.188237522408,Olgiate Molgora,0.000000000000,25,1735.000000000,1055.000000000,0.000000000,680.000000000,true,true,true,false,false,false,false,false
P2_68d828ceef0540a7,interlined_figure8,true,3,60,960,260,2,97597.008762,4074.169342016629,0.178528457024,Brivio,0.015897834464,25,1735.000000000,1055.000000000,0.000000000,680.000000000,4074.169342016629,0.178528457024,Brivio,0.015897834464,25,1735.000000000,1055.000000000,0.000000000,680.000000000,true,true,true,false,false,false,false,false
P2_b897eeb264917578,interlined_figure8,true,3,60,960,260,1,97838.845283,5779.835525093444,0.253270061091,Santa Maria Hoè,0.063137253657,16,1234.000000000,641.000000000,0.000000000,593.000000000,5779.835525093444,0.253270061091,Santa Maria Hoè,0.063137253657,16,1234.000000000,641.000000000,0.000000000,593.000000000,true,true,true,false,false,false,false,false
P2_bfd6feeb9dcac576,two_independent_loops,true,3,60,960,260,1,101675.923498,6283.657346077740,0.275347330042,Santa Maria Hoè,0.000000000000,16,1367.000000000,753.000000000,0.000000000,614.000000000,6283.657346077740,0.275347330042,Santa Maria Hoè,0.000000000000,16,1367.000000000,753.000000000,0.000000000,614.000000000,true,true,true,false,false,false,false,false
P2_dfbf7cf8ad9ccf55,interlined_figure8,true,3,60,960,260,1,101488.358496,8653.046412617972,0.379173003112,La Valletta Brianza,0.203333660728,20,1055.000000000,1055.000000000,0.000000000,0.000000000,8653.046412617972,0.379173003112,La Valletta Brianza,0.203333660728,20,1055.000000000,1055.000000000,0.000000000,0.000000000,true,true,true,false,false,false,false,false
P2_e76413a762c3dcde,two_independent_loops,true,3,60,960,260,2,97597.008762,4074.169342016629,0.178528457024,Brivio,0.015897834464,25,1735.000000000,1055.000000000,0.000000000,680.000000000,4074.169342016629,0.178528457024,Brivio,0.015897834464,25,1735.000000000,1055.000000000,0.000000000,680.000000000,true,true,true,false,false,false,false,false
P2_ebdd88f2a1cd8e47,two_independent_loops,true,3,60,960,260,2,107338.141710,4295.738369097058,0.188237522408,Olgiate Molgora,0.000000000000,25,1735.000000000,1055.000000000,0.000000000,680.000000000,4295.738369097058,0.188237522408,Olgiate Molgora,0.000000000000,25,1735.000000000,1055.000000000,0.000000000,680.000000000,true,true,true,false,false,false,false,false
P2_ed1719f069b0edf2,interlined_figure8,true,6,60,1110,260,1,109171.904604,2387.975252328618,0.104640112234,La Valletta Brianza,0.047087312348,16,1367.000000000,753.000000000,0.000000000,614.000000000,2387.975252328618,0.104640112234,La Valletta Brianza,0.047087312348,16,1367.000000000,753.000000000,0.000000000,614.000000000,true,true,true,false,false,false,false,false
P2_faf39eb48588e7e6,interlined_figure8,true,6,60,1110,260,1,109506.659507,2654.908368955681,0.116337013722,La Valletta Brianza,0.022518683609,16,1367.000000000,753.000000000,0.000000000,614.000000000,2654.908368955681,0.116337013722,La Valletta Brianza,0.022518683609,16,1367.000000000,753.000000000,0.000000000,614.000000000,true,true,true,false,false,false,false,false
