anchor_id,evidence_status,enabled,graph_node_id,source_kind,source_members,source_member_count,source_member_kinds,municipalities,representative_snap_distance_m,epoch_id
P2V2S_0001,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530675.54:5061329.08,PROPOSED_STOP,P2V2S_0001,1,PROPOSED_STOP,Olgiate Molgora,5.884207,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0002,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530741.10:5061601.85,PROPOSED_STOP,P2V2S_0002,1,PROPOSED_STOP,Olgiate Molgora,14.230880,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0003,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530266.47:5061705.36,PROPOSED_STOP,P2V2S_0003,1,PROPOSED_STOP,Olgiate Molgora,15.959130,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0004,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:528590.93:5061775.24,PROPOSED_STOP,P2V2S_0004,1,PROPOSED_STOP,Montevecchia,4.408584,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0005,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530535.73:5061883.50,PROPOSED_STOP,P2V2S_0005,1,PROPOSED_STOP,Olgiate Molgora,9.938329,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0006,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531759.65:5061899.37,PROPOSED_STOP,P2V2S_0006,1,PROPOSED_STOP,Merate,0.759721,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0007,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530853.90:5061948.22,PROPOSED_STOP,P2V2S_0007,1,PROPOSED_STOP,Olgiate Molgora,1.724392,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0008,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529913.22:5061971.05,PROPOSED_STOP,P2V2S_0008,1,PROPOSED_STOP,La Valletta Brianza,1.925928,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0009,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531196.32:5061978.02,PROPOSED_STOP,P2V2S_0009,1,PROPOSED_STOP,Merate,7.254851,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0010,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529610.77:5062218.43,PROPOSED_STOP,P2V2S_0010,1,PROPOSED_STOP,La Valletta Brianza,1.473682,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0011,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530830.52:5062227.14,PROPOSED_STOP,P2V2S_0011,1,PROPOSED_STOP,Olgiate Molgora,14.489656,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0012,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530557.16:5062272.83,PROPOSED_STOP,P2V2S_0012,1,PROPOSED_STOP,Olgiate Molgora,0.945285,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0013,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529373.94:5062424.41,PROPOSED_STOP,P2V2S_0013,1,PROPOSED_STOP,La Valletta Brianza,2.787282,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0014,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531107.57:5062432.70,PROPOSED_STOP,P2V2S_0014,1,PROPOSED_STOP,Merate,5.645186,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0015,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531743.02:5062574.32,PROPOSED_STOP,P2V2S_0015,1,PROPOSED_STOP,Calco,2.923205,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0016,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529099.45:5062605.42,PROPOSED_STOP,P2V2S_0016,1,PROPOSED_STOP,La Valletta Brianza,6.597419,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0017,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530977.41:5062635.71,PROPOSED_STOP,P2V2S_0017,1,PROPOSED_STOP,Olgiate Molgora,2.591501,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0018,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530732.54:5062644.97,PROPOSED_STOP,P2V2S_0018,1,PROPOSED_STOP,Olgiate Molgora,8.584526,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0019,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530311.42:5062739.22,PROPOSED_STOP,P2V2S_0019,1,PROPOSED_STOP,Olgiate Molgora,2.529167,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0020,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531569.94:5062751.99,PROPOSED_STOP,P2V2S_0020,1,PROPOSED_STOP,Calco,2.411859,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0021,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533775.46:5062778.53,PROPOSED_STOP,P2V2S_0021,1,PROPOSED_STOP,Merate,3.491363,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0022,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530610.94:5062818.38,PROPOSED_STOP,P2V2S_0022,1,PROPOSED_STOP,Olgiate Molgora,10.259704,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0023,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529137.62:5062842.36,PROPOSED_STOP,P2V2S_0023,1,PROPOSED_STOP,La Valletta Brianza,4.755392,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0024,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529975.45:5062872.69,PROPOSED_STOP,P2V2S_0024,1,PROPOSED_STOP,La Valletta Brianza,2.479444,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0025,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530863.25:5062932.32,PROPOSED_STOP,P2V2S_0025,1,PROPOSED_STOP,Olgiate Molgora,19.719807,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0026,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532027.54:5062941.69,PROPOSED_STOP,P2V2S_0026,1,PROPOSED_STOP,Merate,3.427017,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0027,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531227.14:5062969.85,PROPOSED_STOP,P2V2S_0027,1,PROPOSED_STOP,Olgiate Molgora,2.930107,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0028,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529603.02:5063077.77,PROPOSED_STOP,P2V2S_0028,1,PROPOSED_STOP,La Valletta Brianza,5.335213,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0029,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:529173.75:5063083.20,PROPOSED_STOP,P2V2S_0029,1,PROPOSED_STOP,La Valletta Brianza,0.312051,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0030,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:533835.00:5063149.77,PROPOSED_STOP,P2V2S_0030,1,PROPOSED_STOP,Merate,4.792971,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0031,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:530904.23:5063144.48,PROPOSED_STOP,P2V2S_0031,1,PROPOSED_STOP,Olgiate Molgora,19.520747,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0032,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:532331.47:5063249.77,PROPOSED_STOP,P2V2S_0032,1,PROPOSED_STOP,Calco,1.524281,gate-d-2026-09-03-834d5caa0bfd
P2V2S_0033,PROPOSED_STOP/FIELD_CHECK_PENDING,true,n:531240.15:5063284.09,PROPOSED_STOP,P2V2S_0033,1,PROPOSED_STOP,Olgiate Molgora,5.659469,gate-d-2026-09-03-834d5caa0bfd
