decision_stratum_id,passenger_equivalent_service_count,representative_service_identity_id,representative_plan_id,all_service_identity_ids_json,all_representative_plan_ids_json,topology_family_aliases_json,practical_tiebreak_invoked,practical_tiebreak_rule,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_worker_od_mass_upper_bound,stress_min_connection_match_share,span_minutes,annual_service_days,uniform_headway_min,stress_max_unmatched_connection_event_count,stress_worst_route_weighted_mean_gap_min,stress_max_incomplete_route_count,stress_max_fleet_recovery15,public_route_count,exact_annual_bus_km,public_explicit_field_check_pending_count,public_explicit_proposed_stop_count,public_explicit_existing_stop_count,robust_frontier_classes,primary_selected,runner_up_selected,minimum_public_pattern_departures_per_service_day,minimum_public_pattern_departures_per_year,population_access_auc_5_10,worst_municipality_access_auc_5_10,resident_access_service_opportunity_index,worst_municipality_access_service_opportunity_index,territorial_worker_od_service_opportunity_upper_bound,accessibility_utility_is_passenger_trip_count,accessibility_utility_is_modal_share,weighted_composite_score_used,accessibility_utility_frontier_member
P2STRATUM_01f1a8a1c6b40c23,1,P2SERVICE_72d1b249b61e9418,P2PLAN_5142ea9b2c55d8c0,"[""P2SERVICE_72d1b249b61e9418""]","[""P2PLAN_5142ea9b2c55d8c0""]","[""blank_slate"",""single_compact_loop""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.081879864764,0.207126248876,0.270110778917,0.0,0.0,0.0,733.0,0.9841269841269841,960,312,30,2,22.93652294164612,1,2,1,107756.689897,1,1,2,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,false,false,32,9984,0.1821492396506,0.0,1818.5780086715904,0.0,7318272.0,false,false,false,false
P2STRATUM_074ddaae7d7d9399,1,P2SERVICE_81f81d7a6611f2fe,P2PLAN_8da074b12629b297,"[""P2SERVICE_81f81d7a6611f2fe""]","[""P2PLAN_8da074b12629b297""]","[""interlined_figure8"",""two_independent_loops""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.143439243213,0.294077628546,0.384254160568,0.0,0.0,0.0,753.0,0.9770642201834863,1110,260,60,5,30.792901088131618,2,2,2,109418.161167,1,1,4,ROBUST_PASSENGER_UNRESTRICTED,false,false,18,4680,0.26692141935049996,0.0,1249.1922425603398,0.0,3524040.0,false,false,false,false
P2STRATUM_0847b7be11011c49,1,P2SERVICE_9b424c4cc2355f00,P2PLAN_419e6fd66e5554c2,"[""P2SERVICE_9b424c4cc2355f00""]","[""P2PLAN_419e6fd66e5554c2""]","[""blank_slate"",""single_compact_loop""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.052721762669,0.137326479142,0.188415932881,0.0,0.006505370732,0.009189912991,139.0,0.9936708860759493,960,260,20,1,16.626576251291834,1,2,1,103801.37221,0,0,2,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,false,false,48,12480,0.12216295494790001,0.0050906679642,1524.593677749792,63.531536193216006,1734720.0,false,false,false,true
P2STRATUM_08e275ccee31f8df,1,P2SERVICE_5d668c27f87e0a9f,P2PLAN_9b06e598005d91fa,"[""P2SERVICE_5d668c27f87e0a9f""]","[""P2PLAN_9b06e598005d91fa""]","[""blank_slate"",""single_compact_loop""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.105002950294,0.24565206783,0.330400472567,0.0,0.0,0.0,733.0,0.981651376146789,1110,365,60,2,32.51356477586387,1,1,1,99909.869685,2,2,2,ROBUST_PASSENGER_UNRESTRICTED,false,false,19,6935,0.2204070135166,0.0,1528.522638737621,0.0,5083355.0,false,false,false,false
P2STRATUM_08fdc80a514b8c0e,1,P2SERVICE_77f37098605497c8,P2PLAN_589f0c1392b855f2,"[""P2SERVICE_77f37098605497c8""]","[""P2PLAN_589f0c1392b855f2""]","[""blank_slate"",""single_compact_loop""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.113656338676,0.259601799711,0.342233567091,0.0,0.0,0.0,375.0,0.9920634920634921,960,260,30,1,25.976482804463867,1,2,1,106909.183846,2,2,2,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,false,false,32,8320,0.23234451487649999,0.0,1933.1063637724799,0.0,3120000.0,false,false,false,false
P2STRATUM_091c6e010522f041,1,P2SERVICE_7f17e1c5ebd46a77,P2PLAN_86dafaf42199ee5d,"[""P2SERVICE_7f17e1c5ebd46a77""]","[""P2PLAN_86dafaf42199ee5d""]","[""interlined_figure8"",""two_independent_loops""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.132103607617,0.278381016346,0.372843147226,0.0,0.001603809065,0.011997838656,676.0,0.9789473684210527,960,312,60,4,32.36823280066254,2,2,2,106291.422527,3,3,3,ROBUST_PASSENGER_UNRESTRICTED,false,false,16,4992,0.2533902199033,0.0032014722636999997,1264.9239777572736,15.981749540390398,3374592.0,false,false,false,false
P2STRATUM_0b56a7eec0db54d8,1,P2SERVICE_84cd6661920c3677,P2PLAN_a27281cea39ebe9b,"[""P2SERVICE_84cd6661920c3677""]","[""P2PLAN_a27281cea39ebe9b""]","[""blank_slate"",""single_compact_loop""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.075446277788,0.159931714535,0.202977859691,0.0,0.0,0.0,844.0,0.984375,960,365,30,2,18.06098927171387,1,2,1,95981.372932,1,1,2,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,false,false,32,11680,0.1431953125421,0.0,1672.5212504917279,0.0,9857920.0,false,false,false,false
P2STRATUM_0dc31cac1abc1426,1,P2SERVICE_e0449b649cc8139f,P2PLAN_b9e9845d1c48cf7f,"[""P2SERVICE_e0449b649cc8139f""]","[""P2PLAN_b9e9845d1c48cf7f""]","[""blank_slate"",""single_compact_loop""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.089500296527,0.202591291596,0.257446122229,0.033694851388,0.055548320348,0.063137253657,1234.0,0.9893617021276596,960,365,60,1,32.407145393894226,1,1,1,87776.91067,1,1,3,ROBUST_PASSENGER_UNRESTRICTED,false,false,16,5840,0.1796349592019,0.050510066321799996,1049.068161739096,294.97878731931195,7206560.0,false,false,false,true
P2STRATUM_0e4f6ed162e61ccf,1,P2SERVICE_983087b6e0f8cc25,P2PLAN_2c6232f76cdca4fe,"[""P2SERVICE_983087b6e0f8cc25""]","[""P2PLAN_2c6232f76cdca4fe""]","[""blank_slate"",""single_compact_loop""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.095430465648,0.217128947577,0.253311237537,0.0,0.0,0.0,221.0,0.972972972972973,1110,365,20,5,16.788460717705746,1,2,1,100999.625148,1,1,2,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,false,false,56,20440,0.1878558609903,0.0,3839.773798641732,0.0,4517240.0,false,false,false,false
P2STRATUM_0e59e8db26f9d919,1,P2SERVICE_4e7f524485025064,P2PLAN_56111dfce332aa17,"[""P2SERVICE_4e7f524485025064""]","[""P2PLAN_56111dfce332aa17""]","[""blank_slate"",""single_compact_loop""]",false,RELIABILITY_INCOMPLETE_ROUTES_THEN_FLEET__SIMPLICITY_ROUTE_COUNT__BUS_KM__FIELD_CHECKS_PROPOSED_STOPS__EXISTING_STOP_CONTINUITY,0.07116275898,0.201605561666,0.300731020634,0.0,0.0,0.000465712767,375.0,0.9841269841269841,960,365,30,2,22.92622339364612,1,2,1,110012.148389,1,1,2,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,false,false,32,11680,0.18229781265380002,9.31425534e-05,2129.238451796384,1.087905023712,4380000.0,false,false,false,true
