plan_id,scenario_id,topology_family,uniform_headway_min,span_id,span_minutes,calendar_id,annual_service_days,exact_annual_bus_km,public_route_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_worker_od_mass_upper_bound,stress_case_count,stress_min_connection_match_share,stress_median_connection_match_share,stress_p10_connection_match_share,stress_max_unmatched_connection_event_count,stress_median_unmatched_connection_event_count,stress_max_incomplete_route_count,stress_complete_all_routes_case_count,stress_complete_all_routes_case_share,stress_median_route_unweighted_mean_gap_min,stress_p90_route_unweighted_mean_gap_min,stress_worst_route_weighted_mean_gap_min,stress_max_fleet_recovery15,stress_fleet_recovery15_escalation_case_count,stress_max_vehicle_cycle_hours_per_service_day,baseline_exact_fleet_recovery15,public_explicit_existing_stop_count,public_explicit_proposed_stop_count,public_explicit_field_check_pending_count,current_worst_municipality_access_lower_bound_10min,hard_current_worst_municipality_lower_bound_nonregression_pass,known_current_municipal_lower_bound_regression_count_10min,known_current_municipal_lower_bound_regression_codes_10min_json,full_current_service_baseline_complete,weighted_composite_score_used,full_gjt_calculated,missed_connection_probability_inferred,passenger_route_weights_inferred,primary_selected,runner_up_selected,robust_frontier_classes,robust_frontier_member
P2PLAN_0185db16aba79177,P2_bab8ad99e3603982,hybrid_interlined,30,S8_EXTENDED_0530_2400,1110,IDEALISED_6_DAY_52_WEEK,312,103302.063705,2,0.054041232219,0.126931299645,0.183037387245,5.0341214e-05,5.0341214e-05,0.010743097632,356.0,81,0.9863945578231292,0.9863945578231292,0.9863945578231292,4,4,2,0,0.0,10.767747670281615,20.212487308963865,20.77641062861387,2,0,11.611038774366667,2,1,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_02391cf50d2c96df,P2_3952117a13ec7506,two_independent_loops,60,CORE_0600_2200,960,IDEALISED_6_DAY_52_WEEK,312,96587.666378,2,0.131669485969,0.279851259256,0.367052696251,0.035148434382,0.13167864373,0.1719969483,567.0,81,0.9789473684210527,0.9894736842105263,0.9789473684210527,4,2,2,0,0.0,22.812818851326774,25.882831636676777,33.31417390466254,2,0,12.010741674053333,2,4,1,1,0.0,true,1,"[""097010""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED,true
P2PLAN_02d05e32f74774dd,P2_bc1e37be7e7a349b,single_compact_loop,30,CORE_0600_2200,960,IDEALISED_6_DAY_52_WEEK,312,109743.454939,1,0.069467514842,0.167197901645,0.242930055834,0.033694851388,0.055548320348,0.063137253657,641.0,81,0.984375,0.9921875,0.984375,2,1,1,0,0.0,15.109276878963867,19.771745480781618,22.911224758146123,2,0,12.075423311466666,2,2,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_062fe44f9b7973e5,P2_d8dce4f9ed44fba4,blank_slate,30,S8_EXTENDED_0530_2400,1110,IDEALISED_DAILY_YEAR,365,108826.407589,1,0.089644584924,0.205491097133,0.273710136617,0.0,0.0,0.0,375.0,81,0.9795918367346939,0.9863945578231292,0.9795918367346939,3,2,1,0,0.0,16.206594597463866,17.389654585113867,17.889654585113867,2,36,10.500180499118333,1,2,0,0,0.0,true,2,"[""097010"",""097058""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_06a9dc6b92f2426e,P2_53fd2d4d99e137fc,blank_slate,20,S8_EXTENDED_0530_2400,1110,IDEALISED_6_DAY_52_WEEK,312,97127.097588,1,0.065917856243,0.155349483895,0.204006783968,0.0,0.000465712767,0.009189912991,0.0,81,0.9726775956284153,0.9944444444444445,0.9834254143646409,5,1,1,0,0.0,15.71277252423645,16.88039006458645,17.38039006458645,2,0,15.296953730391667,2,1,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_06b6b389dad0888e,P2_a7143f626fa3e4c8,single_compact_loop,15,CORE_0600_2200,960,IDEALISED_6_DAY_52_WEEK,312,98667.344176,1,0.095430465648,0.217128947577,0.253311237537,0.0,0.0,0.0,221.0,81,0.9947368421052631,0.9947368421052631,0.9947368421052631,1,1,1,27,0.3333333333333333,12.794769481557806,15.038004977540712,16.539172764399584,2,0,15.55431750784,2,2,1,1,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_06d66bd978ce80ab,P2_dfbf7cf8ad9ccf55,interlined_figure8,60,CORE_0600_2200,960,IDEALISED_5_DAY_52_WEEK,260,101488.358496,2,0.138423940656,0.304097839735,0.403660370424,0.077996558177,0.129866830471,0.203333660728,1055.0,81,0.9789473684210527,0.9894736842105263,0.9789473684210527,4,2,2,0,0.0,22.139558635001777,27.31986248148754,31.55441874646254,2,0,14.72177449528,2,3,3,3,0.0,true,1,"[""097010""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED,true
P2PLAN_07b3709044a1562c,P2_5d984357c1aadfda,blank_slate,30,S8_EXTENDED_0530_2400,1110,IDEALISED_5_DAY_52_WEEK,260,108006.144471,1,0.080372653546,0.185898617437,0.248125028858,0.0,0.006505370732,0.009189912991,490.0,81,0.9727891156462585,0.9930555555555556,0.9862068965517241,4,1,1,0,0.0,17.044332672731617,19.548707414781614,20.553082156831614,2,0,15.476017333811667,2,3,0,0,0.0,true,3,"[""097010"",""097074"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
P2PLAN_09983027127b0cfe,P2_52efec20a7f89f42,single_compact_loop,60,CORE_0600_2200,960,IDEALISED_6_DAY_52_WEEK,312,107938.698057,1,0.133995379885,0.281984688831,0.346469132191,0.007278943943,0.032939579786,0.045773761307,1055.0,81,0.9787234042553191,0.9893617021276596,0.9787234042553191,2,1,1,0,0.0,22.36451164776254,26.368211341562542,28.368211341562542,2,18,12.810852435146666,1,3,1,1,0.0,true,3,"[""097010"",""097058"",""097092""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED,true
P2PLAN_0aac7503dc88e8d1,P2_32209b4bbc62cfb6,single_compact_loop,30,CORE_0600_2200,960,IDEALISED_5_DAY_52_WEEK,260,111003.362047,1,0.095674794311,0.223651318187,0.314206133096,0.0,5.0341214e-05,5.0341214e-05,733.0,81,0.9920634920634921,0.9920634920634921,0.9920634920634921,1,1,1,27,0.3333333333333333,17.436784836081614,21.326264113446122,24.64200558596387,2,0,16.677021628586665,2,3,1,1,0.0,true,1,"[""097010""]",false,false,false,false,false,false,false,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,true
