pair_id,source_routing_terminal_id,target_routing_terminal_id,reverse_pair_id,scope
DIR_PAIR_4D4107040014DAA3,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,DIR_PAIR_A363912D6CC02428,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_AF5C2D4F804DA120,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,DIR_PAIR_1FC24014F3B6C16A,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_BB36E47536BE4E0A,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::BEVERATE_CARTELLO_PAESE,DIR_PAIR_77DA71E3415DEB2D,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A083C67B90FF7DEE,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::BRIVIO_BAR_CRISTALLO,DIR_PAIR_8E55AB9CB23A50E1,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_AA6799C509F9E59A,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::BRIVIO_VIA_COMO_PENSILINA,DIR_PAIR_1D31665628B9CA90,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_0147810B9B4BDAA3,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::CALCO_LARGO_POMEA,DIR_PAIR_2B5179BC262912E9,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_52CC8B6F10E61A7C,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::CALCO_VIA_GARIBALDI,DIR_PAIR_F46F6CBA28E28D4C,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A5E706F0D21EAD56,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::IMBERSAGO_LOCALITA_CAZZULINO,DIR_PAIR_A4D427FFCE835FD4,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_1EF8BF98DC8E1284,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::OLGIATE_MOLGORA_SCARPONE,DIR_PAIR_DFC7D6CB6668FB97,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_D9FA3A6BC243333D,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,DIR_PAIR_7D88DE511B3FCCC3,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_13E15509A8ABC8E3,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::OLGIATE_MOLGORA_VIA_STATALE,DIR_PAIR_FCB98CA0C91A551C,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_65B7F9E1FA38F5B0,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::PEREGO_VIA_STATALE_79,DIR_PAIR_E91AF72E6AD2298B,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_DFECD3D443B569CC,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::ROVAGNATE_FRAZIONE_ALDUNO,DIR_PAIR_81461161CA27362F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_197A2E0B7FCE29C4,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,DIR_PAIR_F8F2F73CD4DC2F35,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_09D538872371A36C,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::ROVAGNATE_STRADA_STATALE_AGIP,DIR_PAIR_66F1DD9BE51EAC53,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_F20A46D0EAC2A735,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::SANTA_MARIA_HOE_VIA_COMO,DIR_PAIR_172F2A807CA86BF7,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_601FD2EC208617AC,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,DIR_PAIR_881FE62BCC8BBA41,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_28BAD107C96DB3CC,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,DIR_PAIR_6D34D563992DE4C6,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_485B8780D43AA312,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::ASF::VACCAREZZA_CARTELLO_PAESE,DIR_PAIR_33ABB3DB4F691D57,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_6A74029B425E8B88,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::100005,DIR_PAIR_58BCBC5DDD9FB6F5,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_1DA2616AFE64CD9E,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300063,DIR_PAIR_C03BA2D17E904097,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C0651F7ECD04E239,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300086,DIR_PAIR_E14F3492DF48A386,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_EFBE2B90D20C8904,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300398,DIR_PAIR_6BD795533148ED6F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_73FC758A92DF7442,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300487,DIR_PAIR_1DDBCFA097601B42,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_CAC95EA85541A634,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300527,DIR_PAIR_B80D1470F720827F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_3CB275D1F72E7FE0,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300634,DIR_PAIR_9493E6D50B71B9F2,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_6C0019E69BAF2571,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300743,DIR_PAIR_198C18FE68902C29,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_1D172B16598848DD,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300782,DIR_PAIR_DC4E03E363A07356,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_FBF485E96ACFC909,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300805,DIR_PAIR_D579052F1E3F8674,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_ECEA61F52A5846ED,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300873,DIR_PAIR_5D509A76AFE1FCCF,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_4D38DF1D09A980A1,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300879,DIR_PAIR_4E793D43C878F430,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_D1C72438A5D9E815,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::300956,DIR_PAIR_3CEEF17D988E6330,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_DC987A2B20D9E172,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::FROZEN::L00407,DIR_PAIR_BE087F28559FCCCA,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A5D432F44F4E18B5,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::MANUAL::CALCO_SCAGNELLO,DIR_PAIR_27A1A74A30587A56,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_FB9853930CDA93B0,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,STOP_PROBE::SPECIAL::CASA_DI_COMUNITA_OLGIATE,DIR_PAIR_B502DF5AA878A488,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A363912D6CC02428,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::ARLATE_BIVIO_PER_IL_PAESE,DIR_PAIR_4D4107040014DAA3,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_7ED6258B32A7E908,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::ARLATE_CANTINA_PIROVANO,DIR_PAIR_091E2A7AD336D632,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_4D7095BE67E7F492,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::BEVERATE_CARTELLO_PAESE,DIR_PAIR_6022D775D3193988,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C44EA8309BD0CD61,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::BRIVIO_BAR_CRISTALLO,DIR_PAIR_4A6C741F1BED757F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_759364A6D6F79E6A,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::BRIVIO_VIA_COMO_PENSILINA,DIR_PAIR_BEBDDEF39F92BE65,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_2C41DBC7DD026AE8,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::CALCO_LARGO_POMEA,DIR_PAIR_13DCD1ED2C6A7547,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_8279662303E0D3CB,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::CALCO_VIA_GARIBALDI,DIR_PAIR_01F833DE53C0A7D8,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_8F7293F594E8838B,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::IMBERSAGO_LOCALITA_CAZZULINO,DIR_PAIR_31950F29FC34884E,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_0A4C75C35B3EA993,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::OLGIATE_MOLGORA_SCARPONE,DIR_PAIR_3459A9E48A909903,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_566DA4D9B62F0BD7,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,DIR_PAIR_DD4AFD5D16A2C003,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A060738160D95A2A,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::OLGIATE_MOLGORA_VIA_STATALE,DIR_PAIR_AB032445FC12E391,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_CEB2BCF86AAFF963,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::PEREGO_VIA_STATALE_79,DIR_PAIR_DA4AC8D3B36243BA,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_FAFDF36CC626EA31,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::ROVAGNATE_FRAZIONE_ALDUNO,DIR_PAIR_67EDE7D0E4F271BB,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_163C24B8A1D15D27,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,DIR_PAIR_6CAC19AD0203A0A9,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_869346E830DA161D,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::ROVAGNATE_STRADA_STATALE_AGIP,DIR_PAIR_B719E91390793D34,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_75016654A1A8E006,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::SANTA_MARIA_HOE_VIA_COMO,DIR_PAIR_9516DDD81423216B,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A3C2129ECBFBF77A,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,DIR_PAIR_892F5ACAAA388210,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_F0AD74950DF5FF56,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,DIR_PAIR_B6B4696FE96A99FF,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_816EE8A0D64C6A40,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::ASF::VACCAREZZA_CARTELLO_PAESE,DIR_PAIR_137D65AF436FBBBC,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_103C730A68C6AF56,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::100005,DIR_PAIR_E950BDF6316CA9FA,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_34A477E90CDD75F3,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300063,DIR_PAIR_EAEDCD567340EADA,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_95D002D5DB5B2ACB,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300086,DIR_PAIR_F8655B95F9879406,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_3ADAA43A727DF80C,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300398,DIR_PAIR_CDDDDC4967AA144B,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_8EB8C99EC3017F00,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300487,DIR_PAIR_6C1ACBB2648CDEE8,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_0DB0B4310D09DDA2,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300527,DIR_PAIR_D4EFE8211480E128,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_22F84EFE7D46FB65,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300634,DIR_PAIR_0C8406DE6E93D877,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_F6AC1BDA0726ADDD,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300743,DIR_PAIR_5D4FD54341CA13CE,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_F4FA0022FBE11F0A,STOP_PROBE::ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,STOP_PROBE::FROZEN::300782,DIR_PAIR_B7287526FD512A05,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
