pair_id,source_routing_terminal_id,target_routing_terminal_id,reverse_pair_id,scope
DIR_PAIR_E51503F6F98A0F8F,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,DIR_PAIR_22EDCB4E0F947037,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_851C4A96BBA65EC7,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ARLATE_CANTINA_PIROVANO,DIR_PAIR_5370197AAE106840,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C84735656DFB1BD6,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BEVERATE_CARTELLO_PAESE,DIR_PAIR_1824918EE57C9F96,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_6F0D8F851D99E760,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BRIVIO_BAR_CRISTALLO,DIR_PAIR_D1AD48C596EFDD6C,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C8F29F54EDA3A6EF,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BRIVIO_VIA_COMO_PENSILINA,DIR_PAIR_956974B59762EFBF,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_05F8BB37B9B0A4E2,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::CALCO_LARGO_POMEA,DIR_PAIR_A67ACEB2BFF2A7D8,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A9199818910F810D,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::CALCO_VIA_GARIBALDI,DIR_PAIR_6BE6847956622B08,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_AE36C56C1231474D,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::IMBERSAGO_LOCALITA_CAZZULINO,DIR_PAIR_0AF7F6B097AFF739,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_37F222B032AB1546,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::OLGIATE_MOLGORA_SCARPONE,DIR_PAIR_6C5E11362EFD9E35,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_01D6E607FF0202A1,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,DIR_PAIR_61A2E92C965423DC,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_6885EA7CE4A746CA,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::OLGIATE_MOLGORA_VIA_STATALE,DIR_PAIR_6C9463A8D83B873E,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_65701862EDC21F97,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::PEREGO_VIA_STATALE_79,DIR_PAIR_935ED20BD353CA5D,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_3AB26D51EF059CB2,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ROVAGNATE_FRAZIONE_ALDUNO,DIR_PAIR_4B5AB5E23A7BB662,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C1766B8059A6C2D3,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,DIR_PAIR_64DE621C56DCF982,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_4B599C085D42B878,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ROVAGNATE_STRADA_STATALE_AGIP,DIR_PAIR_EA358D93A352736F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_0901465FD1C90E19,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::SANTA_MARIA_HOE_VIA_COMO,DIR_PAIR_90865BC8F988BFF4,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_09E9C05DC30836A8,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,DIR_PAIR_BEB1DE93316C7DF7,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_23996EDB1E3150A3,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,DIR_PAIR_F8E31F7AA0B1DC24,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_0B46C68C856B32A3,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::VACCAREZZA_CARTELLO_PAESE,DIR_PAIR_DF60ED726E7D1D8B,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_DEEDC5710784C199,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::100005,DIR_PAIR_D7B6880D032D8636,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_AC1CEACF9F26DA47,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300063,DIR_PAIR_C69F3CD7E37C8D11,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_305D0ED55595FBBE,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300086,DIR_PAIR_662E795789A9054E,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_39CFE56883A26EAF,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300398,DIR_PAIR_40A5591F0F2DB3BB,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_1DCBD6BE39DA637D,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300487,DIR_PAIR_E1CD08C53D41717C,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_CC6C54C612B16F4E,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300527,DIR_PAIR_954F87D01660E7A0,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A3545AAEFACA3B24,ASF::ARLATE_BIVIO_PER_IL_PAESE,FROZEN::300634,DIR_PAIR_D92EF49CE38F1BBD,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
