pair_id,source_routing_terminal_id,target_routing_terminal_id,source_stop_place_id,target_stop_place_id,source_graph_node_id,target_graph_node_id,status,failure_reason,corridor_count,certified_shortest_present,certified_shortest_physical_loopless,certified_reference_turn_legal,certified_edge_sequence_matches_rt017,certified_runtime_delta_vs_rt017_min,certified_distance_delta_vs_rt017_m,generation_paths_examined,generation_rounds_attempted,ksp_fallback_used,generator_contract,completeness_claim,graph_epoch_id,gate_d_route_found
DIR_PAIR_E51503F6F98A0F8F,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,n:534549.56:5063427.02,n:532842.42:5064426.53,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,4,3,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_851C4A96BBA65EC7,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ARLATE_CANTINA_PIROVANO,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::ARLATE_CANTINA_PIROVANO,n:534549.56:5063427.02,n:533967.82:5063859.74,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,4,3,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_C84735656DFB1BD6,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BEVERATE_CARTELLO_PAESE,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BEVERATE_CARTELLO_PAESE,n:534549.56:5063427.02,n:533188.78:5064580.99,PASS_ROUTED_CORRIDOR_POOL,,3,True,True,True,True,0.0,0.0,3,2,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_6F0D8F851D99E760,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BRIVIO_BAR_CRISTALLO,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BRIVIO_BAR_CRISTALLO,n:534549.56:5063427.02,n:534184.20:5065526.96,PASS_ROUTED_CORRIDOR_POOL,,2,True,False,True,True,0.0,0.0,132,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_C8F29F54EDA3A6EF,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BRIVIO_VIA_COMO_PENSILINA,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::BRIVIO_VIA_COMO_PENSILINA,n:534549.56:5063427.02,n:534685.94:5065520.58,EXPLICIT_NO_LOOPLESS_CORRIDOR_WITHIN_VALIDATED_RT006_GRID,NO_PHYSICAL_LOOPLESS_CORRIDOR_ADMITTED_WITHIN_VALIDATED_RT006_PARAMETER_GRID,0,True,False,True,True,0.0,0.0,132,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_05F8BB37B9B0A4E2,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::CALCO_LARGO_POMEA,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::CALCO_LARGO_POMEA,n:534549.56:5063427.02,n:532307.89:5063449.27,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,6,5,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_A9199818910F810D,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::CALCO_VIA_GARIBALDI,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::CALCO_VIA_GARIBALDI,n:534549.56:5063427.02,n:531909.01:5063573.49,PASS_ROUTED_CORRIDOR_POOL,,3,True,False,True,True,0.0,0.0,6,5,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_AE36C56C1231474D,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::IMBERSAGO_LOCALITA_CAZZULINO,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::IMBERSAGO_LOCALITA_CAZZULINO,n:534549.56:5063427.02,n:534603.14:5062862.41,PASS_ROUTED_CORRIDOR_POOL,,1,True,True,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_37F222B032AB1546,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::OLGIATE_MOLGORA_SCARPONE,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::OLGIATE_MOLGORA_SCARPONE,n:534549.56:5063427.02,n:530344.40:5064262.68,PASS_ROUTED_CORRIDOR_POOL,,2,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
DIR_PAIR_01D6E607FF0202A1,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,ASF::ARLATE_BIVIO_PER_IL_PAESE,ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,n:534549.56:5063427.02,n:530415.35:5064323.47,PASS_ROUTED_CORRIDOR_POOL,,2,True,False,True,True,0.0,0.0,11,10,False,ALTERNATIVE_POOL_NOT_NETWORK_RECOMMENDATION,NO_K_SHORTEST_COMPLETENESS_CLAIM,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,True
