stop_place_id,operational_stop_no,stop_name,municipality,lat,lon,service_class,source_families,source_native_ids,known_routes,existence_confidence,graph_node_id,attachment_distance_m,attachment_status,route_ready,service_class_automatic,automatic_materialization_eligible,automatic_exclusion_reason,graph_epoch_id,attachment_semantics
ASF::ARLATE_BIVIO_PER_IL_PAESE,12,Arlate - Bivio per il Paese,Calco,45.723445,9.44397,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA07|CALCOR07,C146,HIGH_CURRENT_OPERATOR,n:534549.56:5063427.02,10.162976869001561,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ARLATE_B_VIO_BRIVIO_MADONNINA,11,Arlate - B.vio Brivio - Madonnina,Calco,45.73265,9.42205,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA09,C146,HIGH_CURRENT_OPERATOR,n:532842.42:5064426.53,6.372741136025894,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::ARLATE_CANTINA_PIROVANO,13,Arlate - Cantina Pirovano,Calco,45.727265,9.4369,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA08|CALCOR08,C146,HIGH_CURRENT_OPERATOR,n:533967.82:5063859.74,35.415456246377566,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::BEVERATE_CARTELLO_PAESE,1,Beverate - Cartello Paese,Brivio,45.73399,9.42653,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,BRIVIA05|BRIVIR05,C146,HIGH_CURRENT_OPERATOR,n:533188.78:5064580.99,3.6747489006640874,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::BRIVIO_BAR_CRISTALLO,4,Brivio - Via Como (pizzeria / Bar Cristallo),Brivio,45.742315,9.439315,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,BRIVIA03|BRIVIR03,C146,HIGH_CURRENT_OPERATOR,n:534184.20:5065526.96,18.206422917868387,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::BRIVIO_VIA_COMO_PENSILINA,10,Brivio / Via V. Emanuele (Capolinea),Brivio,45.7424,9.44591,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,BRIVIR06,C146,HIGH_CURRENT_OPERATOR,n:534685.94:5065520.58,3.5791024960210995,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::CALCO_LARGO_POMEA,14,Calco - Via Nazionale (edicola),Calco,45.723905,9.41522,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA06|CALCOR06,C146,HIGH_CURRENT_OPERATOR,n:532307.89:5063449.27,7.420815105933718,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::CALCO_VIA_GARIBALDI,16,Calco - Via Virgilio,Calco,45.725005,9.410035,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,CALCOA05|CALCOR05,C146,HIGH_CURRENT_OPERATOR,n:531909.01:5063573.49,3.4092571873636337,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::IMBERSAGO_LOCALITA_CAZZULINO,19,Imbersago - Località Cazzulino / Arlate Fiorista,Calco,45.71871,9.44475,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,IMBERA07|IMBERR07,C146,HIGH_CURRENT_OPERATOR,n:534603.14:5062862.41,30.14664766014983,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
ASF::OLGIATE_MOLGORA_SCARPONE,26,Olgiate Molgora - Scarpone,Olgiate Molgora,45.731355,9.390005,CONVENTIONAL_TPL,ASF_OPERATOR_OTP,OLGMOA05|OLGMOR05,C146,HIGH_CURRENT_OPERATOR,n:530344.40:5064262.68,11.174954113320913,ROUTE_READY_LE_75M,true,true,true,ELIGIBLE,RT017::2026-09-05T13:45:50Z::466f562f95805cb1,NEAREST_BUS_GRAPH_NODE_TECHNICAL_BINDING_IDENTITY_UNCHANGED
