link_ids,vertex_ids,topology_class,shape_flags,vertex_count,edge_count,cycle_rank,max_degree,leaf_count,branch_vertex_count,articulation_vertex_count,articulation_vertex_ids,contract,structure_id
STRUCT_LINK_019B8E1F56B564C4;STRUCT_LINK_1B351ADA2EE44CEB;STRUCT_LINK_2ADDBC72CF3525E1;STRUCT_LINK_37F897D6040146AC,ASF::CALCO_VIA_GARIBALDI;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_STRADA_STATALE_AGIP;FROZEN::100005;FROZEN::L00407,TREE_BRANCHING,,5,4,0,3,3,1,2,ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::L00407,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_04A3CFCD76DF4E8F
STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_4B7ACEC9555EB75E;STRUCT_LINK_8ECC520DCAF0B8D0;STRUCT_LINK_95EDDF7EFC7E61B2,ASF::CALCO_LARGO_POMEA;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA;ASF::SANTA_MARIA_HOE_VIA_COMO;FROZEN::100005,TREE_BRANCHING,,5,4,0,3,3,1,2,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_051E692F8A276B35
STRUCT_LINK_019B8E1F56B564C4;STRUCT_LINK_04F1266689B132B2;STRUCT_LINK_1B351ADA2EE44CEB;STRUCT_LINK_37F897D6040146AC,ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_STRADA_STATALE_AGIP;FROZEN::100005;FROZEN::300634;FROZEN::L00407,TREE_BRANCHING,,5,4,0,3,3,1,2,ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::L00407,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_06B93C96DFBB582D
STRUCT_LINK_17E4228323203005;STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_A497206A76AF5BED;STRUCT_LINK_CF4A90A77CE9518C,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::100005;FROZEN::300634;FROZEN::300879,TREE_BRANCHING,,5,4,0,3,3,1,2,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_0D832670FC883E64
STRUCT_LINK_17E4228323203005;STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_4B7ACEC9555EB75E;STRUCT_LINK_6B42039768645A7E,ASF::CALCO_VIA_GARIBALDI;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA;FROZEN::100005,TREE_BRANCHING,,5,4,0,3,3,1,2,ASF::OLGIATE_MOLGORA_VIA_STATALE;FROZEN::100005,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_0EE04AC0876E7DDC
STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_4B7ACEC9555EB75E;STRUCT_LINK_95EDDF7EFC7E61B2;STRUCT_LINK_C29B9805ADD2552D,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA;ASF::SANTA_MARIA_HOE_VIA_COMO;FROZEN::100005;MANUAL::CALCO_SCAGNELLO,PATH,,5,4,0,2,2,0,3,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA;FROZEN::100005,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_119D76BEA2F7314D
STRUCT_LINK_17E4228323203005;STRUCT_LINK_289942FF8B17779C;STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_4B7ACEC9555EB75E,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA;FROZEN::100005;FROZEN::300634,TREE_BRANCHING,,5,4,0,3,3,1,2,ASF::OLGIATE_MOLGORA_VIA_STATALE;FROZEN::100005,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_1AF0B221791F571D
STRUCT_LINK_019B8E1F56B564C4;STRUCT_LINK_17E4228323203005;STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_8ECC520DCAF0B8D0,ASF::CALCO_LARGO_POMEA;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_STRADA_STATALE_AGIP;FROZEN::100005,TREE_BRANCHING,,5,4,0,3,3,1,2,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_1E1939B08E8758EC
STRUCT_LINK_019B8E1F56B564C4;STRUCT_LINK_6B42039768645A7E;STRUCT_LINK_DCC290C2625070B3;STRUCT_LINK_E0CCD2892846A82C,ASF::CALCO_VIA_GARIBALDI;ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_STRADA_STATALE_AGIP;FROZEN::100005,PATH,,5,4,0,2,2,0,3,ASF::CALCO_VIA_GARIBALDI;ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE;ASF::ROVAGNATE_FRAZIONE_ALDUNO,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_1F689A867F01E4D7
STRUCT_LINK_019B8E1F56B564C4;STRUCT_LINK_17E4228323203005;STRUCT_LINK_289942FF8B17779C;STRUCT_LINK_31F0016FDD358A6A,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_STRADA_STATALE_AGIP;FROZEN::100005;FROZEN::300634,PATH,,5,4,0,2,2,0,3,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::100005,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_21BDA25A3B4ADF52
STRUCT_LINK_17E4228323203005;STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_6C540560124F796F;STRUCT_LINK_CF4A90A77CE9518C,ASF::CALCO_VIA_GARIBALDI;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::100005;FROZEN::300879,TREE_BRANCHING,,5,4,0,3,3,1,2,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT022_STRUCT_22A05A56D2464518
