structural_link_id,terminal_a,terminal_b,eligibility_status,eligible_for_bidirectional_undirected_structure,a_to_b_requested,a_to_b_pair_id,a_to_b_gate_d_route_found,a_to_b_admitted_corridor_count,a_to_b_min_running_minutes_model,a_to_b_min_distance_m,b_to_a_requested,b_to_a_pair_id,b_to_a_gate_d_route_found,b_to_a_admitted_corridor_count,b_to_a_min_running_minutes_model,b_to_a_min_distance_m,scope
STRUCT_LINK_001757A9710D8A1D,FROZEN::100005,FROZEN::300398,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_8DB6C7C071FCD2A7,True,1,2.067921327,824.165308,True,DIR_PAIR_0B3100C868DDB811,True,1,2.067921327,824.165308,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_019B8E1F56B564C4,ASF::ROVAGNATE_FRAZIONE_ALDUNO,ASF::ROVAGNATE_STRADA_STATALE_AGIP,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_831E9BE931E322D4,True,2,1.044271903,696.181269,True,DIR_PAIR_32583747AB92AE99,True,2,1.034365169,689.57678,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_04F1266689B132B2,FROZEN::300634,FROZEN::L00407,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_7FC3E4268E3A8CE4,True,1,3.521920777,1542.286919,True,DIR_PAIR_6412531111FDC2E5,True,1,3.780803053,1826.173723,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_0509E43388D53B2F,FROZEN::100005,FROZEN::300743,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_CC8EAC36DA008DF1,True,1,7.908687386,3828.548365,True,DIR_PAIR_8A8475E67B70F533,True,1,7.907726639,3827.907867,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_07FC6BA992E498FA,FROZEN::300086,FROZEN::300956,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_81D80E02548273FA,True,1,0.869698792,567.193912,True,DIR_PAIR_ADEE4B57A28DE4F5,True,1,0.869698792,567.193912,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_087CBE27F43754E7,ASF::OLGIATE_MOLGORA_VIA_STATALE,MANUAL::CALCO_SCAGNELLO,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_CD20B95A99EC2C9F,True,1,3.631470516,1936.647871,True,DIR_PAIR_18FAF1E078DC9306,True,1,3.743733116,2011.48532,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_0CA2F2540F0BDFCB,FROZEN::300487,FROZEN::300743,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_8C43D79E9B554796,True,1,7.44573462,3507.945742,True,DIR_PAIR_3D78F4EF9147E0B8,True,1,7.40347763,3477.934638,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_0DCFA75E9217449F,ASF::CALCO_VIA_GARIBALDI,ASF::OLGIATE_MOLGORA_SCARPONE,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_B63FB8AF21648166,True,1,3.49465698,1880.265913,True,DIR_PAIR_E73297E8C2A65926,True,1,3.506364917,1888.071204,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_10B34E169F3A7A01,FROZEN::300527,FROZEN::300956,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_7CF3F29B5EBEC80A,True,1,0.947970726,631.980484,True,DIR_PAIR_F0C066D3CA4EB35D,True,1,0.947970726,631.980484,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_1210454CEAB31DB9,ASF::VACCAREZZA_CARTELLO_PAESE,FROZEN::100005,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_37085B55FAE0F107,True,1,1.767067941,1178.045294,True,DIR_PAIR_1313D851F4F8F1C7,True,1,1.768028688,1178.685792,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_133629627A9EBC70,ASF::ARLATE_CANTINA_PIROVANO,ASF::VACCAREZZA_CARTELLO_PAESE,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_89744727DDDE8944,True,1,7.722890229,3396.52289,True,DIR_PAIR_E065ADB3AE5FBCB5,True,2,6.475899041,2806.588771,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_17E4228323203005,ASF::OLGIATE_MOLGORA_VIA_STATALE,ASF::ROVAGNATE_FRAZIONE_ALDUNO,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_6DAF83C6FE1A7B81,True,2,2.432945346,1621.963564,True,DIR_PAIR_C06DA116F2106D32,True,1,2.436710149,1624.473433,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_180C60D3B0D9FC92,ASF::VACCAREZZA_CARTELLO_PAESE,FROZEN::300063,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_CEC12F0A394A16A1,True,1,3.165491851,1179.413958,True,DIR_PAIR_43EDE93D38F80E8F,True,1,4.326088824,1741.344115,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_19C56DEB6A6C20EC,FROZEN::300782,FROZEN::300805,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_538C3D1320DB7675,True,1,0.860669739,430.33487,True,DIR_PAIR_6BF351600C4EAA4B,True,1,0.860669739,430.33487,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_1B351ADA2EE44CEB,ASF::ROVAGNATE_FRAZIONE_ALDUNO,FROZEN::L00407,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_31525E516205D7A1,True,1,5.346857319,2551.908076,True,DIR_PAIR_647AD0146F77D27A,True,1,5.416769267,2576.413016,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_1B9DABA5CAB6A044,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300743,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_5847E47B79685B82,True,1,1.315839353,548.266397,True,DIR_PAIR_EFA171607FA08F60,True,1,1.315839353,548.266397,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
STRUCT_LINK_1CB2CF74167365F7,ASF::BRIVIO_BAR_CRISTALLO,ASF::BRIVIO_VIA_COMO_PENSILINA,RECIPROCAL_BIDIRECTIONAL_CORRIDOR_AVAILABLE,True,True,DIR_PAIR_4F2D906F70F53412,True,2,1.532463632,645.750238,True,DIR_PAIR_8E758DAAE647D8A1,True,2,1.483346508,587.130742,RECIPROCAL_BIDIRECTIONAL_STRUCTURAL_LINK_INTERFACE_NOT_NETWORK_SELECTION
