link_ids,vertex_ids,topology_class,shape_flags,vertex_count,edge_count,cycle_rank,max_degree,leaf_count,branch_vertex_count,articulation_vertex_count,articulation_vertex_ids,contract,structure_id
STRUCT_LINK_1EEC06B8B96D0081;STRUCT_LINK_20336613A515319E;STRUCT_LINK_2ADDBC72CF3525E1;STRUCT_LINK_37F897D6040146AC;STRUCT_LINK_4B7ACEC9555EB75E,ASF::CALCO_VIA_GARIBALDI;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA;ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO;FROZEN::100005;FROZEN::L00407,TREE_BRANCHING,,6,5,0,4,4,1,2,ASF::OLGIATE_MOLGORA_VIA_STATALE;FROZEN::L00407,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_001011244BEFB4D5
STRUCT_LINK_17E4228323203005;STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_4BEA7FBE22B15963;STRUCT_LINK_C29B9805ADD2552D;STRUCT_LINK_CF4A90A77CE9518C,ASF::CALCO_LARGO_POMEA;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::100005;FROZEN::300879;MANUAL::CALCO_SCAGNELLO,TREE_BRANCHING,,6,5,0,3,3,1,3,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::100005,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_0016A86AC3824122
STRUCT_LINK_07FC6BA992E498FA;STRUCT_LINK_17E4228323203005;STRUCT_LINK_4B7ACEC9555EB75E;STRUCT_LINK_B0ACC80381647D61;STRUCT_LINK_C17C057A018F079B,ASF::CALCO_VIA_GARIBALDI;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA;FROZEN::300086;FROZEN::300956,TREE_BRANCHING,,6,5,0,3,4,2,2,ASF::OLGIATE_MOLGORA_VIA_STATALE;FROZEN::300956,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_00172D2A04135356
STRUCT_LINK_37F897D6040146AC;STRUCT_LINK_9A4EEA63F623E386;STRUCT_LINK_AFE9E0A3EB62F6E3;STRUCT_LINK_CF4A90A77CE9518C;STRUCT_LINK_FF50061317AAA22B,ASF::ARLATE_BIVIO_PER_IL_PAESE;ASF::OLGIATE_MOLGORA_SCARPONE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::100005;FROZEN::300879;FROZEN::L00407,PATH,,6,5,0,2,2,0,4,ASF::OLGIATE_MOLGORA_SCARPONE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::100005;FROZEN::L00407,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_002A7CBC21C1ECCD
STRUCT_LINK_019B8E1F56B564C4;STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_A497206A76AF5BED;STRUCT_LINK_AFE9E0A3EB62F6E3;STRUCT_LINK_D0DDE6DF29ACD375,ASF::OLGIATE_MOLGORA_SCARPONE;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_STRADA_STATALE_AGIP;FROZEN::100005;FROZEN::300634,TREE_BRANCHING,,6,5,0,3,3,1,3,ASF::OLGIATE_MOLGORA_SCARPONE;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_0037AF8839CF94D9
STRUCT_LINK_019B8E1F56B564C4;STRUCT_LINK_17E4228323203005;STRUCT_LINK_4BEA7FBE22B15963;STRUCT_LINK_8ECC520DCAF0B8D0;STRUCT_LINK_C271608F948CB59C,ASF::CALCO_LARGO_POMEA;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_STRADA_STATALE_AGIP;FROZEN::100005;FROZEN::300956,TREE_BRANCHING,,6,5,0,3,3,1,3,ASF::CALCO_LARGO_POMEA;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_00618DCFA5C32618
STRUCT_LINK_17E4228323203005;STRUCT_LINK_20336613A515319E;STRUCT_LINK_289942FF8B17779C;STRUCT_LINK_37F897D6040146AC;STRUCT_LINK_4B7ACEC9555EB75E,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA;FROZEN::100005;FROZEN::300634;FROZEN::L00407,TREE_BRANCHING,,6,5,0,3,3,1,3,ASF::OLGIATE_MOLGORA_VIA_STATALE;FROZEN::100005;FROZEN::L00407,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_0065620FDE91C240
STRUCT_LINK_001757A9710D8A1D;STRUCT_LINK_1B351ADA2EE44CEB;STRUCT_LINK_37F897D6040146AC;STRUCT_LINK_4BEA7FBE22B15963;STRUCT_LINK_CF4A90A77CE9518C,ASF::CALCO_LARGO_POMEA;ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::100005;FROZEN::300398;FROZEN::300879;FROZEN::L00407,TREE_BRANCHING,,6,5,0,3,3,1,3,ASF::ROVAGNATE_FRAZIONE_ALDUNO;FROZEN::100005;FROZEN::L00407,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_006EE99E4B51956B
STRUCT_LINK_1B351ADA2EE44CEB;STRUCT_LINK_289942FF8B17779C;STRUCT_LINK_37F897D6040146AC;STRUCT_LINK_4B7ACEC9555EB75E;STRUCT_LINK_A497206A76AF5BED,ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA;FROZEN::100005;FROZEN::300634;FROZEN::L00407,PATH,,6,5,0,2,2,0,4,ASF::OLGIATE_MOLGORA_VIA_STATALE;FROZEN::100005;FROZEN::300634;FROZEN::L00407,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_007E9BDC9C56E7BF
STRUCT_LINK_019B8E1F56B564C4;STRUCT_LINK_17E4228323203005;STRUCT_LINK_31F0016FDD358A6A;STRUCT_LINK_6C540560124F796F;STRUCT_LINK_E0CCD2892846A82C,ASF::CALCO_VIA_GARIBALDI;ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO;ASF::ROVAGNATE_STRADA_STATALE_AGIP;FROZEN::100005,TREE_BRANCHING,,6,5,0,3,3,1,3,ASF::CALCO_VIA_GARIBALDI;ASF::OLGIATE_MOLGORA_VIA_STATALE;ASF::ROVAGNATE_FRAZIONE_ALDUNO,ABSTRACT_NETWORK_STRUCTURES_NOT_TERRITORIAL_RECOMMENDATIONS,RT024_STRUCT_00A31D03B4C38DE4
