occurrence_id,direction,path_node_index,stop_place_id,name,site_status,incoming_edge,outgoing_edge,offset_road_minutes,next_fs_node_index,road_minutes_to_next_fs,previous_fs_node_index,road_minutes_from_previous_fs,boarding_authorised,passenger_continuity_certified
forward:0:FROZEN::L00407,forward,0,FROZEN::L00407,Olgiate-Calco-Brivio FS,INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,,osm:174035057:0:F,0.0,691,25.476491,0,0.0,False,False
forward:47:ASF::OLGIATE_MOLGORA_VIA_STATALE,forward,47,ASF::OLGIATE_MOLGORA_VIA_STATALE,Olgiate Molgora - Via Statale,INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,osm:48540240:4:F,osm:48540240:5:F,1.909606,691,23.566885,0,1.909606,False,False
forward:77:ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,forward,77,ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,Olgiate Molgora - Via Della Salute,INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,osm:523338067:10:R,osm:523338067:9:R,3.233582,691,22.242908,0,3.233582,False,False
forward:124:ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,forward,124,ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,S. Maria Hoè - S.P. 58 ang. Via Cenisio,INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,osm:193977005:6:R,osm:193977005:5:R,4.939766,691,20.536725,0,4.939766,False,False
forward:142:ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,forward,142,ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,Santa Maria Hoè - Via Giovanni XXIII / Tremonte-Via Leopardi,INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,osm:194077343:80:R,osm:194077343:79:R,6.246632,691,19.229859,0,6.246632,False,False
forward:155:FROZEN::300805,forward,155,FROZEN::300805,Santa Maria Hoè - Tremonte / Via Trento,INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,osm:194077343:67:R,osm:194077343:66:R,6.736158,691,18.740333,0,6.736158,False,False
forward:182:ASF::SANTA_MARIA_HOE_VIA_COMO,forward,182,ASF::SANTA_MARIA_HOE_VIA_COMO,Santa Maria Hoè - Via Como / Alpino,INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,osm:98812014:0:F,osm:98812014:0:R,7.470743,691,18.005748,0,7.470743,False,False
forward:192:FROZEN::300782,forward,192,FROZEN::300782,S.Maria Hoe',INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,osm:194077343:43:R,osm:194077343:42:R,7.77028,691,17.70621,0,7.77028,False,False
forward:236:FROZEN::300873,forward,236,FROZEN::300873,Hoe',INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,osm:194070239:2:R,osm:194070239:2:F,9.234292,691,16.242198,0,9.234292,False,False
forward:379:FROZEN::300879,forward,379,FROZEN::300879,Rovagnate - vinicola ghezzi,INVENTORY_ATTACHMENT_NOT_BOARDING_CERTIFIED,osm:198176816:2:F,osm:198176816:3:F,14.068998,691,11.407493,0,14.068998,False,False
