service_date,trip_id,trip_short_name,direction,arrival_time,departure_time,arrival_min,departure_min,origin_stop_id,origin_stop_name,terminal_stop_id,terminal_stop_name,station_stop_sequence,trip_stop_count,bus_to_rail_anchor_semantics,rail_to_bus_anchor_semantics,epistemic_status
2026-09-03,124817-2026-08-20-2026-09-14,S8 - 24817,MILANO,05:25:00,05:26:00,325.0,326.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124819-2026-08-20-2026-09-14,S8 - 24819,MILANO,05:55:00,05:56:00,355.0,356.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124814-2026-08-20-2026-09-14,S8 - 24814,LECCO,06:02:00,06:03:00,362.0,363.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124821-2026-08-20-2026-09-14,S8 - 24821,MILANO,06:25:00,06:26:00,385.0,386.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124816-2026-08-20-2026-09-14,S8 - 24816,LECCO,06:32:00,06:33:00,392.0,393.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124823-2026-08-20-2026-09-14,S8 - 24823,MILANO,06:55:00,06:56:00,415.0,416.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124818-2026-08-20-2026-09-14,S8 - 24818,LECCO,07:02:00,07:03:00,422.0,423.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124825-2026-08-20-2026-09-14,S8 - 24825,MILANO,07:25:00,07:26:00,445.0,446.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124820-2026-08-20-2026-09-14,S8 - 24820,LECCO,07:32:00,07:33:00,452.0,453.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124827-2026-08-20-2026-09-14,S8 - 24827,MILANO,07:55:00,07:56:00,475.0,476.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
