policy_index,policy_id,uniform_headway_min,span_id,span_start_min,span_end_min,span_minutes,calendar_id,annual_service_days,recovery_min,extension_share,headway_status,span_status,calendar_status,recovery_status,extension_share_status,production_status,fleet_status,exact_timetable,s8_phase_selected
0,SP2_a85bdf543e19c5,15,CORE_0600_2200,360,1320,960,IDEALISED_5_DAY_52_WEEK,260,5,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
1,SP2_eba16323ab90fc,15,CORE_0600_2200,360,1320,960,IDEALISED_5_DAY_52_WEEK,260,10,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
2,SP2_5b06b2f86a0e87,15,CORE_0600_2200,360,1320,960,IDEALISED_5_DAY_52_WEEK,260,15,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
3,SP2_dd6cb6629859bb,15,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,5,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
4,SP2_310203f547ce1b,15,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,10,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
5,SP2_610dec7e62d822,15,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,15,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
6,SP2_f600df6cd415eb,15,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,5,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
7,SP2_6229ce78cc98f1,15,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,10,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
8,SP2_2a05322b2d4d40,15,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,15,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
9,SP2_0dfffe58c26078,15,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_5_DAY_52_WEEK,260,5,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
10,SP2_4ff8aacd11e8db,15,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_5_DAY_52_WEEK,260,10,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
11,SP2_3634a081c7e8f5,15,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_5_DAY_52_WEEK,260,15,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
12,SP2_8f87246eea6a3c,15,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_6_DAY_52_WEEK,312,5,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
13,SP2_4c479a65d88544,15,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_6_DAY_52_WEEK,312,10,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
14,SP2_996bfadc6f34d0,15,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_6_DAY_52_WEEK,312,15,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
15,SP2_01df14cb53d9dc,15,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_DAILY_YEAR,365,5,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
16,SP2_8b1c7e1c151aa3,15,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_DAILY_YEAR,365,10,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
17,SP2_6ee8fc9e640e52,15,S8_EXTENDED_0530_2400,330,1440,1110,IDEALISED_DAILY_YEAR,365,15,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
18,SP2_16f0f92bf30ac2,20,CORE_0600_2200,360,1320,960,IDEALISED_5_DAY_52_WEEK,260,5,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
19,SP2_7bf6606bb44dcd,20,CORE_0600_2200,360,1320,960,IDEALISED_5_DAY_52_WEEK,260,10,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
20,SP2_4cfb3c03eeff7e,20,CORE_0600_2200,360,1320,960,IDEALISED_5_DAY_52_WEEK,260,15,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
21,SP2_5c50c266aead4a,20,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,5,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
22,SP2_5c7f683fdf665b,20,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,10,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
23,SP2_d024288d129528,20,CORE_0600_2200,360,1320,960,IDEALISED_6_DAY_52_WEEK,312,15,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
24,SP2_1aa0643ddb804d,20,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,5,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
25,SP2_f9c8d96b886b02,20,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,10,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
26,SP2_fc3e8ad5ce5010,20,CORE_0600_2200,360,1320,960,IDEALISED_DAILY_YEAR,365,15,0.00,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE,ASSUMPTION_DESIGN_SPACE_NOT_ACTUAL_CALENDAR,ASSUMPTION_SENSITIVITY,ASSUMPTION_DESIGN_SPACE,MODEL_OUTPUT_CONTINUOUS_CLOCKFACE_PRODUCTION_APPROXIMATION,MODEL_OUTPUT_LOWER_BOUND_NOT_VEHICLE_BLOCK_PLAN,false,false
