scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,current_lower_bound_non_regression_pass,minimum_worst_municipality_threshold_margin_vs_current_lower_bound,s8_complete_supported_route_count,s8_incomplete_supported_route_count,territorial_other_core_worker_mass_upper_bound,territorial_other_external_worker_mass_upper_bound,territorial_total_worker_mass_upper_bound_reporting_only,public_equal_pattern_set_cycle_distance_km_lower_bound,public_equal_pattern_set_cycle_runtime_min_lower_bound,public_max_single_route_cycle_runtime_min_lower_bound,public_closure_added_route_count,public_explicit_proposed_stop_count,public_explicit_existing_stop_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_operational_unknown_distance_share_lower_bound,public_explicit_field_check_pending_count,public_distance_km,public_runtime_min,public_route_count,equivalent_metric_scenario_count,frontier_timing_key,on_reference_budget_multiblock_frontier
P2_00081ae402785461,two_independent_loops,15,CORE_0600_2200,360,1320,True,0.0,2,0,221,22,243,19.455742931,35.35681055,21.924767293,0,3,1,0.092091837964,0.228544609719,0.302947097357,0.0,0.0,0.0,0.0,3,19.455742931,35.35681055,2,2,H15_CORE_0600_2200,false
P2_001a61609ccacf8e,scheduled_extensions,15,CORE_0600_2200,360,1320,True,0.0,1,0,0,0,0,2.156645432,5.24249741,5.24249741,0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200,true
P2_0025a0f6ca8871c3,scheduled_extensions,15,CORE_0600_2200,360,1320,True,0.0,1,0,221,0,221,2.077214724,3.877409581,3.877409581,0,0,1,0.0592132478,0.135967256974,0.172251107935,0.0,0.0,0.0,0.0,0,2.077214724,3.877409581,1,53,H15_CORE_0600_2200,true
P2_005ec4c7a1fdae97,single_compact_loop,15,CORE_0600_2200,360,1320,True,0.0,1,0,490,0,490,12.97138911,26.614596208,26.614596208,0,3,1,0.114293557299,0.230384766647,0.291930969098,0.0,0.0,0.0,0.0,3,12.97138911,26.614596208,1,2,H15_CORE_0600_2200,false
P2_00889ed95500f1fa,trunk_plus_branches,15,CORE_0600_2200,360,1320,True,0.0,2,0,248,0,248,14.654068979,27.891334553,15.981643964,2,1,2,0.11600077104,0.222566941067,0.276571701732,0.0,0.0,0.0,0.0,1,9.010139306,18.03766848,2,2,H15_CORE_0600_2200,false
P2_00a951c298b51040,scheduled_extensions,15,CORE_0600_2200,360,1320,True,0.0,1,0,0,0,0,2.156645432,5.24249741,5.24249741,0,1,0,0.05211502377,0.142162095171,0.170741162628,0.0,0.0,0.0,0.0,1,2.156645432,5.24249741,1,53,H15_CORE_0600_2200,true
P2_00be2280c8596720,scheduled_extensions,15,CORE_0600_2200,360,1320,True,0.0,1,0,221,0,221,2.789180476,4.945358207,4.945358207,0,0,1,0.061409059953,0.159217870766,0.189661881624,0.0,0.0,0.0,0.0,0,2.789180476,4.945358207,1,54,H15_CORE_0600_2200,true
P2_00e0a8c870f4f121,interlined_figure8,15,CORE_0600_2200,360,1320,True,0.0,2,0,753,66,819,33.920941185,67.355419871,47.863301935,0,4,2,0.091645748978,0.226549723931,0.280064058817,0.0,0.004163708442,0.013594365541,0.0,4,33.920941185,67.355419871,2,2,H15_CORE_0600_2200,false
P2_00f711a7ea357f18,trunk_plus_branches,15,CORE_0600_2200,360,1320,True,0.0,2,0,101,422,523,11.014231539,21.867032146,11.263283275,2,3,0,0.053125770804,0.150183447254,0.193716819245,0.0,0.0,0.0,0.0,3,6.964537699,14.628202605,2,2,H15_CORE_0600_2200,false
P2_0124280fb2de9af4,interlined_figure8,15,CORE_0600_2200,360,1320,True,0.0,2,0,733,0,733,36.356295347,73.220086352,40.123695401,0,5,3,0.162364543745,0.347831225373,0.472008736884,0.0,0.0,0.0,0.0,5,36.356295347,73.220086352,2,2,H15_CORE_0600_2200,false
P2_013869dd79524d40,scheduled_extensions,15,CORE_0600_2200,360,1320,True,0.0,1,0,0,0,0,1.798824735,4.556729121,4.556729121,0,1,0,0.047393654298,0.13329934518,0.158103200323,0.0,0.0,0.0,0.0,1,1.798824735,4.556729121,1,54,H15_CORE_0600_2200,true
P2_013fd5e8e5162734,short_turn_overlay,15,CORE_0600_2200,360,1320,True,0.0,2,0,332,0,332,12.964806444,23.853198481,15.14573968,2,1,2,0.110459543908,0.219438244279,0.273210093724,0.0,0.0,0.0,0.0,1,8.178985061,14.931446818,2,2,H15_CORE_0600_2200,false
P2_014a49a2eb389f5b,single_compact_loop,15,CORE_0600_2200,360,1320,True,0.0,1,0,753,0,753,20.751420566,40.460830388,40.460830388,0,2,1,0.075195181827,0.177293541666,0.255110286298,0.0,0.019833047594,0.093473095134,0.0,2,20.751420566,40.460830388,1,2,H15_CORE_0600_2200,false
P2_017387704e90dfa7,interlined_figure8,15,CORE_0600_2200,360,1320,True,0.035148434382,2,0,567,0,567,19.348490861,36.400255707,22.40124738,0,1,4,0.131669485969,0.279851259256,0.367052696251,0.035148434382,0.13167864373,0.1719969483,0.0,1,19.348490861,36.400255707,2,2,H15_CORE_0600_2200,false
P2_01888f13dcd6ff5f,two_independent_loops,15,CORE_0600_2200,360,1320,True,0.0,2,0,641,0,641,26.197311289,47.201608285,24.967723161,0,1,3,0.096050289374,0.233106960501,0.296486524781,0.0,0.00566028293,0.0133129396,0.0,1,26.197311289,47.201608285,2,2,H15_CORE_0600_2200,false
P2_018fb8808f0b60ee,interlined_figure8,15,CORE_0600_2200,360,1320,True,0.0,2,0,490,0,490,12.613206691,25.63355383,13.999008327,0,2,2,0.101628945514,0.227475277827,0.307986229494,0.0,0.0,0.0,0.0,2,12.613206691,25.63355383,2,2,H15_CORE_0600_2200,false
P2_019470ff96d61475,interlined_figure8,15,CORE_0600_2200,360,1320,True,0.0,2,0,310,409,719,20.80198283,43.381500772,29.382492445,0,3,2,0.094306013784,0.202505475837,0.2511655236,0.0,0.0,0.0,0.0,3,20.80198283,43.381500772,2,2,H15_CORE_0600_2200,false
P2_019a6b66bd7e877e,hybrid_interlined,15,CORE_0600_2200,360,1320,True,0.0,2,0,90,0,90,13.450532327,23.079772434,12.430990815,0,0,2,0.079028240385,0.18544882768,0.259871249951,0.0,0.00566028293,0.0133129396,0.0,0,13.450532327,23.079772434,2,2,H15_CORE_0600_2200,false
P2_01bcf0cc642ce590,single_compact_loop,15,CORE_0600_2200,360,1320,True,0.0,1,0,139,322,461,17.904908117,33.613427983,33.613427983,0,2,2,0.07367344225,0.194536389322,0.289239766048,0.0,0.0,0.0,0.0,2,17.904908117,33.613427983,1,2,H15_CORE_0600_2200,false
P2_01be627b3dd863a8,scheduled_extensions,15,CORE_0600_2200,360,1320,True,0.0,1,0,0,0,0,1.028054525,2.303669281,2.303669281,0,0,1,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200,true
P2_01ccf50e162783a2,trunk_plus_branches,15,CORE_0600_2200,360,1320,True,0.0,2,0,0,217,217,7.04073558,16.423800964,11.241788459,2,2,1,0.050744152415,0.114152022335,0.149695236949,0.0,0.0,0.0,0.0,2,3.875879614,8.957182074,2,2,H15_CORE_0600_2200,false
P2_01e5c4fbbdc65326,interlined_figure8,15,CORE_0600_2200,360,1320,True,0.0,2,0,375,370,745,19.410466412,38.234129194,26.299866052,0,2,2,0.059868148196,0.157562049444,0.241442498825,0.0,0.0,0.0,0.0,2,19.410466412,38.234129194,2,2,H15_CORE_0600_2200,false
P2_020e48a72ffda8fc,blank_slate,15,CORE_0600_2200,360,1320,True,0.0,1,0,356,33,389,12.484285618,23.59979522,23.59979522,0,2,1,0.086052705969,0.18655648053,0.24741860801,0.0,0.0,0.0,0.0,2,12.484285618,23.59979522,1,2,H15_CORE_0600_2200,false
P2_022a1f2e1a0a7125,interlined_figure8,15,CORE_0600_2200,360,1320,True,0.0,2,0,447,43,490,22.895670351,44.879497944,31.447454687,0,3,2,0.100067029381,0.255387263432,0.311805024705,0.0,0.0,0.0,0.0,3,22.895670351,44.879497944,2,2,H15_CORE_0600_2200,false
P2_0252bd635334d74f,interlined_figure8,15,CORE_0600_2200,360,1320,True,0.05749429609,2,0,1055,0,1055,41.740888138,79.658431154,40.123695401,0,2,6,0.145914558423,0.328834542927,0.443404237956,0.05749429609,0.198053088217,0.274051753101,0.0,2,41.740888138,79.658431154,2,2,H15_CORE_0600_2200,false
P2_028022c8072480d9,hybrid_interlined,15,CORE_0600_2200,360,1320,True,0.0,2,0,221,0,221,5.874345205,11.772608355,7.201086397,0,2,0,0.084249644564,0.158496675932,0.1990055526,0.0,0.0,0.0,0.0,2,5.874345205,11.772608355,2,2,H15_CORE_0600_2200,true
P2_029799724eff8d10,trunk_plus_branches,15,CORE_0600_2200,360,1320,True,0.0,2,0,101,217,318,20.353114502,40.215088655,21.65260327,2,1,2,0.077423578411,0.175953101846,0.250322343137,0.0,0.0,0.0,0.0,1,13.401482452,25.593452263,2,2,H15_CORE_0600_2200,false
P2_029f89d98db5fdc1,blank_slate,15,CORE_0600_2200,360,1320,True,0.0,1,0,490,0,490,9.529583217,18.532353287,18.532353287,0,2,2,0.091926430842,0.179132904735,0.214382026718,0.0,0.0,0.0,0.0,2,9.529583217,18.532353287,1,2,H15_CORE_0600_2200,false
P2_02ad2266b1b1eb9b,scheduled_extensions,15,CORE_0600_2200,360,1320,True,0.0,1,0,0,0,0,1.028054525,2.303669281,2.303669281,0,0,1,0.047210120657,0.103830657035,0.131740402853,0.0,0.0,0.0,0.0,0,1.028054525,2.303669281,1,54,H15_CORE_0600_2200,true
