route_id,runtime_archetype_id,public_runtime_min,cycle_runtime_min,roles,public_service_starts_at_hub,public_service_returns_to_hub,vehicle_closure_added,rail_to_bus_passenger_event_supported,bus_to_rail_passenger_event_supported,anchors_json,stage_d_timing_input_occurrence_count
R2_00244e90ff8d4fb636fd,RT2_aafeccb70343c6e474a9,14.426477577,21.795207794,PUBLIC,true,false,true,true,false,"[""rail:S01514"",""P2V2S_0098"",""P2V2S_0131""]",6
R2_003fb677922b3a103696,RT2_9c787bb7b797a8b1548d,36.748163686,36.748163686,PUBLIC,true,true,false,true,true,"[""rail:S01514"",""existing:EX_042"",""P2V2S_0129"",""existing:EX_033"",""existing:EX_016"",""rail:S01514""]",4
R2_004e2e5a6306a2bbfd2d,RT2_bf15a238b927e61a631e,14.818579066,22.776323232,PUBLIC,true,false,true,true,false,"[""rail:S01514"",""P2V2S_0075"",""P2V2S_0136""]",4
R2_00fe74872b24e5d63b2a,RT2_73c3b623c82e112a5b57,11.205509348,20.983049189,PUBLIC,true,false,true,true,false,"[""rail:S01514"",""P2V2S_0054"",""existing:EX_002""]",8
R2_01687f7fe7b61bd1c8a9,RT2_865ad289a7bb626ebf00,7.436075373,11.195909750,PUBLIC,true,false,true,true,false,"[""rail:S01514"",""existing:EX_023"",""P2V2S_0075""]",6
R2_01e7eb2a3ab6cfd98854,RT2_819c43a3e295d60d4352,9.479943456,13.540434862,PUBLIC,true,false,true,true,false,"[""rail:S01514"",""P2V2S_0091"",""existing:EX_006""]",4
R2_021a86433a625480e72f,RT2_b84e6cc1f47d5822287d,6.555261053,7.473577478,PUBLIC,true,false,true,true,false,"[""rail:S01514"",""P2V2S_0031"",""existing:EX_018""]",8
R2_022410910b95934808ac,RT2_998810382738ab6dd40e,18.546014739,18.546014739,PUBLIC,true,true,false,true,true,"[""rail:S01514"",""P2V2S_0054"",""existing:EX_030"",""P2V2S_0072"",""rail:S01514""]",8
R2_02e779095e18cf5b3484,RT2_1dc7af6ea9b5450423c0,27.184348179,27.184348179,PUBLIC,true,true,false,true,true,"[""rail:S01514"",""P2V2S_0009"",""P2V2S_0079"",""P2V2S_0055"",""rail:S01514""]",24
R2_0309b399f7f6699f5624,RT2_8aca18bf053139e9467a,43.458294395,43.458294395,PUBLIC,true,true,false,true,true,"[""rail:S01514"",""P2V2S_0008"",""P2V2S_0055"",""existing:EX_008"",""existing:EX_006"",""rail:S01514""]",4
R2_0371fae20bbf3841404f,RT2_029ea244cea81dbba9fc,7.022992804,10.603748871,PUBLIC,true,false,true,true,false,"[""rail:S01514"",""P2V2S_0062"",""P2V2S_0032""]",4
R2_03767691e71f14c957c7,RT2_c85d1fe4cca6ceb4375c,37.324857616,37.324857616,PUBLIC,true,true,false,true,true,"[""rail:S01514"",""P2V2S_0061"",""existing:EX_033"",""P2V2S_0063"",""P2V2S_0046"",""rail:S01514""]",4
