seed_id,stop_sequence,stop_foundation_id,human_label,municipality,lat,lon,graph_node_id,path_node_position,stop_class,selected_service_area_id,interpolation_semantics
EAST_BASE,1,rail:S01514,Olgiate-Calco-Brivio,Olgiate Molgora,45.729187766,9.403662947,n:531394.95:5064038.66,0,HUB_RAIL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,2,existing:EX_019,Calco - via virgilio (pensilina asf),Calco,45.725017,9.40995,n:531927.07:5063574.22,55,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,3,existing:EX_007,Calco - via virgilio,Calco,45.72495,9.41495,n:532282.82:5063572.95,65,EXISTING_OFFICIAL,AREA_CALCO_CENTRO,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,4,existing:EX_038,Calco - via virgilio,Calco,45.72495,9.414367,n:532282.82:5063572.95,65,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,5,existing:EX_012,Brivio - beverate (tre strade),Brivio,45.73465,9.42685,n:533213.98:5064665.16,215,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,6,existing:EX_008,Brivio - beverate (paese),Brivio,45.73735,9.427967,n:533312.71:5064950.82,233,EXISTING_OFFICIAL,AREA_BEVERATE,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,7,existing:EX_010,Brivio - via como (pizzeria),Brivio,45.742417,9.439367,n:534184.20:5065526.96,293,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,8,existing:EX_002,Brivio - capolinea,Brivio,45.741333,9.4457,n:534678.16:5065404.73,356,EXISTING_OFFICIAL,AREA_BRIVIO_CENTRO,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,9,existing:EX_015,Calco - arlate - (provinciale),Calco,45.7235,9.443967,n:534549.56:5063427.02,489,EXISTING_OFFICIAL,AREA_ARLATE,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,10,existing:EX_007,Calco - via virgilio,Calco,45.72495,9.41495,n:532282.82:5063572.95,633,EXISTING_OFFICIAL,AREA_CALCO_CENTRO,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,11,existing:EX_038,Calco - via virgilio,Calco,45.72495,9.414367,n:532282.82:5063572.95,633,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,12,existing:EX_019,Calco - via virgilio (pensilina asf),Calco,45.725017,9.40995,n:531927.07:5063574.22,643,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
EAST_BASE,13,rail:S01514,Olgiate-Calco-Brivio,Olgiate Molgora,45.729187766,9.403662947,n:531394.95:5064038.66,690,HUB_RAIL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,1,rail:S01514,Olgiate-Calco-Brivio,Olgiate Molgora,45.729187766,9.403662947,n:531394.95:5064038.66,0,HUB_RAIL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,2,existing:EX_018,Olgiate Molgora - via statale,Olgiate Molgora,45.728633,9.400417,n:531145.24:5063989.14,25,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,3,existing:EX_023,Olgiate Molgora - monticello scarpone,Olgiate Molgora,45.73133,9.39027,n:530369.50:5064267.88,56,EXISTING_OFFICIAL,AREA_MONTICELLO,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,4,existing:EX_041,S.Maria Hoe' - alduno,Santa Maria Hoè,45.7347,9.382517,n:529766.29:5064648.93,102,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,5,existing:EX_026,S.Maria Hoe' - alduno,Santa Maria Hoè,45.735,9.3822,n:529728.92:5064673.60,105,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,6,existing:EX_032,S.Maria Hoe' - alpino,Santa Maria Hoè,45.743617,9.374617,n:529138.47:5065631.58,206,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,7,existing:EX_022,S.Maria Hoe',Santa Maria Hoè,45.744283,9.373817,n:529070.45:5065704.08,216,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,8,existing:EX_028,Hoe',Santa Maria Hoè,45.748667,9.367717,n:528608.79:5066182.66,262,EXISTING_OFFICIAL,AREA_SMHOE,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,9,existing:EX_022,S.Maria Hoe',Santa Maria Hoè,45.744283,9.373817,n:529070.45:5065704.08,308,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,10,existing:EX_032,S.Maria Hoe' - alpino,Santa Maria Hoè,45.743617,9.374617,n:529138.47:5065631.58,317,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,11,existing:EX_029,Rovagnate - semaforo,La Valletta Brianza,45.737167,9.369383,n:528732.80:5064951.92,382,EXISTING_OFFICIAL,AREA_ROVAGNATE,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,12,existing:EX_042,Rovagnate - semaforo,La Valletta Brianza,45.737133,9.370467,n:528782.93:5064911.12,395,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,13,existing:EX_027,Perego - s.s. 342/via s.caterina,La Valletta Brianza,45.738567,9.362733,n:528193.74:5065060.08,419,EXISTING_OFFICIAL,AREA_PEREGO,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,14,existing:EX_042,Rovagnate - semaforo,La Valletta Brianza,45.737133,9.370467,n:528782.93:5064911.12,443,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,15,existing:EX_024,Rovagnate - la pesa,La Valletta Brianza,45.73725,9.374517,n:529163.04:5064915.90,454,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,16,existing:EX_026,S.Maria Hoe' - alduno,Santa Maria Hoè,45.735,9.3822,n:529728.92:5064673.60,495,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,17,existing:EX_041,S.Maria Hoe' - alduno,Santa Maria Hoè,45.7347,9.382517,n:529766.29:5064648.93,498,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,18,existing:EX_023,Olgiate Molgora - monticello scarpone,Olgiate Molgora,45.73133,9.39027,n:530369.50:5064267.88,544,EXISTING_OFFICIAL,AREA_MONTICELLO,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,19,existing:EX_018,Olgiate Molgora - via statale,Olgiate Molgora,45.728633,9.400417,n:531145.24:5063989.14,576,EXISTING_OFFICIAL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
WEST_BASE,20,rail:S01514,Olgiate-Calco-Brivio,Olgiate Molgora,45.729187766,9.403662947,n:531394.95:5064038.66,594,HUB_RAIL,,EXISTING_OFFICIAL_STOPS_ON_EXACT_FROZEN_GRAPH_PATH_NODE_ONLY
