pattern_index,route_short_name,trip_count,stop_count,segment_count,first_stop_name,last_stop_name,contains_olgiate_station,median_geodesic_stop_spacing_m,p90_geodesic_stop_spacing_m,max_geodesic_stop_spacing_m,stop_ids,stop_names
1,D184,5,13,12,Ravellino,Olgiate Molgora - stazione f.s.,true,648.992,1231.556,1297.565,300194|L00808|L00807|L00873|L00782|L00902|L00879|L00872|L00878|L00804|L00871|L00803|300407,Ravellino|Colle Brianza - nava (monumento)|Colle Brianza - piecastello|Hoe'|S.Maria Hoe'|S.Maria Hoe' - alpino|Rovagnate - vinicola ghezzi|Perego - s.s. 342/via s.caterina|Rovagnate - semaforo|Rovagnate - la pesa|S.Maria Hoe' - alduno|Olgiate Molgora - monticello scarpone|Olgiate Molgora - stazione f.s.
2,D184,1,7,6,Olgiate Molgora - stazione f.s.,Rovagnate - vinicola ghezzi,true,592.849,989.300,1231.041,300407|300803|300871|300804|300878|300872|300879,Olgiate Molgora - stazione f.s.|Olgiate Molgora - monticello scarpone|S.Maria Hoe' - alduno|Rovagnate - la pesa|Rovagnate - semaforo|Perego - s.s. 342/via s.caterina|Rovagnate - vinicola ghezzi
3,D184,1,8,7,Olgiate Molgora - stazione f.s.,S.Maria Hoe' - alpino,true,646.640,1022.300,1231.041,300407|300803|300871|300804|300878|300872|300879|300902,Olgiate Molgora - stazione f.s.|Olgiate Molgora - monticello scarpone|S.Maria Hoe' - alduno|Rovagnate - la pesa|Rovagnate - semaforo|Perego - s.s. 342/via s.caterina|Rovagnate - vinicola ghezzi|S.Maria Hoe' - alpino
4,D184,4,13,12,Olgiate Molgora - stazione f.s.,Ravellino - via san rocco,true,663.055,1196.251,1299.891,300407|300803|300871|300804|300878|300872|300879|300902|300782|300873|300807|300808|300969,Olgiate Molgora - stazione f.s.|Olgiate Molgora - monticello scarpone|S.Maria Hoe' - alduno|Rovagnate - la pesa|Rovagnate - semaforo|Perego - s.s. 342/via s.caterina|Rovagnate - vinicola ghezzi|S.Maria Hoe' - alpino|S.Maria Hoe'|Hoe'|Colle Brianza - piecastello|Colle Brianza - nava (monumento)|Ravellino - via san rocco
5,D184,1,2,1,Olgiate Molgora - stazione f.s.,S.Maria Hoe' - tremonte/via leopardi,true,2096.273,2096.273,2096.273,300407|300903,Olgiate Molgora - stazione f.s.|S.Maria Hoe' - tremonte/via leopardi
6,D184,1,8,7,Olgiate Molgora - stazione f.s.,Ravellino,true,679.471,1618.443,2096.273,300407|300903|300805|300782|300873|300807|300808|300194,Olgiate Molgora - stazione f.s.|S.Maria Hoe' - tremonte/via leopardi|S.Maria Hoe' - tremonte|S.Maria Hoe'|Hoe'|Colle Brianza - piecastello|Colle Brianza - nava (monumento)|Ravellino
7,D184,1,10,9,S.Maria Hoe' - tremonte/via leopardi,Olgiate Molgora (stazione f.s.),true,623.676,916.452,1131.894,300903|L00904|L00902|L00879|L00872|L00878|L00804|L00871|L00803|L00407,S.Maria Hoe' - tremonte/via leopardi|S.Maria Hoe' - tremonte/ via trento|S.Maria Hoe' - alpino|Rovagnate - vinicola ghezzi|Perego - s.s. 342/via s.caterina|Rovagnate - semaforo|Rovagnate - la pesa|S.Maria Hoe' - alduno|Olgiate Molgora - monticello scarpone|Olgiate Molgora (stazione f.s.)
8,D184,1,8,7,S.Maria Hoe' - alpino,Olgiate Molgora (stazione f.s.),true,656.380,970.313,1131.894,L00902|L00879|L00872|L00878|L00804|L00871|L00803|L00407,S.Maria Hoe' - alpino|Rovagnate - vinicola ghezzi|Perego - s.s. 342/via s.caterina|Rovagnate - semaforo|Rovagnate - la pesa|S.Maria Hoe' - alduno|Olgiate Molgora - monticello scarpone|Olgiate Molgora (stazione f.s.)
9,D185,1,3,2,Celana,Caprino - piazza marconi,false,500.787,535.155,543.747,300401|300482|300402,Celana|Caprino - roccolino|Caprino - piazza marconi
10,D185,1,7,6,Celana,Cisano - corso mazzini,false,423.302,500.787,543.747,300401|300482|300402|300483|300403|300484|300404,Celana|Caprino - roccolino|Caprino - piazza marconi|Caprino - bosco|Caprino - cava|Cisano - municipio|Cisano - corso mazzini
11,D185,7,18,17,Caprino - piazza marconi,Olgiate Molgora - stazione f.s.,true,509.767,883.161,1496.431,300402|300483|300403|300484|300404|300062|300405|L00063|L00406|L00087|L00487|L00398|L00086|300956|300634|300397|300729|300407,"Caprino - piazza marconi|Caprino - bosco|Caprino - cava|Cisano - municipio|Cisano - corso mazzini|Cisano - bivio brivio|Cisano - sosta|Brivio - capolinea|Brivio - via como (pizzeria)|Brivio - vaccarezza|Brivio - beverate (quattro strade)|Brivio - beverate (paese)|Brivio - beverate (cariplo)|Calco - via nazionale, 85|Calco - via Nazionale|Calco - via virgilio|Calco - via virgilio (pensilina asf)|Olgiate Molgora - stazione f.s."
12,D185,1,5,4,Caprino - piazza marconi,Cisano - stazione f.s.,false,364.045,428.529,436.369,300402|300483|300403|300484|300485,Caprino - piazza marconi|Caprino - bosco|Caprino - cava|Cisano - municipio|Cisano - stazione f.s.
