pattern_index,route_short_name,pattern_trip_count,segment_sequence,from_stop_id,from_stop_name,to_stop_id,to_stop_name,geodesic_distance_m,distance_semantics
1,D184,5,1,300194,Ravellino,L00808,Colle Brianza - nava (monumento),1147.864,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,2,L00808,Colle Brianza - nava (monumento),L00807,Colle Brianza - piecastello,415.893,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,3,L00807,Colle Brianza - piecastello,L00873,Hoe',1297.565,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,4,L00873,Hoe',L00782,S.Maria Hoe',641.605,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,5,L00782,S.Maria Hoe',L00902,S.Maria Hoe' - alpino,104.671,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,6,L00902,S.Maria Hoe' - alpino,L00879,Rovagnate - vinicola ghezzi,862.592,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,7,L00879,Rovagnate - vinicola ghezzi,L00872,Perego - s.s. 342/via s.caterina,212.435,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,8,L00872,Perego - s.s. 342/via s.caterina,L00878,Rovagnate - semaforo,623.676,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,9,L00878,Rovagnate - semaforo,L00804,Rovagnate - la pesa,341.606,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,10,L00804,Rovagnate - la pesa,L00871,S.Maria Hoe' - alduno,656.380,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,11,L00871,S.Maria Hoe' - alduno,L00803,Olgiate Molgora - monticello scarpone,702.785,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
1,D184,5,12,L00803,Olgiate Molgora - monticello scarpone,300407,Olgiate Molgora - stazione f.s.,1240.856,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
2,D184,1,1,300407,Olgiate Molgora - stazione f.s.,300803,Olgiate Molgora - monticello scarpone,1231.041,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
2,D184,1,2,300803,Olgiate Molgora - monticello scarpone,300871,S.Maria Hoe' - alduno,747.559,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
2,D184,1,3,300871,S.Maria Hoe' - alduno,300804,Rovagnate - la pesa,646.640,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
2,D184,1,4,300804,Rovagnate - la pesa,300878,Rovagnate - semaforo,398.550,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
2,D184,1,5,300878,Rovagnate - semaforo,300872,Perego - s.s. 342/via s.caterina,539.059,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
2,D184,1,6,300872,Perego - s.s. 342/via s.caterina,300879,Rovagnate - vinicola ghezzi,198.944,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
3,D184,1,1,300407,Olgiate Molgora - stazione f.s.,300803,Olgiate Molgora - monticello scarpone,1231.041,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
3,D184,1,2,300803,Olgiate Molgora - monticello scarpone,300871,S.Maria Hoe' - alduno,747.559,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
3,D184,1,3,300871,S.Maria Hoe' - alduno,300804,Rovagnate - la pesa,646.640,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
3,D184,1,4,300804,Rovagnate - la pesa,300878,Rovagnate - semaforo,398.550,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
3,D184,1,5,300878,Rovagnate - semaforo,300872,Perego - s.s. 342/via s.caterina,539.059,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
3,D184,1,6,300872,Perego - s.s. 342/via s.caterina,300879,Rovagnate - vinicola ghezzi,198.944,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
3,D184,1,7,300879,Rovagnate - vinicola ghezzi,300902,S.Maria Hoe' - alpino,883.139,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,1,300407,Olgiate Molgora - stazione f.s.,300803,Olgiate Molgora - monticello scarpone,1231.041,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,2,300803,Olgiate Molgora - monticello scarpone,300871,S.Maria Hoe' - alduno,747.559,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,3,300871,S.Maria Hoe' - alduno,300804,Rovagnate - la pesa,646.640,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,4,300804,Rovagnate - la pesa,300878,Rovagnate - semaforo,398.550,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,5,300878,Rovagnate - semaforo,300872,Perego - s.s. 342/via s.caterina,539.059,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,6,300872,Perego - s.s. 342/via s.caterina,300879,Rovagnate - vinicola ghezzi,198.944,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,7,300879,Rovagnate - vinicola ghezzi,300902,S.Maria Hoe' - alpino,883.139,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,8,300902,S.Maria Hoe' - alpino,300782,S.Maria Hoe',96.634,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,9,300782,S.Maria Hoe',300873,Hoe',679.471,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,10,300873,Hoe',300807,Colle Brianza - piecastello,1299.891,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,11,300807,Colle Brianza - piecastello,300808,Colle Brianza - nava (monumento),402.830,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
4,D184,4,12,300808,Colle Brianza - nava (monumento),300969,Ravellino - via san rocco,861.599,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
5,D184,1,1,300407,Olgiate Molgora - stazione f.s.,300903,S.Maria Hoe' - tremonte/via leopardi,2096.273,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
6,D184,1,1,300407,Olgiate Molgora - stazione f.s.,300903,S.Maria Hoe' - tremonte/via leopardi,2096.273,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
6,D184,1,2,300903,S.Maria Hoe' - tremonte/via leopardi,300805,S.Maria Hoe' - tremonte,269.899,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
6,D184,1,3,300805,S.Maria Hoe' - tremonte,300782,S.Maria Hoe',389.900,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
6,D184,1,4,300782,S.Maria Hoe',300873,Hoe',679.471,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
6,D184,1,5,300873,Hoe',300807,Colle Brianza - piecastello,1299.891,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
6,D184,1,6,300807,Colle Brianza - piecastello,300808,Colle Brianza - nava (monumento),402.830,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
6,D184,1,7,300808,Colle Brianza - nava (monumento),300194,Ravellino,1132.836,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
7,D184,1,1,300903,S.Maria Hoe' - tremonte/via leopardi,L00904,S.Maria Hoe' - tremonte/ via trento,253.767,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
7,D184,1,2,L00904,S.Maria Hoe' - tremonte/ via trento,L00902,S.Maria Hoe' - alpino,330.919,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
7,D184,1,3,L00902,S.Maria Hoe' - alpino,L00879,Rovagnate - vinicola ghezzi,862.592,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
7,D184,1,4,L00879,Rovagnate - vinicola ghezzi,L00872,Perego - s.s. 342/via s.caterina,212.435,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
7,D184,1,5,L00872,Perego - s.s. 342/via s.caterina,L00878,Rovagnate - semaforo,623.676,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
7,D184,1,6,L00878,Rovagnate - semaforo,L00804,Rovagnate - la pesa,341.606,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
7,D184,1,7,L00804,Rovagnate - la pesa,L00871,S.Maria Hoe' - alduno,656.380,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
7,D184,1,8,L00871,S.Maria Hoe' - alduno,L00803,Olgiate Molgora - monticello scarpone,702.785,OFFICIAL_STOP_COORDINATE_GEODESIC_NOT_ROAD_DISTANCE
