stop_foundation_id,source_stop_id,physical_cluster_id,stop_class,human_label,municipality,lat,lon,road_name_or_context,evidence_status,road_eligibility_status,field_check_status,current_d184_d185_physical_stop,current_routes,human_identity_ready,finalist_stop_ready,readiness_reason,nearest_official_stop_walk_network_m,population_reachable_10min,population_additional_10min,settlement_context,destination_context,source_lineage
existing:EX_001,100005,EX_001,EXISTING_OFFICIAL,Brivio - s.s. briantea,Brivio,45.73464,9.42271,Brivio - s.s. briantea,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_002,300063,EX_002,EXISTING_OFFICIAL,Brivio - capolinea,Brivio,45.741333,9.4457,Brivio - capolinea,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_003,300086,EX_003,EXISTING_OFFICIAL,Brivio - beverate (cariplo),Brivio,45.7404,9.423083,Brivio - beverate (cariplo),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_004,300087,EX_004,EXISTING_OFFICIAL,Brivio - vaccarezza,Brivio,45.73685,9.436083,Brivio - vaccarezza,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_008,300398,EX_008,EXISTING_OFFICIAL,Brivio - beverate (paese),Brivio,45.73735,9.427967,Brivio - beverate (paese),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_009,300405,EX_009,EXISTING_OFFICIAL,Cisano - sosta,Brivio,45.739883,9.451267,Cisano - sosta,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_010,300406,EX_010,EXISTING_OFFICIAL,Brivio - via como (pizzeria),Brivio,45.742417,9.439367,Brivio - via como (pizzeria),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_012,300487,EX_012,EXISTING_OFFICIAL,Brivio - beverate (tre strade),Brivio,45.73465,9.42685,Brivio - beverate (tre strade),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_013,300501,EX_013,EXISTING_OFFICIAL,Monte Marenzo - levata (smalti riva),Brivio,45.77215,9.44324,Monte Marenzo - levata (smalti riva),FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_014,300527,EX_014,EXISTING_OFFICIAL,Airuno - elettroadda,Brivio,45.741333,9.423283,Airuno - elettroadda,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_017,300638,EX_017,EXISTING_OFFICIAL,Olginate - fornasette,Brivio,45.7686,9.424767,Olginate - fornasette,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_034,300908,EX_034,EXISTING_OFFICIAL,Calolziocorte - gerola capolinea arrivo,Brivio,45.77278,9.44363,Calolziocorte - gerola capolinea arrivo,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_036,L00063,EX_036,EXISTING_OFFICIAL,Brivio - capolinea,Brivio,45.74245,9.44585,Brivio - capolinea,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,true,D185,true,true,CURRENT_D184_D185_OFFICIAL_PHYSICAL_STOP_REUSE_READY,0,,,,,stop_universe_v2/existing_official_stops.csv
existing:EX_040,L00504,EX_040,EXISTING_OFFICIAL,Monte Marenzo - bisone via industriale,Brivio,45.766183,9.445683,Monte Marenzo - bisone via industriale,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,OFFICIAL_STOP_LOCATION,NOT_REQUIRED_FOR_EXISTING_IDENTITY,false,,true,false,REFERENCE_PERIOD_OFFICIAL_STOP_EVALUATION_ONLY,0,,,,,stop_universe_v2/existing_official_stops.csv
proposed:P2V2S_0067,P2V2S_0067,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0067,Brivio,45.72955098842902,9.429854899027529,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,1124.1163578454496,210.76099244584725,96.12434052366132,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0077,P2V2S_0077,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0077,Brivio,45.731361824728616,9.441953290737597,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,951.3089527698967,481.38687667544593,84.77892275140067,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0079,P2V2S_0079,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0079,Brivio,45.73186574772043,9.425129992453112,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,703.4196919971574,319.41700140088403,59.770338024721994,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0087,P2V2S_0087,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0087,Brivio,45.73331650904722,9.435343483589149,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,432.54484674647637,454.280040739307,5.5170631030059205,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0088,P2V2S_0088,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0088,Brivio,45.733303272507506,9.44492693444124,residential,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,1168.5258500615732,186.92866546511505,65.53265012524889,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0096,P2V2S_0096,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0096,Brivio,45.73506411463403,9.437565263115342,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,374.2541109056728,538.008844477586,28.660719063354946,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0097,P2V2S_0097,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0097,Brivio,45.735450880736366,9.444340113901827,tertiary,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,743.7760323214729,353.04577544979963,62.789523946983266,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0100,P2V2S_0100,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0100,Brivio,45.73583305001236,9.44115405012939,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,741.4181846674809,405.9937993853774,27.218883908202567,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0104,P2V2S_0104,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0104,Brivio,45.7366552058213,9.44779777107369,residential,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,727.0609380505082,702.3498510479072,27.887754354496533,,,stop_universe_v2/proposed_stop_candidates.csv
