area_id,area_name,area_municipality,option_class,option_rank_within_class,stop_or_candidate_id,human_label,option_municipality,distance_to_area_anchor_m_geodesic,name_match_strength,name_match_kind,official_routes_reference_gtfs,current_d184_d185_name_membership,road_eligibility_status,field_check_pending,option_semantics
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,EXISTING_OFFICIAL,1,EX_039,Olgiate Molgora (stazione f.s.),Olgiate Molgora,148.4,1,TOKEN_OVERLAP,D184|D185,true,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,EXISTING_OFFICIAL,2,EX_018,Olgiate Molgora - via statale,Olgiate Molgora,288.0,1,TOKEN_OVERLAP,D148,false,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,EXISTING_OFFICIAL,3,EX_018,Olgiate Molgora - via statale,Olgiate Molgora,291.9,1,TOKEN_OVERLAP,D148,false,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,EXISTING_OFFICIAL,4,EX_011,Olgiate Molgora - stazione f.s.,Olgiate Molgora,425.0,1,TOKEN_OVERLAP,D184|D185,true,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,EXISTING_OFFICIAL,5,EX_023,Olgiate Molgora - monticello scarpone,Olgiate Molgora,1021.7,1,TOKEN_OVERLAP,D184,true,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,PROPOSED_HYPOTHESIS,1,P2V2S_0073,,Olgiate Molgora,198.2,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,PROPOSED_HYPOTHESIS,2,P2V2S_0056,,Olgiate Molgora,542.5,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,PROPOSED_HYPOTHESIS,3,P2V2S_0082,Bruggione,Olgiate Molgora,580.2,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,PROPOSED_HYPOTHESIS,4,P2V2S_0099,,Olgiate Molgora,603.2,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,PROPOSED_HYPOTHESIS,5,P2V2S_0054,,Calco,622.9,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,EXISTING_OFFICIAL,1,EX_007,Calco - via virgilio,Calco,74.7,2,CONTAINMENT,D185,true,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,EXISTING_OFFICIAL,2,EX_038,Calco - via virgilio,Calco,119.7,2,CONTAINMENT,D185,true,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,EXISTING_OFFICIAL,3,EX_005,Calco - via statale (edicola),Calco,121.3,2,CONTAINMENT,D148|D150,false,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,EXISTING_OFFICIAL,4,EX_005,Calco - via statale (edicola),Calco,131.3,2,CONTAINMENT,D148|D150,false,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,EXISTING_OFFICIAL,5,EX_019,Calco - via virgilio (pensilina asf),Calco,444.3,2,CONTAINMENT,D148|D185,true,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,PROPOSED_HYPOTHESIS,1,P2V2S_0038,Limito,Calco,201.7,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,PROPOSED_HYPOTHESIS,2,P2V2S_0032,Limito,Calco,314.7,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,PROPOSED_HYPOTHESIS,3,P2V2S_0053,,Calco,368.2,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,PROPOSED_HYPOTHESIS,4,P2V2S_0036,,Merate,473.7,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_CENTRO,Calco centro,Calco,PROPOSED_HYPOTHESIS,5,P2V2S_0054,,Calco,529.9,0,NONE,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_SUPERIORE,Calco Superiore,Calco,EXISTING_OFFICIAL,1,EX_016,Calco - via Nazionale,Calco,887.6,1,TOKEN_OVERLAP,D185,true,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_SUPERIORE,Calco Superiore,Calco,EXISTING_OFFICIAL,2,EX_005,Calco - via statale (edicola),Calco,915.8,1,TOKEN_OVERLAP,D148|D150,false,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_SUPERIORE,Calco Superiore,Calco,EXISTING_OFFICIAL,3,EX_005,Calco - via statale (edicola),Calco,917.0,1,TOKEN_OVERLAP,D148|D150,false,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_SUPERIORE,Calco Superiore,Calco,EXISTING_OFFICIAL,4,EX_007,Calco - via virgilio,Calco,924.5,1,TOKEN_OVERLAP,D185,true,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_SUPERIORE,Calco Superiore,Calco,EXISTING_OFFICIAL,5,EX_038,Calco - via virgilio,Calco,969.8,1,TOKEN_OVERLAP,D185,true,,false,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
AREA_CALCO_SUPERIORE,Calco Superiore,Calco,PROPOSED_HYPOTHESIS,1,P2V2S_0008,Bagaggera|Fornace Superiore,La Valletta Brianza,3656.4,1,TOKEN_OVERLAP,,false,DERIVED_GATE_D_BUS_ELIGIBLE,true,IDENTITY_AND_PROXIMITY_EVIDENCE_NOT_AUTOMATIC_SELECTION
