record_type,area_id,area_name,municipality,policy_role,evidence_anchor_id,evidence_source,evidence_status,aliases,exclusion_requires_reason,evidence_resolved_as_declared,evidence_lat,evidence_lon,nearest_current_stop_id,nearest_current_stop_label,nearest_current_stop_distance_m_geodesic,nearest_proposed_candidate_id,nearest_proposed_candidate_label,nearest_proposed_candidate_distance_m_geodesic
MUNICIPALITY_GUARD,MUN_OLGIATE,Olgiate Molgora,Olgiate Molgora,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true,true,,,,,,,,
MUNICIPALITY_GUARD,MUN_CALCO,Calco,Calco,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true,true,,,,,,,,
MUNICIPALITY_GUARD,MUN_BRIVIO,Brivio,Brivio,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true,true,,,,,,,,
MUNICIPALITY_GUARD,MUN_SMHOE,Santa Maria Hoè,Santa Maria Hoè,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true,true,,,,,,,,
MUNICIPALITY_GUARD,MUN_VALLETTA,La Valletta Brianza,La Valletta Brianza,HARD_EXPLICIT_PASSENGER_STOP,,,POLICY_GUARD,,true,true,,,,,,,,
SERVICE_AREA_AUDIT,AREA_OLGIATE_CENTRO,Olgiate Molgora centro / stazione,Olgiate Molgora,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62511605,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,centro|stazione,true,true,45.7302790,9.4033470,existing:EX_039,Olgiate Molgora (stazione f.s.),148.4,proposed:P2V2S_0073,Candidate P2V2S_0073,198.2
SERVICE_AREA_AUDIT,AREA_SAN_ZENO,San Zeno,Olgiate Molgora,REPORT_EXPLICIT_SERVICE_OR_REASON,,NO_CERTIFIED_ANCHOR_IN_CURRENT_STOP_UNIVERSE,MISSING_CERTIFIED_ANCHOR,san zeno,true,true,,,,,,,,
SERVICE_AREA_AUDIT,AREA_CALCO_CENTRO,Calco centro,Calco,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62511556,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,calco,true,true,45.7248681,9.4159051,existing:EX_007,Calco - via virgilio,74.7,proposed:P2V2S_0038,Limito,201.7
SERVICE_AREA_AUDIT,AREA_CALCO_SUPERIORE,Calco Superiore,Calco,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_6647016663,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,calco alta|calco superiore,true,true,45.7247416,9.4268562,existing:EX_016,Calco - via Nazionale,887.6,proposed:P2V2S_0046,Candidate P2V2S_0046,156.0
SERVICE_AREA_AUDIT,AREA_ARLATE,Arlate,Calco,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_3070050535,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,arlate,true,true,45.7210372,9.4433482,existing:EX_004,Brivio - vaccarezza,1846.5,proposed:P2V2S_0055,Candidate P2V2S_0055,723.6
SERVICE_AREA_AUDIT,AREA_BRIVIO_CENTRO,Brivio centro,Brivio,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62511518,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,brivio,true,true,45.7419691,9.4441423,existing:EX_002,Brivio - capolinea,140.1,proposed:P2V2S_0112,Candidate P2V2S_0112,404.1
SERVICE_AREA_AUDIT,AREA_BEVERATE,Beverate,Brivio,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_1144810241,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,beverate,true,true,45.7382670,9.4280345,existing:EX_008,Brivio - beverate (paese),102.1,proposed:P2V2S_0117,Candidate P2V2S_0117,128.0
SERVICE_AREA_AUDIT,AREA_SMHOE,Santa Maria Hoè,Santa Maria Hoè,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62512525,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,santa maria hoe|santa maria hoè,true,true,45.7443892,9.3750111,existing:EX_032,S.Maria Hoe' - alpino,91.1,proposed:P2V2S_0137,Candidate P2V2S_0137,228.4
SERVICE_AREA_AUDIT,AREA_ROVAGNATE,Rovagnate,La Valletta Brianza,REPORT_EXPLICIT_SERVICE_OR_REASON,OSM_POINT_62512298,stop_universe_v2/settlement_destination_anchors.csv,FACT_OSM_OBSERVATION,rovagnate,true,true,45.7385802,9.3695359,existing:EX_029,Rovagnate - semaforo,157.6,proposed:P2V2S_0094,Candidate P2V2S_0094,439.1
