population_unit_id,building_id,section_id,lat,lon,x_utm32,y_utm32,PRO_COM_T,COMUNE,building_piece_population_model,walk_min_to_nearest_existing_stop_v2,covered_5min,covered_8min,covered_10min,covered_12min,gap_5min,gap_8min,gap_10min,gap_12min,epistemic_status
20230101_000000::RLB-7d09bb40-c3b0-40d7-845a-385faa34894f::SEC=970100000001,20230101_000000::RLB-7d09bb40-c3b0-40d7-845a-385faa34894f,970100000001,45.73664380161188,9.436491293826478,533958.513682015,5064880.124215597,097010,Brivio,9.354928958677233,1.7442956768000912,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-c6aa7efa-7bc7-4a54-84f0-d178619b1d1a::SEC=970100000001,20230101_000000::RLB-c6aa7efa-7bc7-4a54-84f0-d178619b1d1a,970100000001,45.73622662942267,9.43584035436022,533908.1238646165,5064833.499615599,097010,Brivio,4.247246131236228,1.136265443599427,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-eddba303-6d37-4a83-835e-8248888844d2::SEC=970100000001,20230101_000000::RLB-eddba303-6d37-4a83-835e-8248888844d2,970100000001,45.73610489463095,9.435888263940083,533911.9248869482,5064819.994988354,097010,Brivio,0.2014003796497871,1.6881340746030424,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-0063a236-bc9d-4356-8707-24a7e9416732::SEC=970100000002,20230101_000000::RLB-0063a236-bc9d-4356-8707-24a7e9416732,970100000002,45.74137415972881,9.447556627703754,534816.4432257583,5065410.431215605,097010,Brivio,16.238327385383176,2.7972202914973434,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-0c63710b-a7af-4bd6-9d9d-0746af720da6::SEC=970100000002,20230101_000000::RLB-0c63710b-a7af-4bd6-9d9d-0746af720da6,970100000002,45.74201826510485,9.448866429344916,534917.9340817891,5065482.563315604,097010,Brivio,11.523291612253136,3.73105803480367,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-0e64bcd0-4e0d-4773-8436-4295b05c0edf::SEC=970100000002,20230101_000000::RLB-0e64bcd0-4e0d-4773-8436-4295b05c0edf,970100000002,45.74253931922731,9.447908172373989,534843.0658679139,5065540.035515604,097010,Brivio,7.184952039632429,3.4065661103304974,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-0f42cac2-363c-4ab0-a6a0-3f04acfb4dff::SEC=970100000002,20230101_000000::RLB-0f42cac2-363c-4ab0-a6a0-3f04acfb4dff,970100000002,45.74120998962943,9.447036997470285,534776.1219575021,5065391.965615603,097010,Brivio,4.717567893047862,2.3248331374566416,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-108b15fe-203b-4c43-8262-593fafcb2d87::SEC=970100000002,20230101_000000::RLB-108b15fe-203b-4c43-8262-593fafcb2d87,970100000002,45.743267777655895,9.447971973179802,534847.5757539852,5065620.996315604,097010,Brivio,4.136654974890295,4.283025042292226,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-1475fd8b-6026-483b-b330-380b8c242595::SEC=970100000002,20230101_000000::RLB-1475fd8b-6026-483b-b330-380b8c242595,970100000002,45.740858637230474,9.448278760627211,534872.9404998055,5065353.470315602,097010,Brivio,50.88549730162357,3.87785325855148,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-14edb304-d7e9-4326-872c-aa8c1644bf0e::SEC=970100000002,20230101_000000::RLB-14edb304-d7e9-4326-872c-aa8c1644bf0e,970100000002,45.742608784635685,9.446923453201132,534766.420848482,5065547.324815605,097010,Brivio,6.82562125934008,2.175661380115585,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-1593504a-f8ad-4a34-bc1a-4963d9607db7::SEC=970100000002,20230101_000000::RLB-1593504a-f8ad-4a34-bc1a-4963d9607db7,970100000002,45.740101526117186,9.447471772556382,534810.6330225572,5065269.002515603,097010,Brivio,0.1816457013126895,3.9493837907171323,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-2945c125-cea3-4474-beb1-d90ae18c02e9::SEC=970100000002,20230101_000000::RLB-2945c125-cea3-4474-beb1-d90ae18c02e9,970100000002,45.74085508254853,9.448632201118304,534900.4378898581,5065353.229515603,097010,Brivio,7.079771034773385,3.1205049099646343,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-2c6992dc-d0f1-4a68-9c09-60d884842a74::SEC=970100000002,20230101_000000::RLB-2c6992dc-d0f1-4a68-9c09-60d884842a74,970100000002,45.74116804822311,9.447328965318542,534798.8609087566,5065387.432815602,097010,Brivio,6.81302014154872,2.4777719584720996,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-30b275d2-7b96-468b-978d-51eb881f082f::SEC=970100000002,20230101_000000::RLB-30b275d2-7b96-468b-978d-51eb881f082f,970100000002,45.743356330229005,9.448776208231289,534910.0816798771,5065631.185315605,097010,Brivio,10.499107843542706,4.210523016701009,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-375e61ee-c645-4356-9c2e-cec816a11e56::SEC=970100000002,20230101_000000::RLB-375e61ee-c645-4356-9c2e-cec816a11e56,970100000002,45.742521043250264,9.449565498555398,534972.0016880995,5065538.728215605,097010,Brivio,2.693836225322756,5.090266596850768,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-3e2fab45-93f4-4273-9a77-694397dd0569::SEC=970100000002,20230101_000000::RLB-3e2fab45-93f4-4273-9a77-694397dd0569,970100000002,45.743092566209974,9.447730675370712,534828.9142463508,5065601.424930492,097010,Brivio,0.5063917636031621,3.5023920091066456,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-40106eec-33c4-4c19-9980-683956f85522::SEC=970100000002,20230101_000000::RLB-40106eec-33c4-4c19-9980-683956f85522,970100000002,45.74025383749798,9.44819016511197,534866.4248441074,5065286.237415602,097010,Brivio,18.25042884859365,4.517130384027515,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-43d54e5e-7c0a-4dc4-9e95-ccb3ad3d05ba::SEC=970100000002,20230101_000000::RLB-43d54e5e-7c0a-4dc4-9e95-ccb3ad3d05ba,970100000002,45.74109531747921,9.44806380105539,534856.0708843111,5065379.672215603,097010,Brivio,37.686057002471536,3.337992444747988,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-454be4d6-5975-4ab5-be25-6b940e5b0c1f::SEC=970100000002,20230101_000000::RLB-454be4d6-5975-4ab5-be25-6b940e5b0c1f,970100000002,45.74224166117112,9.448646915956108,534900.7186476744,5065507.287215604,097010,Brivio,1.057010768310063,3.6189154919911246,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-45863f70-6a67-447f-ae7d-db43d4cfe035::SEC=970100000002,20230101_000000::RLB-45863f70-6a67-447f-ae7d-db43d4cfe035,970100000002,45.742335635720046,9.44937285366007,534957.1314328058,5065518.044915604,097010,Brivio,39.860009130290166,5.350262567117294,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-45f9e888-ea50-4c08-85ef-5f2fdfab1403::SEC=970100000002,20230101_000000::RLB-45f9e888-ea50-4c08-85ef-5f2fdfab1403,970100000002,45.74059748215497,9.448220663014641,534868.5834798925,5065324.430215601,097010,Brivio,2.995118739073423,3.7343972658747724,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-4a4c7276-bcdd-4a73-8ee1-deadbcc8580c::SEC=970100000002,20230101_000000::RLB-4a4c7276-bcdd-4a73-8ee1-deadbcc8580c,970100000002,45.742579761692745,9.448430582862992,534883.6793096277,5065544.756415604,097010,Brivio,25.716795885557595,3.7835741934079667,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-4b037188-b25d-4135-9136-ba18c0dd8f9a::SEC=970100000002,20230101_000000::RLB-4b037188-b25d-4135-9136-ba18c0dd8f9a,970100000002,45.74353674525267,9.45021106764014,535021.5858263809,5065651.856915605,097010,Brivio,5.586244159034878,5.459799448292098,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-50e94623-c00f-4452-8591-fdafc642012f::SEC=970100000002,20230101_000000::RLB-50e94623-c00f-4452-8591-fdafc642012f,970100000002,45.73950186678311,9.44755350554615,534817.3640735408,5065202.414915601,097010,Brivio,1.0095343101180267,3.825969126393978,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-510c5243-8a11-4039-981a-9534df9d4353::SEC=970100000002,20230101_000000::RLB-510c5243-8a11-4039-981a-9534df9d4353,970100000002,45.739977882591354,9.447176145623727,534787.7118086228,5065255.136915602,097010,Brivio,9.848123587964755,4.303228906511464,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-514d11fc-7a80-4c28-aa26-013537eb4659::SEC=970100000002,20230101_000000::RLB-514d11fc-7a80-4c28-aa26-013537eb4659,970100000002,45.74245542647199,9.446618607630258,534742.8018801834,5065530.154015604,097010,Brivio,4.681961292615991,1.8229171431445865,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
