preprune_row,representative_preprune_row,pruned,reason,distance_m,catchment_jaccard
0,0,False,RETAINED_SPATIAL_ORDER,,
1,0,True,CANDIDATE_SPACING_REDUNDANCY,195.22386130274802,
2,2,False,RETAINED_SPATIAL_ORDER,,
3,2,True,CANDIDATE_SPACING_REDUNDANCY,149.5862838179301,
4,4,False,RETAINED_SPATIAL_ORDER,,
5,5,False,RETAINED_SPATIAL_ORDER,,
6,2,True,CANDIDATE_SPACING_REDUNDANCY,195.9876794194068,
7,4,True,CANDIDATE_SPACING_REDUNDANCY,141.3680965379575,
8,5,True,CANDIDATE_SPACING_REDUNDANCY,148.7200194453455,
9,9,False,RETAINED_SPATIAL_ORDER,,
10,5,True,TEN_MIN_CATCHMENT_REDUNDANCY,295.3018147383538,1.0
11,11,False,RETAINED_SPATIAL_ORDER,,
12,12,False,RETAINED_SPATIAL_ORDER,,
13,13,False,RETAINED_SPATIAL_ORDER,,
14,9,True,CANDIDATE_SPACING_REDUNDANCY,209.05412174952923,
15,15,False,RETAINED_SPATIAL_ORDER,,
16,15,True,CANDIDATE_SPACING_REDUNDANCY,156.6608120802711,
17,13,True,CANDIDATE_SPACING_REDUNDANCY,203.72305350345243,
18,18,False,RETAINED_SPATIAL_ORDER,,
19,19,False,RETAINED_SPATIAL_ORDER,,
20,20,False,RETAINED_SPATIAL_ORDER,,
21,19,True,CANDIDATE_SPACING_REDUNDANCY,156.8365570718007,
22,18,True,CANDIDATE_SPACING_REDUNDANCY,177.65409572801246,
23,23,False,RETAINED_SPATIAL_ORDER,,
24,19,True,CANDIDATE_SPACING_REDUNDANCY,215.84336899980315,
25,25,False,RETAINED_SPATIAL_ORDER,,
26,20,True,CANDIDATE_SPACING_REDUNDANCY,197.60856290646524,
27,27,False,RETAINED_SPATIAL_ORDER,,
28,28,False,RETAINED_SPATIAL_ORDER,,
29,29,False,RETAINED_SPATIAL_ORDER,,
30,30,False,RETAINED_SPATIAL_ORDER,,
31,31,False,RETAINED_SPATIAL_ORDER,,
32,32,False,RETAINED_SPATIAL_ORDER,,
33,27,True,CANDIDATE_SPACING_REDUNDANCY,187.3166309606444,
34,30,True,CANDIDATE_SPACING_REDUNDANCY,140.69174257699495,
35,35,False,RETAINED_SPATIAL_ORDER,,
36,31,True,CANDIDATE_SPACING_REDUNDANCY,149.95178627596096,
37,29,True,CANDIDATE_SPACING_REDUNDANCY,203.37560327684344,
38,38,False,RETAINED_SPATIAL_ORDER,,
39,39,False,RETAINED_SPATIAL_ORDER,,
40,40,False,RETAINED_SPATIAL_ORDER,,
41,41,False,RETAINED_SPATIAL_ORDER,,
42,42,False,RETAINED_SPATIAL_ORDER,,
43,43,False,RETAINED_SPATIAL_ORDER,,
44,41,True,CANDIDATE_SPACING_REDUNDANCY,199.13816764535076,
45,41,True,CANDIDATE_SPACING_REDUNDANCY,154.26907223559493,
46,40,True,CANDIDATE_SPACING_REDUNDANCY,194.53422706154697,
47,47,False,RETAINED_SPATIAL_ORDER,,
48,48,False,RETAINED_SPATIAL_ORDER,,
49,42,True,CANDIDATE_SPACING_REDUNDANCY,193.93001746955474,
50,50,False,RETAINED_SPATIAL_ORDER,,
51,48,True,CANDIDATE_SPACING_REDUNDANCY,166.10050048462793,
52,52,False,RETAINED_SPATIAL_ORDER,,
53,52,True,CANDIDATE_SPACING_REDUNDANCY,219.75624778850153,
54,47,True,CANDIDATE_SPACING_REDUNDANCY,170.2094750829307,
55,52,True,CANDIDATE_SPACING_REDUNDANCY,150.08728344542016,
56,56,False,RETAINED_SPATIAL_ORDER,,
57,50,True,CANDIDATE_SPACING_REDUNDANCY,166.00776891069378,
58,58,False,RETAINED_SPATIAL_ORDER,,
59,52,True,CANDIDATE_SPACING_REDUNDANCY,149.99944917423582,
60,60,False,RETAINED_SPATIAL_ORDER,,
61,61,False,RETAINED_SPATIAL_ORDER,,
62,62,False,RETAINED_SPATIAL_ORDER,,
63,58,True,CANDIDATE_SPACING_REDUNDANCY,195.5280968451259,
64,60,True,CANDIDATE_SPACING_REDUNDANCY,201.67538477998593,
65,60,True,CANDIDATE_SPACING_REDUNDANCY,154.62847200200105,
66,66,False,RETAINED_SPATIAL_ORDER,,
67,67,False,RETAINED_SPATIAL_ORDER,,
68,58,True,CANDIDATE_SPACING_REDUNDANCY,197.46521976136108,
69,69,False,RETAINED_SPATIAL_ORDER,,
70,70,False,RETAINED_SPATIAL_ORDER,,
71,71,False,RETAINED_SPATIAL_ORDER,,
72,61,True,CANDIDATE_SPACING_REDUNDANCY,146.88807018815416,
73,60,True,CANDIDATE_SPACING_REDUNDANCY,141.86431552994114,
74,74,False,RETAINED_SPATIAL_ORDER,,
75,75,False,RETAINED_SPATIAL_ORDER,,
76,62,True,CANDIDATE_SPACING_REDUNDANCY,182.25350353492905,
77,77,False,RETAINED_SPATIAL_ORDER,,
78,78,False,RETAINED_SPATIAL_ORDER,,
79,62,True,CANDIDATE_SPACING_REDUNDANCY,193.9659183328428,
80,75,True,TEN_MIN_CATCHMENT_REDUNDANCY,261.44192893440845,0.968421052631579
81,81,False,RETAINED_SPATIAL_ORDER,,
82,74,True,CANDIDATE_SPACING_REDUNDANCY,199.83196491244746,
83,71,True,CANDIDATE_SPACING_REDUNDANCY,148.60785373114615,
84,75,True,CANDIDATE_SPACING_REDUNDANCY,159.2293237296994,
85,85,False,RETAINED_SPATIAL_ORDER,,
86,86,False,RETAINED_SPATIAL_ORDER,,
87,77,True,CANDIDATE_SPACING_REDUNDANCY,151.46239165902188,
88,88,False,RETAINED_SPATIAL_ORDER,,
89,74,True,CANDIDATE_SPACING_REDUNDANCY,177.38645555432146,
90,75,True,CANDIDATE_SPACING_REDUNDANCY,205.4746471749563,
91,91,False,RETAINED_SPATIAL_ORDER,,
92,85,True,CANDIDATE_SPACING_REDUNDANCY,146.0767783775828,
93,77,True,CANDIDATE_SPACING_REDUNDANCY,204.98438040127263,
94,94,False,RETAINED_SPATIAL_ORDER,,
95,95,False,RETAINED_SPATIAL_ORDER,,
96,77,True,TEN_MIN_CATCHMENT_REDUNDANCY,282.48715695657086,0.9390243902439024
97,97,False,RETAINED_SPATIAL_ORDER,,
98,98,False,RETAINED_SPATIAL_ORDER,,
99,91,True,CANDIDATE_SPACING_REDUNDANCY,162.08988329576718,
100,100,False,RETAINED_SPATIAL_ORDER,,
101,95,True,CANDIDATE_SPACING_REDUNDANCY,154.62471842588084,
102,100,True,CANDIDATE_SPACING_REDUNDANCY,163.63795075709044,
103,94,True,CANDIDATE_SPACING_REDUNDANCY,194.97492736439568,
104,100,True,CANDIDATE_SPACING_REDUNDANCY,195.91907816604538,
105,105,False,RETAINED_SPATIAL_ORDER,,
106,91,True,CANDIDATE_SPACING_REDUNDANCY,192.5004861669005,
107,107,False,RETAINED_SPATIAL_ORDER,,
108,97,True,CANDIDATE_SPACING_REDUNDANCY,141.26231948461742,
109,109,False,RETAINED_SPATIAL_ORDER,,
110,110,False,RETAINED_SPATIAL_ORDER,,
111,105,True,CANDIDATE_SPACING_REDUNDANCY,147.42807950526299,
112,112,False,RETAINED_SPATIAL_ORDER,,
113,113,False,RETAINED_SPATIAL_ORDER,,
114,114,False,RETAINED_SPATIAL_ORDER,,
115,110,True,CANDIDATE_SPACING_REDUNDANCY,155.3594914042774,
116,116,False,RETAINED_SPATIAL_ORDER,,
117,117,False,RETAINED_SPATIAL_ORDER,,
118,110,True,CANDIDATE_SPACING_REDUNDANCY,164.01533036496116,
119,119,False,RETAINED_SPATIAL_ORDER,,
120,109,True,CANDIDATE_SPACING_REDUNDANCY,141.1811041356288,
121,114,True,CANDIDATE_SPACING_REDUNDANCY,173.19608846922603,
122,113,True,CANDIDATE_SPACING_REDUNDANCY,143.1571289598426,
123,123,False,RETAINED_SPATIAL_ORDER,,
124,124,False,RETAINED_SPATIAL_ORDER,,
125,125,False,RETAINED_SPATIAL_ORDER,,
126,126,False,RETAINED_SPATIAL_ORDER,,
127,123,True,CANDIDATE_SPACING_REDUNDANCY,199.59640476717132,
128,116,True,CANDIDATE_SPACING_REDUNDANCY,147.2161129708893,
129,125,True,CANDIDATE_SPACING_REDUNDANCY,154.55631535621714,
130,130,False,RETAINED_SPATIAL_ORDER,,
131,131,False,RETAINED_SPATIAL_ORDER,,
132,114,True,CANDIDATE_SPACING_REDUNDANCY,211.26626573498186,
133,133,False,RETAINED_SPATIAL_ORDER,,
134,130,True,CANDIDATE_SPACING_REDUNDANCY,146.5376736351815,
135,135,False,RETAINED_SPATIAL_ORDER,,
136,133,True,CANDIDATE_SPACING_REDUNDANCY,141.03891193601194,
137,137,False,RETAINED_SPATIAL_ORDER,,
138,135,True,CANDIDATE_SPACING_REDUNDANCY,187.8302803330175,
139,139,False,RETAINED_SPATIAL_ORDER,,
140,125,True,CANDIDATE_SPACING_REDUNDANCY,179.1222000368203,
141,141,False,RETAINED_SPATIAL_ORDER,,
142,142,False,RETAINED_SPATIAL_ORDER,,
143,130,True,CANDIDATE_SPACING_REDUNDANCY,191.9301313645452,
144,144,False,RETAINED_SPATIAL_ORDER,,
145,141,True,CANDIDATE_SPACING_REDUNDANCY,146.49449941764505,
146,146,False,RETAINED_SPATIAL_ORDER,,
147,131,True,CANDIDATE_SPACING_REDUNDANCY,189.14567109919653,
148,148,False,RETAINED_SPATIAL_ORDER,,
149,148,True,CANDIDATE_SPACING_REDUNDANCY,195.82265220954662,
150,142,True,CANDIDATE_SPACING_REDUNDANCY,162.7887146906894,
151,151,False,RETAINED_SPATIAL_ORDER,,
152,152,False,RETAINED_SPATIAL_ORDER,,
153,153,False,RETAINED_SPATIAL_ORDER,,
154,139,True,CANDIDATE_SPACING_REDUNDANCY,162.64175034029367,
155,146,True,CANDIDATE_SPACING_REDUNDANCY,148.64379411020457,
156,156,False,RETAINED_SPATIAL_ORDER,,
157,157,False,RETAINED_SPATIAL_ORDER,,
158,158,False,RETAINED_SPATIAL_ORDER,,
159,144,True,CANDIDATE_SPACING_REDUNDANCY,142.72710152145385,
160,141,True,CANDIDATE_SPACING_REDUNDANCY,178.49660253157734,
161,137,True,CANDIDATE_SPACING_REDUNDANCY,201.05501603861347,
162,152,True,CANDIDATE_SPACING_REDUNDANCY,141.04280907093295,
163,148,True,CANDIDATE_SPACING_REDUNDANCY,140.87684829286346,
164,164,False,RETAINED_SPATIAL_ORDER,,
165,165,False,RETAINED_SPATIAL_ORDER,,
166,153,True,CANDIDATE_SPACING_REDUNDANCY,147.00926157555952,
167,167,False,RETAINED_SPATIAL_ORDER,,
168,156,True,CANDIDATE_SPACING_REDUNDANCY,153.59821496672626,
169,169,False,RETAINED_SPATIAL_ORDER,,
170,148,True,TEN_MIN_CATCHMENT_REDUNDANCY,336.37683583226044,0.9166666666666666
171,153,True,CANDIDATE_SPACING_REDUNDANCY,218.69633618077245,
172,148,True,TEN_MIN_CATCHMENT_REDUNDANCY,261.6527216351424,0.9565217391304348
173,173,False,RETAINED_SPATIAL_ORDER,,
174,174,False,RETAINED_SPATIAL_ORDER,,
175,175,False,RETAINED_SPATIAL_ORDER,,
176,176,False,RETAINED_SPATIAL_ORDER,,
177,177,False,RETAINED_SPATIAL_ORDER,,
178,178,False,RETAINED_SPATIAL_ORDER,,
179,148,True,TEN_MIN_CATCHMENT_REDUNDANCY,378.5987670034356,0.9545454545454546
180,169,True,CANDIDATE_SPACING_REDUNDANCY,160.99531041129214,
181,174,True,CANDIDATE_SPACING_REDUNDANCY,211.33779573758935,
182,182,False,RETAINED_SPATIAL_ORDER,,
183,173,True,CANDIDATE_SPACING_REDUNDANCY,146.7519618560653,
