physical_cluster_id,stop_ids,stop_names,official_routes_reference_gtfs,route_count,interchange_candidate,source_scopes,epistemic_status
EX_001,100005,Brivio - s.s. briantea,D148,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_002,300063,Brivio - capolinea,D150|D185,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_003,300086|L00086,Brivio - beverate (cariplo),D150|D185,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_004,300087|L00087,Brivio - vaccarezza,D148|D150|D185,3,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_005,300089|L00089,Calco - via statale (edicola),D148|D150,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_006,300207,S.Maria Hoe' - paese,D148,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_007,300397,Calco - via virgilio,D185,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_008,300398|L00398,Brivio - beverate (paese),D150|D185,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_009,300405|300405;L00405|L00405,Cisano - sosta,D185,1,False,ANALYSIS_ENVELOPE_GATE_D_GTFS_CLUSTER_CENTROID|GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_010,300406|L00406,Brivio - via como (pizzeria),D148|D150|D185,3,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_011,300407,Olgiate Molgora - stazione f.s.,D184|D185,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_012,300487|L00487,Brivio - beverate (quattro strade)|Brivio - beverate (tre strade),D150|D185,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_013,300501|300863,Monte Marenzo - levata (smalti riva)|Monte Marenzo - smalti riva,D140|VCB,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_014,300527|L00527,Airuno - elettroadda,D148|D150,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_015,300528|L00528,Calco - arlate - (provinciale)|Calco- arlate - (provinciale),D150|D170,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_016,300634,Calco - via Nazionale,D185,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_017,300638|L00638,Olginate - fornasette,D150,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_018,300728|L00728,Olgiate Molgora - via statale,D148,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_019,300729|L00729,Calco - via virgilio (pensilina asf),D148|D185,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_020,300743,Calco - arlate (cimitero),D170,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_021,300746|L00746,Merate - sartirana (cimitero),D170,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_022,300782|L00782,S.Maria Hoe',D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_023,300803|L00803,Olgiate Molgora - monticello scarpone,D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_024,300804|L00804,Rovagnate - la pesa,D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_025,300805|L00904,S.Maria Hoe' - tremonte|S.Maria Hoe' - tremonte/ via trento,D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_026,300871,S.Maria Hoe' - alduno,D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_027,300872|L00872,Perego - s.s. 342/via s.caterina,D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_028,300873|L00873,Hoe',D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_029,300878,Rovagnate - semaforo,D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_030,300879|L00879,Rovagnate - vinicola ghezzi,D160|D184,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_031,300886|L00886,Imbersago - arlate (fiorista),D150|D170,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_032,300902|L00902,S.Maria Hoe' - alpino,D148|D184,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_033,300903,S.Maria Hoe' - tremonte/via leopardi,D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_034,300908,Calolziocorte - gerola capolinea arrivo,VCB,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_035,300956,"Calco - via nazionale, 85",D148|D150|D185,3,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_036,L00063,Brivio - capolinea,D148|D150|D185,3,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_037,L00207,S.Maria Hoe' - paese,D148,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_038,L00397,Calco - via virgilio,D185,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_039,L00407,Olgiate Molgora (stazione f.s.),D184|D185,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_040,L00504,Monte Marenzo - bisone via industriale,D140|VCB,2,True,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_041,L00871,S.Maria Hoe' - alduno,D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_042,L00878,Rovagnate - semaforo,D184,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
EX_043,L00956,Calco - via nazionale (peugeot),D150,1,False,GATE_B_CORE_GTFS_RECORD,DERIVED_FROM_OFFICIAL_GTFS_REFERENCE_PERIOD
