scenario_id,topology_family,n_public_routes,n_optional_extensions,routes_json,optional_extensions_json,seed_name
P2_00002d4ae8b567e2,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0012"",""existing:EX_007"",""P2V2S_0052"",""P2V2S_0150"",""rail:S01514""],[""rail:S01514"",""P2V2S_0150"",""P2V2S_0052"",""existing:EX_007"",""P2V2S_0012"",""rail:S01514""]]",[],
P2_000b7c0338a97408,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0074"",""existing:EX_023"",""rail:S01514""],[""rail:S01514"",""existing:EX_023"",""P2V2S_0074"",""rail:S01514""]]",[],
P2_000bfda0ff51cee8,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0110"",""P2V2S_0011"",""P2V2S_0124"",""rail:S01514""],[""rail:S01514"",""P2V2S_0124"",""P2V2S_0011"",""P2V2S_0110"",""rail:S01514""]]",[],
P2_0016f46181d3be5c,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0039"",""P2V2S_0011"",""P2V2S_0014"",""P2V2S_0043"",""rail:S01514""],[""rail:S01514"",""P2V2S_0043"",""P2V2S_0014"",""P2V2S_0011"",""P2V2S_0039"",""rail:S01514""]]",[],
P2_001a9784aebaf10c,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0028"",""existing:EX_034"",""existing:EX_037"",""rail:S01514""],[""rail:S01514"",""existing:EX_037"",""existing:EX_034"",""P2V2S_0028"",""rail:S01514""]]",[],
P2_002d058f2a2cdaad,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0056"",""P2V2S_0107"",""rail:S01514""],[""rail:S01514"",""P2V2S_0107"",""P2V2S_0056"",""rail:S01514""]]",[],
P2_0037da486b7425b7,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0126"",""existing:EX_036"",""existing:EX_030"",""rail:S01514""],[""rail:S01514"",""existing:EX_030"",""existing:EX_036"",""P2V2S_0126"",""rail:S01514""]]",[],
P2_003da3c21bb5ecbb,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0028"",""P2V2S_0083"",""rail:S01514""],[""rail:S01514"",""P2V2S_0083"",""P2V2S_0028"",""rail:S01514""]]",[],
P2_00509a10cef9d711,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0046"",""P2V2S_0077"",""rail:S01514""],[""rail:S01514"",""P2V2S_0077"",""P2V2S_0046"",""rail:S01514""]]",[],
P2_005472796257e1d5,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0093"",""P2V2S_0118"",""rail:S01514""],[""rail:S01514"",""P2V2S_0118"",""P2V2S_0093"",""rail:S01514""]]",[],
P2_005558c75ba85fcf,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0132"",""existing:EX_016"",""rail:S01514""],[""rail:S01514"",""existing:EX_016"",""P2V2S_0132"",""rail:S01514""]]",[],
P2_00721452bb51cbfa,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0004"",""existing:EX_006"",""P2V2S_0105"",""P2V2S_0042"",""rail:S01514""],[""rail:S01514"",""P2V2S_0042"",""P2V2S_0105"",""existing:EX_006"",""P2V2S_0004"",""rail:S01514""]]",[],
P2_007bd14ee0fc1a02,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0002"",""P2V2S_0028"",""P2V2S_0089"",""P2V2S_0068"",""rail:S01514""],[""rail:S01514"",""P2V2S_0068"",""P2V2S_0089"",""P2V2S_0028"",""P2V2S_0002"",""rail:S01514""]]",[],
P2_008048133d0b4269,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0008"",""P2V2S_0090"",""rail:S01514""],[""rail:S01514"",""P2V2S_0090"",""P2V2S_0008"",""rail:S01514""]]",[],
P2_00823a07657b7549,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0022"",""P2V2S_0032"",""P2V2S_0024"",""P2V2S_0117"",""rail:S01514""],[""rail:S01514"",""P2V2S_0117"",""P2V2S_0024"",""P2V2S_0032"",""P2V2S_0022"",""rail:S01514""]]",[],
P2_0086a494f85a3ba1,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0017"",""P2V2S_0120"",""rail:S01514""],[""rail:S01514"",""P2V2S_0120"",""P2V2S_0017"",""rail:S01514""]]",[],
P2_008d1ba4661ddc8e,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0069"",""existing:EX_008"",""rail:S01514""],[""rail:S01514"",""existing:EX_008"",""P2V2S_0069"",""rail:S01514""]]",[],
P2_0096aaa77ca897d8,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0003"",""P2V2S_0146"",""P2V2S_0135"",""rail:S01514""],[""rail:S01514"",""P2V2S_0135"",""P2V2S_0146"",""P2V2S_0003"",""rail:S01514""]]",[],
P2_009976eff2bdd213,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0062"",""existing:EX_004"",""P2V2S_0095"",""rail:S01514""],[""rail:S01514"",""P2V2S_0095"",""existing:EX_004"",""P2V2S_0062"",""rail:S01514""]]",[],
P2_009addc9e3a34006,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0119"",""P2V2S_0075"",""P2V2S_0114"",""existing:EX_031"",""rail:S01514""],[""rail:S01514"",""existing:EX_031"",""P2V2S_0114"",""P2V2S_0075"",""P2V2S_0119"",""rail:S01514""]]",[],
P2_009c9e16acaae001,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0098"",""existing:EX_029"",""rail:S01514""],[""rail:S01514"",""existing:EX_029"",""P2V2S_0098"",""rail:S01514""]]",[],
P2_00b3ccde48543cd8,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0066"",""existing:EX_019"",""rail:S01514""],[""rail:S01514"",""existing:EX_019"",""P2V2S_0066"",""rail:S01514""]]",[],
P2_00be46e9adfb1f4e,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0020"",""P2V2S_0055"",""P2V2S_0113"",""P2V2S_0033"",""rail:S01514""],[""rail:S01514"",""P2V2S_0033"",""P2V2S_0113"",""P2V2S_0055"",""P2V2S_0020"",""rail:S01514""]]",[],
P2_00be603a0f17ff91,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0047"",""existing:EX_041"",""rail:S01514""],[""rail:S01514"",""existing:EX_041"",""P2V2S_0047"",""rail:S01514""]]",[],
P2_00c041d3b918cedd,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0055"",""existing:EX_008"",""existing:EX_006"",""rail:S01514""],[""rail:S01514"",""existing:EX_006"",""existing:EX_008"",""P2V2S_0055"",""rail:S01514""]]",[],
P2_00c3fe9f5519efe9,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0070"",""existing:EX_012"",""rail:S01514""],[""rail:S01514"",""existing:EX_012"",""P2V2S_0070"",""rail:S01514""]]",[],
P2_00cd8a3e45a1dc09,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0054"",""P2V2S_0091"",""existing:EX_041"",""rail:S01514""],[""rail:S01514"",""existing:EX_041"",""P2V2S_0091"",""P2V2S_0054"",""rail:S01514""]]",[],
P2_00d297722df73d9b,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0021"",""P2V2S_0092"",""rail:S01514""],[""rail:S01514"",""P2V2S_0092"",""P2V2S_0021"",""rail:S01514""]]",[],
P2_00d3295bb6079414,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0056"",""existing:EX_016"",""rail:S01514""],[""rail:S01514"",""existing:EX_016"",""P2V2S_0056"",""rail:S01514""]]",[],
P2_00d547f2dbee23f9,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0010"",""P2V2S_0051"",""existing:EX_036"",""P2V2S_0030"",""rail:S01514""],[""rail:S01514"",""P2V2S_0030"",""existing:EX_036"",""P2V2S_0051"",""P2V2S_0010"",""rail:S01514""]]",[],
P2_00deabf1cf495abc,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0027"",""P2V2S_0123"",""P2V2S_0028"",""P2V2S_0124"",""rail:S01514""],[""rail:S01514"",""P2V2S_0124"",""P2V2S_0028"",""P2V2S_0123"",""P2V2S_0027"",""rail:S01514""]]",[],
P2_00ded6c126649aba,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0055"",""P2V2S_0011"",""existing:EX_042"",""P2V2S_0119"",""rail:S01514""],[""rail:S01514"",""P2V2S_0119"",""existing:EX_042"",""P2V2S_0011"",""P2V2S_0055"",""rail:S01514""]]",[],
P2_00e57d71805fe43c,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0001"",""P2V2S_0136"",""rail:S01514""],[""rail:S01514"",""P2V2S_0136"",""P2V2S_0001"",""rail:S01514""]]",[],
P2_00e5d0bd2da40dd2,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0047"",""P2V2S_0155"",""P2V2S_0117"",""rail:S01514""],[""rail:S01514"",""P2V2S_0117"",""P2V2S_0155"",""P2V2S_0047"",""rail:S01514""]]",[],
P2_00f80db16abb5793,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0093"",""existing:EX_021"",""P2V2S_0136"",""rail:S01514""],[""rail:S01514"",""P2V2S_0136"",""existing:EX_021"",""P2V2S_0093"",""rail:S01514""]]",[],
P2_00f8f209caf4e546,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0024"",""P2V2S_0148"",""rail:S01514""],[""rail:S01514"",""P2V2S_0148"",""P2V2S_0024"",""rail:S01514""]]",[],
P2_01019fd81cd5351f,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0071"",""P2V2S_0001"",""P2V2S_0018"",""P2V2S_0102"",""rail:S01514""],[""rail:S01514"",""P2V2S_0102"",""P2V2S_0018"",""P2V2S_0001"",""P2V2S_0071"",""rail:S01514""]]",[],
P2_0109d5e1b4f590e2,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0117"",""P2V2S_0042"",""existing:EX_028"",""existing:EX_021"",""rail:S01514""],[""rail:S01514"",""existing:EX_021"",""existing:EX_028"",""P2V2S_0042"",""P2V2S_0117"",""rail:S01514""]]",[],
P2_010e68ac03095d3e,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0015"",""P2V2S_0060"",""P2V2S_0059"",""rail:S01514""],[""rail:S01514"",""P2V2S_0059"",""P2V2S_0060"",""P2V2S_0015"",""rail:S01514""]]",[],
P2_010eddb205b1df00,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0022"",""existing:EX_014"",""P2V2S_0069"",""rail:S01514""],[""rail:S01514"",""P2V2S_0069"",""existing:EX_014"",""P2V2S_0022"",""rail:S01514""]]",[],
P2_01136bfbec2f1857,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0116"",""P2V2S_0037"",""existing:EX_019"",""rail:S01514""],[""rail:S01514"",""existing:EX_019"",""P2V2S_0037"",""P2V2S_0116"",""rail:S01514""]]",[],
P2_01177bbf8d1f6e18,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0102"",""existing:EX_042"",""P2V2S_0107"",""rail:S01514""],[""rail:S01514"",""P2V2S_0107"",""existing:EX_042"",""P2V2S_0102"",""rail:S01514""]]",[],
P2_0120fbc5374f69a2,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0052"",""P2V2S_0117"",""rail:S01514""],[""rail:S01514"",""P2V2S_0117"",""P2V2S_0052"",""rail:S01514""]]",[],
P2_013568be6b21b10f,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0039"",""P2V2S_0043"",""P2V2S_0063"",""rail:S01514""],[""rail:S01514"",""P2V2S_0063"",""P2V2S_0043"",""P2V2S_0039"",""rail:S01514""]]",[],
P2_0136b67bbea330fc,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0007"",""P2V2S_0100"",""rail:S01514""],[""rail:S01514"",""P2V2S_0100"",""P2V2S_0007"",""rail:S01514""]]",[],
P2_013a34a5697a86e5,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0023"",""P2V2S_0008"",""P2V2S_0078"",""existing:EX_007"",""rail:S01514""],[""rail:S01514"",""existing:EX_007"",""P2V2S_0078"",""P2V2S_0008"",""P2V2S_0023"",""rail:S01514""]]",[],
P2_013c4bd60401c69a,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0063"",""P2V2S_0149"",""P2V2S_0054"",""P2V2S_0090"",""rail:S01514""],[""rail:S01514"",""P2V2S_0090"",""P2V2S_0054"",""P2V2S_0149"",""P2V2S_0063"",""rail:S01514""]]",[],
P2_013c4f634b4d6fcb,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0035"",""P2V2S_0068"",""rail:S01514""],[""rail:S01514"",""P2V2S_0068"",""P2V2S_0035"",""rail:S01514""]]",[],
P2_0145e34b54684e71,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0099"",""P2V2S_0054"",""existing:EX_040"",""existing:EX_005"",""rail:S01514""],[""rail:S01514"",""existing:EX_005"",""existing:EX_040"",""P2V2S_0054"",""P2V2S_0099"",""rail:S01514""]]",[],
P2_01489c8ba4456a4d,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0080"",""P2V2S_0119"",""rail:S01514""],[""rail:S01514"",""P2V2S_0119"",""P2V2S_0080"",""rail:S01514""]]",[],
P2_01584378e7d89291,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0021"",""P2V2S_0037"",""P2V2S_0085"",""existing:EX_002"",""rail:S01514""],[""rail:S01514"",""existing:EX_002"",""P2V2S_0085"",""P2V2S_0037"",""P2V2S_0021"",""rail:S01514""]]",[],
P2_015f009b28debe49,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0153"",""existing:EX_010"",""existing:EX_020"",""rail:S01514""],[""rail:S01514"",""existing:EX_020"",""existing:EX_010"",""P2V2S_0153"",""rail:S01514""]]",[],
P2_01723c5c163fe041,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0101"",""P2V2S_0136"",""rail:S01514""],[""rail:S01514"",""P2V2S_0136"",""P2V2S_0101"",""rail:S01514""]]",[],
P2_01771522dd4089d7,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0006"",""P2V2S_0149"",""rail:S01514""],[""rail:S01514"",""P2V2S_0149"",""P2V2S_0006"",""rail:S01514""]]",[],
P2_017a40769a782dee,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2V2S_0142"",""existing:EX_004"",""rail:S01514""],[""rail:S01514"",""existing:EX_004"",""P2V2S_0142"",""rail:S01514""]]",[],
