scenario_id,topology_family,n_public_routes,n_optional_extensions,routes_json,optional_extensions_json,seed_name
P2_00004c4d8a1556de,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0074"",""P2S_0169"",""rail:S01514""],[""rail:S01514"",""P2S_0169"",""P2S_0074"",""rail:S01514""]]",[],
P2_000897271690396f,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0149"",""existing:EX_018"",""existing:EX_008"",""rail:S01514""],[""rail:S01514"",""existing:EX_008"",""existing:EX_018"",""P2S_0149"",""rail:S01514""]]",[],
P2_0009583f78ec5af7,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0004"",""P2S_0174"",""rail:S01514""],[""rail:S01514"",""P2S_0174"",""P2S_0004"",""rail:S01514""]]",[],
P2_000e1cb5cd3234ca,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0010"",""existing:EX_015"",""P2S_0081"",""rail:S01514""],[""rail:S01514"",""P2S_0081"",""existing:EX_015"",""P2S_0010"",""rail:S01514""]]",[],
P2_000ff4d497a385f4,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0045"",""existing:EX_027"",""P2S_0094"",""rail:S01514""],[""rail:S01514"",""P2S_0094"",""existing:EX_027"",""P2S_0045"",""rail:S01514""]]",[],
P2_001f364a8016e685,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0046"",""P2S_0121"",""rail:S01514""],[""rail:S01514"",""P2S_0121"",""P2S_0046"",""rail:S01514""]]",[],
P2_002cc81359c543da,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0002"",""P2S_0146"",""existing:EX_003"",""P2S_0156"",""rail:S01514""],[""rail:S01514"",""P2S_0156"",""existing:EX_003"",""P2S_0146"",""P2S_0002"",""rail:S01514""]]",[],
P2_003e50c30fda9c15,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0063"",""P2S_0111"",""P2S_0160"",""rail:S01514""],[""rail:S01514"",""P2S_0160"",""P2S_0111"",""P2S_0063"",""rail:S01514""]]",[],
P2_0041103914a75ebe,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0095"",""P2S_0019"",""P2S_0056"",""P2S_0113"",""rail:S01514""],[""rail:S01514"",""P2S_0113"",""P2S_0056"",""P2S_0019"",""P2S_0095"",""rail:S01514""]]",[],
P2_0052b2eb69f22b42,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0059"",""P2S_0080"",""existing:EX_019"",""P2S_0102"",""rail:S01514""],[""rail:S01514"",""P2S_0102"",""existing:EX_019"",""P2S_0080"",""P2S_0059"",""rail:S01514""]]",[],
P2_0053e34189bbfc18,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0047"",""P2S_0149"",""P2S_0100"",""P2S_0108"",""rail:S01514""],[""rail:S01514"",""P2S_0108"",""P2S_0100"",""P2S_0149"",""P2S_0047"",""rail:S01514""]]",[],
P2_005ce2fa2a50f673,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0106"",""P2S_0122"",""rail:S01514""],[""rail:S01514"",""P2S_0122"",""P2S_0106"",""rail:S01514""]]",[],
P2_005d9002b6948802,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0021"",""P2S_0147"",""rail:S01514""],[""rail:S01514"",""P2S_0147"",""P2S_0021"",""rail:S01514""]]",[],
P2_00728d2558484beb,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0032"",""P2S_0137"",""rail:S01514""],[""rail:S01514"",""P2S_0137"",""P2S_0032"",""rail:S01514""]]",[],
P2_007591c4f3e3ab4f,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0003"",""P2S_0178"",""rail:S01514""],[""rail:S01514"",""P2S_0178"",""P2S_0003"",""rail:S01514""]]",[],
P2_007a16f4d45b1485,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0153"",""P2S_0155"",""rail:S01514""],[""rail:S01514"",""P2S_0155"",""P2S_0153"",""rail:S01514""]]",[],
P2_008bde46fc04dad1,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0053"",""existing:EX_011"",""rail:S01514""],[""rail:S01514"",""existing:EX_011"",""P2S_0053"",""rail:S01514""]]",[],
P2_009491f65c135270,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0019"",""existing:EX_002"",""rail:S01514""],[""rail:S01514"",""existing:EX_002"",""P2S_0019"",""rail:S01514""]]",[],
P2_009ce9523e7ac7a7,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0010"",""P2S_0134"",""P2S_0004"",""P2S_0030"",""rail:S01514""],[""rail:S01514"",""P2S_0030"",""P2S_0004"",""P2S_0134"",""P2S_0010"",""rail:S01514""]]",[],
P2_00a37d4724e8ddb5,bidirectional_loop_pair,2,0,"[[""rail:S01514"",""P2S_0012"",""P2S_0097"",""rail:S01514""],[""rail:S01514"",""P2S_0097"",""P2S_0012"",""rail:S01514""]]",[],
