scenario_id,topology_family,seed_name,public_route_count,optional_extension_count,public_explicit_anchor_count,extension_explicit_anchor_count,public_intercepted_anchor_count,extension_intercepted_anchor_count,public_intercepted_existing_stop_count,public_intercepted_proposed_stop_count,extension_intercepted_existing_stop_count,extension_intercepted_proposed_stop_count,public_leg_count,public_distance_km,public_runtime_min,public_resolved_leg_count,public_quantified_leg_count,public_unknown_leg_count,public_resolved_distance_km,public_quantified_distance_km,public_unknown_distance_km,extension_leg_count,extension_distance_km,extension_runtime_min,extension_resolved_leg_count,extension_quantified_leg_count,extension_unknown_leg_count,extension_resolved_distance_km,extension_quantified_distance_km,extension_unknown_distance_km
P2_00002d4ae8b567e2,bidirectional_loop_pair,,2,0,5,0,14,0,5,8,0,0,10,48.965309458,92.05140974,0,10,0,0.0,48.965309458,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_000b7c0338a97408,bidirectional_loop_pair,,2,0,3,0,4,0,2,1,0,0,6,12.311237146,22.230061044000003,0,6,0,0.0,12.311237146,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_000bfda0ff51cee8,bidirectional_loop_pair,,2,0,4,0,12,0,4,7,0,0,8,29.738956855000005,66.29420698499999,0,4,4,0.0,13.241892079,16.497064776000002,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_0016f46181d3be5c,bidirectional_loop_pair,,2,0,5,0,9,0,1,7,0,0,10,20.741483643,46.782412726000004,0,10,0,0.0,20.741483643,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_001a9784aebaf10c,bidirectional_loop_pair,,2,0,4,0,18,0,8,9,0,0,8,61.81753045000001,111.444523043,0,8,0,0.0,61.81753045000001,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_002d058f2a2cdaad,bidirectional_loop_pair,,2,0,3,0,4,0,1,2,0,0,6,11.083227204,26.026362052,0,6,0,0.0,11.083227204,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_0037da486b7425b7,bidirectional_loop_pair,,2,0,4,0,18,0,12,5,0,0,8,55.908316543,97.13406368400001,0,8,0,0.0,55.908316543,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_003da3c21bb5ecbb,bidirectional_loop_pair,,2,0,3,0,11,0,1,9,0,0,6,16.189233893999997,39.490630861,0,6,0,0.0,16.189233893999997,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_00509a10cef9d711,bidirectional_loop_pair,,2,0,3,0,12,0,2,9,0,0,6,23.992923764,51.40565126,0,6,0,0.0,23.992923764,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_005472796257e1d5,bidirectional_loop_pair,,2,0,3,0,12,0,6,5,0,0,6,20.654769482999995,37.575252039000006,0,6,0,0.0,20.654769482999995,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_005558c75ba85fcf,bidirectional_loop_pair,,2,0,3,0,12,0,10,1,0,0,6,23.899498756,42.063132107,0,6,0,0.0,23.899498756,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_00721452bb51cbfa,bidirectional_loop_pair,,2,0,5,0,9,0,2,6,0,0,10,50.022213230999995,111.88225442699999,0,10,0,0.0,50.022213230999995,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_007bd14ee0fc1a02,bidirectional_loop_pair,,2,0,5,0,21,0,1,19,0,0,10,31.843235446,75.85345101399999,0,10,0,0.0,31.843235446,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_008048133d0b4269,bidirectional_loop_pair,,2,0,3,0,21,0,6,14,0,0,6,26.730557406,59.745892250999994,0,6,0,0.0,26.730557406,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_00823a07657b7549,bidirectional_loop_pair,,2,0,5,0,15,0,4,10,0,0,10,39.252812670000004,83.84088196399999,0,10,0,0.0,39.252812670000004,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_0086a494f85a3ba1,bidirectional_loop_pair,,2,0,3,0,11,0,6,4,0,0,6,21.900185860999997,39.381854589,0,6,0,0.0,21.900185860999997,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_008d1ba4661ddc8e,bidirectional_loop_pair,,2,0,3,0,15,0,10,4,0,0,6,39.950656792000004,72.383321408,0,6,0,0.0,39.950656792000004,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_0096aaa77ca897d8,bidirectional_loop_pair,,2,0,4,0,24,0,10,13,0,0,8,50.329806428000005,94.15108862899999,0,8,0,0.0,50.329806428000005,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_009976eff2bdd213,bidirectional_loop_pair,,2,0,4,0,13,0,9,3,0,0,8,35.377667800000005,61.363485008,0,8,0,0.0,35.377667800000005,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_009addc9e3a34006,bidirectional_loop_pair,,2,0,5,0,15,0,5,9,0,0,10,35.733351712,70.657020615,0,10,0,0.0,35.733351712,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_009c9e16acaae001,bidirectional_loop_pair,,2,0,3,0,10,0,7,2,0,0,6,18.228659177,37.19994792,0,6,0,0.0,18.228659177,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_00b3ccde48543cd8,bidirectional_loop_pair,,2,0,3,0,4,0,2,1,0,0,6,13.648859959,23.804605091,0,6,0,0.0,13.648859959,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_00be46e9adfb1f4e,bidirectional_loop_pair,,2,0,5,0,12,0,3,8,0,0,10,25.632238119,57.32308678,0,8,2,0.0,21.820682243000004,3.811555876,0,0.0,0.0,0,0,0,0.0,0.0,0.0
