budget_suffix,equivalence_group_id,input_plan_count,survivor_plan_count,tie_break_invoked,reduced,exact_tie_after_supported_tiebreak,continuity_tie_break_applied
m10pct,ZB2_011c1dcbd6d851fd,2,2,true,false,true,false
m10pct,ZB2_01c2a1922e389256,2,2,true,false,true,false
m10pct,ZB2_01ebd400d046f4ae,2,2,true,false,true,false
m10pct,ZB2_02c49794fa74afb3,2,2,true,false,true,false
m10pct,ZB2_02d8357d1d16cafe,2,2,true,false,true,false
m10pct,ZB2_0332cc32b0676e65,2,2,true,false,true,false
m10pct,ZB2_0334b8a771d9157e,2,2,true,false,true,false
m10pct,ZB2_034384ef27690102,2,2,true,false,true,false
m10pct,ZB2_036d1d3f2c2831c5,2,2,true,false,true,false
m10pct,ZB2_036ec5d146d82973,2,2,true,false,true,false
m10pct,ZB2_038107a739aa0c77,2,2,true,false,true,false
m10pct,ZB2_0398827a12496b13,2,2,true,false,true,false
m10pct,ZB2_03d2191641b5f10c,2,2,true,false,true,false
m10pct,ZB2_040292b834afdaa2,2,2,true,false,true,false
m10pct,ZB2_04312823206f2e10,2,2,true,false,true,false
m10pct,ZB2_04462e4036003447,2,2,true,false,true,false
m10pct,ZB2_0478ebb2e1f9a123,2,2,true,false,true,false
m10pct,ZB2_048045bf7af9635d,2,2,true,false,true,false
m10pct,ZB2_04c3626f953bf330,2,2,true,false,true,false
m10pct,ZB2_052f921001759299,2,2,true,false,true,false
m10pct,ZB2_05686f8f19cd68e3,2,2,true,false,true,false
m10pct,ZB2_058cfb2b72aabe85,2,2,true,false,true,false
m10pct,ZB2_05c92a23ca631449,2,2,true,false,true,false
m10pct,ZB2_05d284ffc7389a9a,2,2,true,false,true,false
m10pct,ZB2_063e157dba6363b2,2,2,true,false,true,false
m10pct,ZB2_06bb2364fc0ba77f,2,2,true,false,true,false
m10pct,ZB2_0737cf2b10569d25,2,2,true,false,true,false
m10pct,ZB2_075d4a02d6914e0d,2,2,true,false,true,false
m10pct,ZB2_0767cfa220f19647,2,2,true,false,true,false
m10pct,ZB2_0819d344e6820bbb,2,2,true,false,true,false
m10pct,ZB2_0847a8a5633a2f53,2,2,true,false,true,false
